# a virtual module list for leakage correction
# The coordinates for the HyCal is a right handed Cartesian frame, its z points
# surface to the back, and its origin is at the center on HyCal PbWO4 surface
#   name      type  size_x  size_y  size_z           x           y           z
   OUTER   PbGlass   38.15   38.15     450    -581.585     448.125      -101.2
   OUTER   PbGlass   38.15   38.15     450    -581.585     409.975      -101.2
   OUTER   PbGlass   38.15   38.15     450    -581.585     371.825      -101.2
   OUTER   PbGlass   38.15   38.15     450    -601.065     333.675      -101.2
   OUTER   PbGlass   38.15   38.15     450    -601.065     295.525      -101.2
   OUTER   PbGlass   38.15   38.15     450    -601.065     257.375      -101.2
   OUTER   PbGlass   38.15   38.15     450    -601.065     219.225      -101.2
   OUTER   PbGlass   38.15   38.15     450    -601.065     181.075      -101.2
   OUTER   PbGlass   38.15   38.15     450    -601.065     142.925      -101.2
   OUTER   PbGlass   38.15   38.15     450    -601.065     104.775      -101.2
   OUTER   PbGlass   38.15   38.15     450    -601.065      66.625      -101.2
   OUTER   PbGlass   38.15   38.15     450    -601.065      28.475      -101.2
   OUTER   PbGlass   38.15   38.15     450    -601.065      -9.675      -101.2
   OUTER   PbGlass   38.15   38.15     450    -601.065     -47.825      -101.2
   OUTER   PbGlass   38.15   38.15     450    -601.065     -85.975      -101.2
   OUTER   PbGlass   38.15   38.15     450    -601.065    -124.125      -101.2
   OUTER   PbGlass   38.15   38.15     450    -601.065    -162.275      -101.2
   OUTER   PbGlass   38.15   38.15     450    -601.065    -200.425      -101.2
   OUTER   PbGlass   38.15   38.15     450    -601.065    -238.575      -101.2
   OUTER   PbGlass   38.15   38.15     450    -601.065    -276.725      -101.2
   OUTER   PbGlass   38.15   38.15     450    -601.065    -314.875      -101.2
   OUTER   PbGlass   38.15   38.15     450    -601.065    -353.025      -101.2
   OUTER   PbGlass   38.15   38.15     450    -601.065    -391.175      -101.2
   OUTER   PbGlass   38.15   38.15     450    -601.065    -429.325      -101.2
   OUTER   PbGlass   38.15   38.15     450    -601.065    -467.475      -101.2
   OUTER   PbGlass   38.15   38.15     450    -601.065    -505.625      -101.2
   OUTER   PbGlass   38.15   38.15     450    -601.065    -543.775      -101.2
   OUTER   PbGlass   38.15   38.15     450    -601.065    -581.925      -101.2
   OUTER   PbGlass   38.15   38.15     450    -562.915    -581.925      -101.2
   OUTER   PbGlass   38.15   38.15     450    -524.765    -581.925      -101.2
   OUTER   PbGlass   38.15   38.15     450    -486.615    -581.925      -101.2
   OUTER   PbGlass   38.15   38.15     450    -448.465    -581.925      -101.2
   OUTER   PbGlass   38.15   38.15     450    -410.315    -581.925      -101.2
   OUTER   PbGlass   38.15   38.15     450    -372.165    -581.925      -101.2
   OUTER   PbGlass   38.15   38.15     450    -334.015    -600.725      -101.2
   OUTER   PbGlass   38.15   38.15     450    -295.865    -600.725      -101.2
   OUTER   PbGlass   38.15   38.15     450    -257.715    -600.725      -101.2
   OUTER   PbGlass   38.15   38.15     450    -219.565    -600.725      -101.2
   OUTER   PbGlass   38.15   38.15     450    -181.415    -600.725      -101.2
   OUTER   PbGlass   38.15   38.15     450    -143.265    -600.725      -101.2
   OUTER   PbGlass   38.15   38.15     450    -105.115    -600.725      -101.2
   OUTER   PbGlass   38.15   38.15     450     -66.965    -600.725      -101.2
   OUTER   PbGlass   38.15   38.15     450     -28.815    -600.725      -101.2
   OUTER   PbGlass   38.15   38.15     450       9.335    -600.725      -101.2
   OUTER   PbGlass   38.15   38.15     450      47.485    -600.725      -101.2
   OUTER   PbGlass   38.15   38.15     450      85.635    -600.725      -101.2
   OUTER   PbGlass   38.15   38.15     450     123.785    -600.725      -101.2
