    REF_GAIN           0     1.09673    0.228847           3
          G1     622.052     1.80101     3096.57     75.7857           0
          G2     663.147     1.64897     3103.89     89.9118           0
          G3     678.836     1.78475     4555.91     115.508           0
          G4     590.974     1.49407     3367.92     89.8661           0
          G5      537.88     1.31949     3480.31     109.054           0
          G6     510.071     1.49352     2913.86     86.4822           0
          G7     536.508     1.61645      2342.9     68.0334           0
          G8     543.616      1.5293      4594.7     108.913           0
          G9     643.064     1.49284     3101.65     68.5481           0
         G10     598.568     1.60833     3459.79       75.75           0
         G11     451.758     1.65756     3656.36     88.0634           0
         G12     511.721     1.77859     2466.97     69.2023           0
         G13      607.44     1.79988     2106.21     61.4884           0
         G14     434.992     1.67853     1985.18     53.7383           0
         G15     528.174      1.5911     3673.65     76.2136           0
         G16     378.471     1.58394     2963.05     77.8104           0
         G17     310.476     1.85918     3844.83     123.422           0
         G18     380.793     1.54253     3182.79     123.043           0
         G19     562.509     1.85056     3192.99     90.2465           0
         G20     443.857     1.74221      2617.4     78.9466           0
         G21     470.888     1.70277     3127.73     72.3928           0
         G22     531.932       1.738     4479.68     104.704           0
         G23     392.531     1.66387     795.923     28.7267           0
         G24     522.457     1.50244     3273.23     86.1315           0
         G25     371.155     3.24603     3203.21      85.399           0
         G26     390.089     3.47878      4015.4     95.6156           0
         G27     412.841     3.86745     2132.21      80.574           0
         G28     516.848     3.09967     1862.02     74.0119           0
         G29      330.49     2.57112     3816.89     138.154           0
         G30     431.156     3.08056     3450.58     88.7885           0
         G31     539.082     1.49604      2205.8      76.263           0
         G32     557.014     1.50858     3194.33     72.2663           0
         G33     730.503     1.50839     2341.92     49.3969           0
         G34     644.567     1.58401     1097.31     33.6269           0
         G35     704.892      1.7151     3239.16     65.5573           0
         G36     624.361     1.33123     2319.41     59.2693           0
         G37     490.764     1.47632     2602.11     71.4072           0
         G38     347.406     1.37629     2561.05     82.7114           0
         G39     468.902     1.38717     3047.41     91.5167           0
         G40     462.018     1.53811     3921.21      132.13           0
         G41     291.588     1.34056     3600.17     102.563           0
         G42     378.108     1.59075     2695.14     88.6988           0
         G43     381.478     1.69833     2923.11     78.4916           0
         G44     255.849     1.21738     1116.56     55.6687           0
         G45     323.642     1.48332      2097.2     66.3661           0
         G46     320.196     1.58709     2746.72     69.3866           0
         G47     235.879     1.14098     2491.33     78.3289           0
         G48      208.08     1.26285     4566.97     162.132           0
         G49     429.848      1.5856     2146.58      59.244           0
         G50     344.595     1.49342     3619.05      87.343           0
         G51     379.853     1.57675     2706.19     77.8679           0
         G52     538.653     1.63763     2261.61      67.207           0
         G53     326.483      1.3055     3010.49     93.3876           0
         G54      377.91     1.43472     1575.43     43.7868           0
         G55     231.063     3.33361     1677.13     58.8129           0
         G56      389.94     3.26564     2598.78     81.8372           0
         G57     603.332      2.9635      998.42     29.2623           0
         G58     580.064     3.58857     1850.51     70.9669           0
         G59     600.612     3.35478     3393.83     89.7019           0
         G60      506.57     2.87204        3126     102.655           0
         G61     492.459     1.38451     2579.99     77.7248           0
         G62     482.531     1.32968     4315.24     125.194           0
         G63     527.393     1.47964     2900.38     75.3282           0
         G64     575.874     1.11635     3764.51     97.1455           0
         G65     681.667     1.89471     4260.55     110.786           0
         G66     589.527     1.64557     4251.13     92.3335           0
         G67     394.424     1.19458     2555.01     65.9512           0
         G68     369.708     1.23058      2408.7     56.6713           0
         G69     525.316     1.31224     4352.91     102.382           0
         G70     459.014     1.34523     3728.86     78.6694           0
         G71     363.834     1.46064     2549.65     68.8325           0
         G72     455.519     1.26208     2572.43      68.353           0
         G73     310.325     1.25684     3308.24     94.2287           0
         G74     294.955     1.42406     3595.07     141.399           0
         G75     388.556     1.30842     2579.12      67.676           0
         G76     261.067     1.22391     4288.22     136.189           0
         G77      253.35     1.30862     5680.39     205.047           0
         G78     368.881     1.45214     2652.86     88.6896           0
         G79     371.694      1.4765     2366.27     70.6072           0
         G80     524.243      1.2004      2412.7     65.5781           0
         G81      614.08     1.51167     2311.84     52.6195           0
         G82     500.171     1.29629     4463.41     103.527           0
         G83     335.593     1.35217     2986.97     94.9999           0
         G84     561.493     1.32536     4148.22     94.5998           0
         G85     370.921     3.01551     2746.07     73.0027           0
         G86      360.33     3.62875     2366.85      90.796           0
         G87     498.265     3.25698     2161.15     66.3129           0
         G88     474.878     2.42815     2846.29     86.9132           0
         G89     627.018     3.02769     3255.18     130.848           0
         G90     544.851     2.76934     2407.11      66.579           0
         G91     644.699     1.83182     3406.93     81.3929           0
         G92     642.455     1.67318     2991.89     89.5516           0
         G93     568.755     1.81092     2317.84       69.94           0
         G94     604.392     1.55639     2296.68       65.44           0
         G95     603.346     1.63412     3342.06     82.2733           0
         G96     645.411     1.53025     2769.58     56.5223           0
         G97     544.732     1.27699     3541.72     104.072           0
         G98      431.69     1.17357     3683.37     106.504           0
         G99     646.491      1.2643     3788.45     117.547           0
        G100     495.369     1.67207     2526.41      74.448           0
        G101     649.789     1.90401     3999.07     79.8593           0
        G102     441.235     1.24712     3157.29      74.817           0
        G103     498.954     1.61319     3568.59     98.5084           0
        G104      376.79     1.32968     2187.58     71.2737           0
        G105      533.76     1.52052     3505.98     88.6476           0
        G106     446.434     1.59346      2682.1     78.0167           0
        G107      365.12     1.20955     2356.87     63.4751           0
        G108     393.365     1.33826     2227.52     65.8186           0
        G109     518.593     1.66033     3843.58     103.085           0
        G110     600.201     1.45974     3995.73     115.535           0
        G111     390.179     1.24501     2289.94     77.3542           0
        G112     583.776     1.50211     2006.16     50.4417           0
        G113     524.028     1.17542      2753.2     77.9147           0
        G114     511.502     1.41307      3275.6     88.7638           0
        G115     530.417     2.67945     2433.53     66.1321           0
        G116     518.763     3.30087     2379.69     66.2559           0
        G117     368.563     3.55562     2396.69     59.6184           0
        G118     450.923     3.06461     1886.23     47.9541           0
        G119     512.953     3.08109     1747.11     49.5597           0
        G120     367.967     2.51596      2489.4     60.4968           0
        G121     626.325     2.02519      2836.1     60.3913           0
        G122     672.327     1.82416     1895.48     43.3136           0
        G123     639.766     1.82933     2620.08     59.5652           0
        G124     664.275     1.73661     2139.76     50.2301           0
        G125     539.728     1.71294     1931.17     48.6106           0
        G126     584.476     1.42624     3187.86     83.9545           0
        G127     412.927     1.28234        2325     51.6345           0
        G128     309.283     1.26561     2287.39     60.5212           0
        G129     462.698     1.11363     1775.87     40.2629           0
        G130     245.198     1.33771     2332.72     62.1505           0
        G131     396.585     1.62981     2938.47      60.677           0
        G132     444.129     1.25502     2982.06     78.6347           0
        G133     469.021     1.26023     2032.56     53.4211           0
        G134     266.348     1.45379      1686.7     55.4755           0
        G135     495.077     1.08771     2282.52     60.4254           0
        G136     257.051     1.19384     2577.98     71.1017           0
        G137     246.961     1.43696     2173.95     62.0824           0
        G138      314.25     1.18172     3547.05     88.6352           0
        G139     318.544     1.33673     1997.04     63.0885           0
        G140     362.967     1.51323     2186.58     55.5578           0
        G141      371.28     1.21499     2740.44     81.5336           0
        G142     291.591     1.17537     3263.27     91.4388           0
        G143     272.196     1.54079      3022.6     82.1699           0
        G144         473     1.16302     2043.58     51.8492           0
        G145     460.766     3.58032     2817.73     80.8369           0
        G146     619.895     3.20804     4302.06     128.462           0
        G147     591.352     3.67716      2560.8     82.4169           0
        G148     366.112     3.12903     2393.47     80.2846           0
        G149     439.946     3.20885     3547.84     92.3946           0
        G150     324.491      2.5617      2679.1     72.4457           0
        G151     617.378     1.74824     3647.42     99.9062           0
        G152     609.292     1.56353     1971.64     50.4712           0
        G153      442.42     2.04039     1941.26     61.9037           0
        G154     322.032      1.8917     3339.89     87.6953           0
        G155     270.857     1.87107     3051.43     90.3145           0
        G156     544.031     1.74771     1845.23     45.2378           0
        G157     408.487     1.13442      3563.4     92.8704           0
        G158     507.197     1.29091     3217.28     84.7219           0
        G159     448.378     1.41948     2350.72     60.6255           0
        G160     697.355     1.42214     2632.51     63.3648           0
        G161     459.587     2.21407     2852.17      80.729           0
        G162      433.83     1.95718     1809.71     58.7481           0
        G163     382.667     1.21117        2326     60.4495           0
        G164     408.598     1.83182     1955.73     52.9157           0
        G165     449.962     1.70606     2531.82      78.185           0
        G166     266.758     1.24593     2386.71     67.0503           0
        G167     337.261     1.54662     2832.32     78.2157           0
        G168     361.711     1.56251     2803.24     75.1084           0
        G169     336.929     1.23119     2911.33     70.9278           0
        G170     515.387     1.93785     1792.15     46.9696           0
        G171     526.218     1.70841     2733.25     64.2549           0
        G172     342.407     1.31002     2535.75     67.7119           0
