    REF_GAIN           0     1.09708    0.229319           3
          G1     622.077     1.84208     3097.29     76.9219           0
          G2     663.033     1.69179     3134.16     88.6203           0
          G3     678.706      1.8274     4577.96     122.252           0
          G4     590.781     1.51448     3368.84     89.3605           0
          G5      537.89     1.32366     3494.22     108.568           0
          G6     509.863     1.50454     2935.76     87.0811           0
          G7      536.49     1.62487     2350.43     68.9446           0
          G8     543.477      1.5346     4628.92     109.162           0
          G9      643.51     1.47879     3107.93     68.9767           0
         G10     598.544     1.60407     3465.77     76.0665           0
         G11     451.806      1.6591     3673.62     89.5145           0
         G12     511.722     1.78981     2485.16     69.4766           0
         G13     607.502     1.77693      2099.1     61.4087           0
         G14     435.038     1.70552     1986.21     53.0809           0
         G15     528.317     1.62311     3670.39     76.3881           0
         G16     378.532      1.5391     2985.11     79.5827           0
         G17     310.535      1.8476     3863.57     124.658           0
         G18     380.858     1.47449     3192.13     125.431           0
         G19     562.485     1.82416     3223.75     91.7717           0
         G20     443.772      1.7484     2602.08     78.6862           0
         G21     470.852     1.66204     3125.53     73.3062           0
         G22     531.841      1.7546     4545.89     106.426           0
         G23     392.582     1.70609     797.518     28.8082           0
         G24     522.409     1.48482     3276.99     86.6177           0
         G25     371.136     3.26788     3199.38     86.3928           0
         G26     390.147     3.47851     4065.62     96.4895           0
         G27     412.765     3.85845      2134.6     78.8852           0
         G28     516.834     3.14184     1872.14     74.2384           0
         G29     330.573     2.58316     3833.59      137.87           0
         G30     431.134     3.08982     3461.69     88.2502           0
         G31      539.03     1.51462     2207.16     77.2635           0
         G32     556.869     1.53729     3198.84       75.44           0
         G33     730.381     1.51218     2333.51     48.8557           0
         G34     644.575     1.62829     1097.76     34.0478           0
         G35     704.841     1.75512     3233.56     65.3851           0
         G36     624.283      1.3216     2303.41     58.4233           0
         G37     490.768     1.48869     2602.39     71.3138           0
         G38     347.264     1.40548     2554.93     82.7503           0
         G39     468.832     1.38458      3064.6     91.5658           0
         G40      462.02     1.57573     3944.39     134.827           0
         G41     291.518     1.37293     3650.63     104.695           0
         G42     378.031     1.60438     2703.36     88.7702           0
         G43     381.556      1.7136     2930.75     80.0438           0
         G44     255.947      1.2201     1120.83     55.7993           0
         G45     323.713     1.51963      2096.6     65.1807           0
         G46       320.2     1.57175     2742.37     71.0173           0
         G47     235.907     1.10885     2495.36     78.1674           0
         G48     208.098      1.2345     4597.62     165.714           0
         G49     429.807     1.60611     2146.64     59.3938           0
         G50     344.493     1.48412     3627.02     88.5607           0
         G51      379.81     1.56499     2712.53     78.0914           0
         G52     538.639     1.64943     2261.86     65.3754           0
         G53     326.509     1.32867     3041.07     94.8024           0
         G54     377.968     1.44642     1576.05     42.8871           0
         G55      231.03     3.38521     1676.53     58.1306           0
         G56     389.899     3.28231     2609.46     83.2569           0
         G57     603.437     2.97664     996.587     29.7816           0
         G58      580.06     3.55792     1856.57     71.4055           0
         G59     600.621     3.33692     3394.75     90.5491           0
         G60     506.525     2.89728     3136.55      101.85           0
         G61      492.35     1.37418     2587.44     79.1684           0
         G62     482.407     1.33695     4381.74     128.364           0
         G63     527.386     1.49879     2897.24     75.6286           0
         G64     575.913       1.107     3787.95     97.2512           0
         G65     681.632     1.92658     4284.81     113.043           0
         G66     589.604     1.68748     4282.77     91.8122           0
         G67     394.343      1.1937     2550.68     67.0791           0
         G68     369.632      1.2507     2402.96     58.4655           0
         G69     525.202     1.32696     4363.83     109.369           0
         G70     458.976     1.32445        3751     79.8018           0
         G71     363.811     1.47834      2547.4     70.7007           0
         G72      455.51     1.27961     2569.56     68.2923           0
         G73     310.431     1.26036     3318.97     94.8348           0
         G74     295.109     1.44977     3599.08     144.422           0
         G75     388.802     1.30469     2578.71     67.6919           0
         G76     261.078     1.19583     4351.87     138.881           0
         G77     253.375     1.27448     5750.57     208.223           0
         G78     368.947     1.43341     2644.02     87.3614           0
         G79     371.745     1.49155     2364.92     70.6704           0
         G80     524.097     1.21985     2406.31     66.2478           0
         G81     613.936      1.5202     2313.14     53.4384           0
         G82     500.172     1.30429     4513.26     104.825           0
         G83     335.596     1.39213     2984.42     97.5632           0
         G84     561.475       1.317     4166.78     96.7311           0
         G85     370.939     3.02822     2738.61     72.8201           0
         G86     360.346     3.62202        2367     92.2685           0
         G87      498.23     3.29927     2156.32     65.7768           0
         G88     474.755     2.42357     2854.41     88.7528           0
