    REF_GAIN    0.454713     1.09709    0.228882           3
          G1     622.689      1.7977     3122.87     77.7324           0
          G2     663.662     1.67808     3106.07     86.3665           0
          G3     679.427     1.81014     4544.61     116.393           0
          G4     591.463     1.51474     3398.43     90.4271           0
          G5     538.353     1.30778     3498.55     107.003           0
          G6     510.488     1.50096      2938.4     86.6955           0
          G7     537.015     1.60406      2350.6     68.5338           0
          G8      544.02     1.51873      4648.6     108.266           0
          G9     644.208     1.46698     3167.48     69.0587           0
         G10     599.127     1.60664     3479.26      76.988           0
         G11     452.177     1.65729     3700.15     89.1999           0
         G12     512.185      1.7663     2491.37     68.8236           0
         G13     607.935     1.78116     2128.48     62.0166           0
         G14      435.32     1.69817     1991.36     52.7674           0
         G15     528.683      1.6276     3744.64     77.8085           0
         G16     378.894     1.58772      2970.8     78.8502           0
         G17     310.877     1.88453     3856.61     122.923           0
         G18     381.212     1.51561     3200.57     126.079           0
         G19       562.9     1.89575      3197.8     90.1649           0
         G20     444.195     1.79475      2619.6     78.5262           0
         G21      471.25     1.73931     3184.57     74.0925           0
         G22     532.454     1.75614     4503.72     102.153           0
         G23      392.87     1.69339     799.057     28.6002           0
         G24     522.969     1.50891     3316.14     86.9703           0
         G25     371.467     3.23669     3248.16     86.1406           0
         G26     390.479     3.46522     4038.61     95.8166           0
         G27      413.17     3.87964     2135.32     77.8617           0
         G28     517.309     3.11399     1864.63     73.5989           0
         G29     330.927     2.60271     3861.81     136.447           0
         G30     431.524     3.07968     3491.79     90.3665           0
         G31      539.56     1.46785     2213.65     78.8189           0
         G32     557.506     1.52853     3223.94     75.2444           0
         G33      731.16     1.50943     2369.63     49.7726           0
         G34     645.153     1.58054     1098.72     33.3262           0
         G35     705.538     1.70014     3264.36     65.5499           0
         G36     624.857     1.32004     2368.68      62.054           0
         G37     491.206     1.48668     2602.73     70.6269           0
         G38     347.552       1.392     2561.71     81.0912           0
         G39      469.34     1.34087     3053.85     90.7771           0
         G40     462.425     1.55392     3924.41     135.916           0
         G41     291.757     1.33279     3614.34     101.518           0
         G42     378.504     1.60342      2694.8     89.5066           0
         G43     381.758     1.72503     2936.87     77.5144           0
         G44     255.963      1.2314     1115.65     55.4365           0
         G45     323.897      1.5033      2116.1        66.5           0
         G46     320.529     1.60018      2756.4     70.0323           0
         G47     236.137     1.13998     2504.49     78.3874           0
         G48     208.304     1.23366     4573.17     165.803           0
         G49     430.192     1.66367     2153.02     59.3902           0
         G50     344.836     1.55113     3622.67     87.1437           0
         G51     380.051     1.64611     2717.23     77.8624           0
         G52     539.128     1.63898     2267.31     67.0611           0
         G53     326.689     1.33501     3015.44      94.629           0
         G54     378.211     1.43498      1585.2      43.432           0
         G55     231.348     3.37332     1686.43     58.5856           0
         G56     390.322     3.27459     2602.79     83.0996           0
         G57     603.979     2.99787     1000.58     29.9458           0
         G58     580.495      3.5912     1857.62      72.413           0
         G59     601.158     3.36208     3430.56     91.2969           0
         G60     507.064     2.88541     3142.34     104.668           0
         G61     492.919     1.33707     2592.82     78.5136           0
         G62     482.974     1.33712     4310.57     124.267           0
         G63     527.906     1.47957     2932.33     76.7152           0
         G64     576.438     1.12353     3789.16     97.1855           0
         G65     682.341      1.9488     4303.63     110.293           0
         G66     590.093     1.65042     4277.18     94.3678           0
         G67     394.831     1.22309      2578.4     65.3452           0
         G68     370.055     1.23854     2447.25     59.7134           0
         G69     525.712     1.30727     4385.92      104.77           0
         G70     459.375     1.35616     3770.65     79.6904           0
         G71     364.188     1.46362     2554.62     70.1502           0
         G72     455.763     1.28739     2568.91     67.7066           0
         G73     310.596     1.28553     3327.42     93.9819           0
         G74     295.226     1.42993     3631.21      141.98           0
         G75     388.944     1.28578     2594.93     69.0002           0
         G76     261.364     1.21317     4308.69     135.693           0
         G77     253.697     1.31995     5692.65      200.45           0
         G78     369.271     1.42334     2691.59     90.8476           0
         G79      372.07     1.54039     2376.04     71.8608           0
         G80     524.537     1.25775     2426.34     67.5748           0
         G81     614.333     1.56046      2312.2     52.7531           0
         G82     500.666     1.32689     4466.45     101.848           0
         G83     335.906     1.38479     3023.93     96.5913           0
         G84     561.991     1.32831     4165.92     97.3636           0
         G85     371.248     3.07152     2768.56     73.2757           0
         G86     360.623     3.65467        2397     91.6926           0
         G87     498.742      3.2814     2181.29     66.5772           0
         G88     475.243     2.44032     2863.44     87.9137           0
         G89     627.583     3.00513     3260.99     130.652           0
         G90     545.442     2.73051      2420.1     67.2764           0
         G91     645.293     1.85826     3407.57     82.8334           0
         G92     643.014     1.71471     2999.31      91.697           0
         G93      569.29      1.8624     2329.71     68.6357           0
         G94       604.9     1.56798     2309.72     65.5627           0
         G95     603.924     1.63764        3354     82.2332           0
         G96     646.031     1.55539     2806.61     58.0712           0
         G97      545.23     1.23994     3552.61     102.466           0
         G98     432.422     1.17494     3701.94     105.769           0
         G99      647.05     1.29162     3793.23     117.648           0
        G100     495.836     1.69014     2537.52      72.617           0
        G101     650.252     1.91634     4010.37     82.4295           0
        G102     441.672     1.24485      3203.4     75.6319           0
