    REF_GAIN           0     1.09781    0.229238           3
          G1     622.705     1.80363     3124.82     75.2546           0
          G2     663.695     1.68187     3097.35     87.2388           0
          G3     679.351     1.85814     4536.88     116.287           0
          G4      591.35     1.53139     3403.85     88.4556           0
          G5     538.371     1.33421     3497.58      108.84           0
          G6     510.419     1.49519     2946.21     88.9269           0
          G7     536.943     1.63024     2355.68     69.0968           0
          G8     543.909     1.55202     4648.43     105.591           0
          G9     643.826     1.50037     3189.13     70.7082           0
         G10      599.17     1.60609     3488.92     76.1057           0
         G11     452.287     1.70082     3704.52     89.1033           0
         G12     512.171     1.81772     2505.74     70.6188           0
         G13     608.051     1.78885     2139.26     62.8175           0
         G14     435.411     1.68923     1993.13     52.9229           0
         G15      528.76     1.60148     3763.36     76.3066           0
         G16     378.832     1.55028     2967.29     75.4274           0
         G17     310.799     1.87135        3856     123.935           0
         G18     381.152     1.49979     3202.79     122.388           0
         G19     562.932     1.81473     3194.31     90.8068           0
         G20     444.212     1.71825     2614.01     78.9425           0
         G21     471.262     1.68888     3197.15     75.1236           0
         G22     532.321      1.7349     4493.48     99.9226           0
         G23     392.924     1.69802     800.025     28.7818           0
         G24     522.907     1.48812     3327.57     84.4592           0
         G25     371.448     3.26009     3258.65     88.5001           0
         G26     390.517     3.52595     4041.24     95.3017           0
         G27     413.096      3.9633      2134.8     79.0362           0
         G28     517.251     3.17977     1863.37     74.3285           0
         G29     330.861      2.6117     3864.55     135.741           0
         G30     431.536     3.08315     3501.13     89.3244           0
         G31     539.489     1.48577     2214.79     77.8946           0
         G32     557.455     1.55108     3223.61      72.661           0
         G33     731.144     1.48726     2385.02     51.2266           0
         G34     645.162     1.59228     1098.75     33.8376           0
         G35     705.578     1.74571     3268.25      66.384           0
         G36     624.819     1.32157     2375.31      61.224           0
         G37     491.107      1.4989     2602.53     70.9042           0
         G38     347.502     1.41479     2552.92     81.9286           0
         G39     469.298     1.40149     3050.79     90.0334           0
         G40      462.51     1.59837     3917.53     134.464           0
         G41     291.858     1.36375     3616.89     100.934           0
         G42      378.51     1.63271     2700.01     89.3444           0
         G43     381.858     1.68284     2938.47        79.6           0
         G44     256.045     1.23484     1115.99     55.1367           0
         G45     324.335     1.46182     2116.29     66.7738           0
         G46     320.473     1.56346     2756.84     69.8142           0
         G47     236.095     1.12337     2507.63     78.6106           0
         G48     208.291     1.28405     4574.23     163.145           0
         G49      430.15      1.5748     2157.26     58.9525           0
         G50     344.793     1.49819     3624.09     87.5503           0
         G51     379.981      1.5522     2717.84     77.4859           0
         G52     539.186     1.63244     2268.47     68.2174           0
         G53     326.729      1.3287      3009.9     91.7765           0
         G54     378.133     1.44714     1586.43     43.7043           0
         G55     231.271     3.41504     1692.49     59.3436           0
         G56     390.271     3.29797     2603.41     82.9658           0
         G57     604.206     2.98041      1001.7     29.1402           0
         G58     580.559     3.58576     1855.11     70.9654           0
         G59     601.208     3.38922     3439.51     88.2416           0
         G60     507.083     2.87281      3146.6     104.875           0
         G61     492.857     1.32801     2595.67     78.7076           0
         G62      482.92     1.34368     4294.73     121.182           0
         G63     527.904     1.48405     2941.32     76.4641           0
         G64     576.463     1.15007     3790.03     95.2917           0
         G65     682.286     1.91062      4309.2      111.66           0
         G66     590.078     1.65161     4276.77     92.2168           0
         G67     394.717     1.23283     2581.69     66.6547           0
         G68     369.971     1.26591     2459.59     58.0136           0
         G69      525.71     1.32921     4402.93     103.989           0
         G70     459.565     1.33681     3773.36     78.2053           0
         G71     364.087     1.48804     2556.02     70.2767           0
         G72     455.934     1.27021     2568.24     68.6123           0
         G73     310.643     1.29522     3326.55     93.5451           0
         G74     295.307     1.42477     3644.73     145.841           0
         G75     389.058     1.30295     2600.67     68.2824           0
         G76     261.283     1.17952     4297.68     134.234           0
         G77     253.605     1.30045     5673.65     200.208           0
         G78     369.274     1.43329     2702.73      89.184           0
         G79     371.995     1.43648     2377.99     71.2203           0
         G80     524.472     1.16757     2428.52     66.3512           0
         G81     614.464      1.5066     2310.96     51.8936           0
         G82     500.621     1.30816     4465.72     102.115           0
         G83      335.87     1.40129      3027.7     98.8658           0
         G84     562.002     1.34121     4169.09     95.7135           0
         G85     371.243     3.08566     2767.77     73.7782           0
         G86     360.655     3.61684     2407.89     90.9837           0
         G87     498.741     3.28116     2183.46     67.1116           0
         G88     475.223     2.47255      2863.3     89.3358           0
         G89     627.644     3.03023     3258.38     128.388           0
         G90     545.503     2.78339     2422.47     65.6757           0
         G91     645.257     1.81872        3405     80.3875           0
         G92     642.953     1.68721     2998.64     90.2617           0
         G93     569.249     1.85022     2332.78     68.2588           0
         G94     604.907     1.53531     2316.05     65.4389           0
         G95     603.866     1.64518      3352.7     79.3461           0
         G96     645.982     1.55886     2812.48     58.4247           0
         G97      545.14     1.26011     3557.14      102.89           0
         G98     432.066     1.19789     3702.31     108.161           0
         G99     646.978     1.30397     3788.52     119.453           0
        G100     495.888     1.74602     2540.55     74.9634           0
        G101     650.282     1.98813      4010.5     80.2792           0
        G102     441.682     1.28921     3221.18     75.4936           0
        G103     499.469     1.58504     3595.44     101.072           0
        G104     377.184     1.34565     2194.71      70.856           0
        G105     534.265     1.50861     3510.63     88.4356           0
        G106     446.784     1.57909     2701.22     81.2228           0
        G107     365.488     1.19251     2386.86     64.4241           0
        G108     393.771      1.3585     2230.89     64.4878           0
        G109     518.984     1.64559     3876.52      103.57           0
        G110     600.714     1.46908     4020.73     113.533           0
        G111     390.243      1.2345     2307.85     77.9698           0
        G112     584.339      1.5366      2036.4     50.0626           0
        G113      524.55     1.19938     2767.71     76.5789           0
        G114     512.009     1.38654     3276.57     88.4409           0
        G115      531.02     2.73869     2441.28     67.6269           0
        G116     519.315     3.34963     2383.59     65.2455           0
        G117     368.876     3.70487     2438.58     62.0865           0
        G118     451.436     3.11748     1913.42     48.7862           0
        G119     513.514     3.11287     1753.29      50.295           0
        G120     368.451     2.53198     2518.89     60.7689           0
        G121     627.072     2.03127     2844.98     59.9854           0
        G122     672.985     1.84772     1909.68     43.7543           0
        G123     640.434     1.86147     2632.56     58.8323           0
        G124      664.91     1.73125     2155.66     50.4092           0
        G125     540.313     1.70202     1948.76     48.4822           0
        G126     585.168     1.42559     3199.03     86.0506           0
        G127     413.365     1.29711     2350.02     51.9646           0
        G128     309.448     1.27717      2297.2     61.8774           0
        G129     463.226     1.12806      1797.9     41.4714           0
        G130     245.412     1.39067     2333.32     61.8253           0
