    REF_GAIN    0.450854     1.08617    0.227058           3
          G1     623.073     1.79304     3098.25     75.9714           0
          G2     664.169     1.62365     3093.28     87.6815           0
          G3     679.793     1.79205     4543.27     114.782           0
          G4     591.705     1.48975     3364.78      88.462           0
          G5     538.501     1.33087     3475.73     107.781           0
          G6     510.301     1.48516     2946.77     87.9782           0
          G7     537.256      1.6338      2358.9     67.8656           0
          G8     544.394     1.51643     4585.09     104.437           0
          G9     644.595     1.47654     3146.27     68.6568           0
         G10     599.381       1.578     3473.87     76.5785           0
         G11     452.493     1.67421     3670.03     88.5109           0
         G12     512.405     1.76486     2515.84     69.6087           0
         G13     608.255     1.81893     2116.46     61.6126           0
         G14     435.624     1.72605     1991.57     53.6522           0
         G15     528.946     1.62056     3665.94     75.2698           0
         G16     379.128     1.57349     2953.54      77.849           0
         G17     311.047     1.87178     3839.72     123.845           0
         G18     381.453     1.52915     3188.99     121.579           0
         G19     563.358      1.8068     3194.38      90.755           0
         G20     444.528     1.68836     2603.72     78.9597           0
         G21     471.595     1.61471     3138.09     72.8114           0
         G22     532.116     1.75715     4471.57      99.057           0
         G23     392.672     1.67973     797.789     29.0143           0
         G24     522.886     1.47562     3278.49     84.3388           0
         G25     371.997     3.20483     3203.69     84.9735           0
         G26     391.168     3.45235     4041.63     93.0008           0
         G27      413.92     3.90857     2133.31     78.2679           0
         G28     518.071     3.13347     1866.01     72.7035           0
         G29     331.015     2.56443     3813.31     136.481           0
         G30     431.837     3.03715      3464.1     87.1943           0
         G31     539.809     1.49242     2206.48     78.9896           0
         G32     557.583     1.52568     3189.86     73.4223           0
         G33     731.424     1.48676      2351.8     50.5801           0
         G34     645.525     1.58856        1099      33.611           0
         G35     706.008      1.7104      3228.8     65.1119           0
         G36     625.102     1.33415     2316.59     60.0387           0
         G37     491.497     1.47331     2596.23     70.3003           0
         G38     347.864     1.40757     2506.57     81.9472           0
         G39     469.403     1.33486     3045.14     88.3095           0
         G40     462.794     1.56139     3922.99     138.752           0
         G41     291.945     1.35583     3634.75     101.715           0
         G42     378.683      1.6205     2695.04     88.6678           0
         G43      381.95     1.76489     2920.86     76.8035           0
         G44     256.052     1.23921     1118.77     56.7858           0
         G45     323.998     1.49589        2096     66.8135           0
         G46     320.707     1.61311     2736.66     68.2072           0
         G47     236.014     1.16031     2493.93     77.1753           0
         G48     208.338     1.24857     4575.46      160.68           0
         G49     430.539     1.58892     2149.38     58.3485           0
         G50     345.089     1.45209     3620.46     88.3712           0
         G51     380.342     1.53235     2699.86     76.9461           0
         G52     539.065     1.63408     2261.73     66.7388           0
