    REF_GAIN    0.454086     1.09736    0.228884           3
          G1     622.714     1.80559     3096.13     76.1765           0
          G2     663.746     1.67193     3101.24     86.9658           0
          G3      679.48     1.78027     4555.57     117.257           0
          G4     591.448     1.52517     3363.07     88.6252           0
          G5     538.401     1.32964     3479.34     107.892           0
          G6     510.503     1.49106     2915.15     84.5185           0
          G7     537.036      1.6239     2345.17     67.9511           0
          G8     544.032     1.47785     4579.99     106.816           0
          G9     643.749     1.48655     3098.63      69.021           0
         G10     599.169     1.63666     3458.42     75.5011           0
         G11     452.217      1.6796     3650.95     88.6553           0
         G12     512.233     1.78018     2471.16     69.0504           0
         G13     607.971     1.79681     2100.05     61.6902           0
         G14     435.356     1.73414     1984.24     53.0906           0
         G15     528.719     1.60814     3652.28     74.5792           0
         G16     378.893     1.57375     2957.04     76.4805           0
         G17     310.824     1.83991     3841.96     122.546           0
         G18     381.203     1.50067     3182.84     122.402           0
         G19     562.957     1.83712     3188.71     90.0589           0
         G20     444.154     1.75485     2610.37     79.0511           0
         G21     471.207     1.71861     3117.52     71.8778           0
         G22     532.398     1.78418     4467.77     101.529           0
         G23     392.973     1.69544     796.496     28.7576           0
         G24     522.958     1.51719     3264.73     84.3968           0
         G25     371.542     3.17237     3190.92     86.3782           0
         G26     390.556      3.4491     4011.63     93.3452           0
         G27     413.228     3.83141     2131.48     78.4903           0
         G28     517.384     3.08991      1862.8     75.7461           0
         G29     330.893     2.56073     3809.37     134.543           0
         G30      431.59     3.02671     3445.08     86.8398           0
         G31     539.554     1.49541     2204.23     74.6486           0
         G32     557.554     1.51017     3192.47     73.0501           0
         G33     731.166     1.49248     2331.15     49.7552           0
         G34      645.21     1.60606     1097.54     33.6712           0
         G35     705.543     1.76411     3234.51      67.221           0
         G36     624.881     1.30779     2311.38     58.9615           0
         G37      491.21     1.45089     2599.97     71.8823           0
         G38     347.621     1.37647     2556.91     80.8327           0
         G39     469.405     1.36361     3044.49      91.499           0
         G40     462.464     1.54692      3915.2     136.123           0
         G41     291.817     1.37246     3600.76     102.419           0
         G42     378.473     1.63481     2690.17      88.783           0
         G43      381.77     1.73672     2922.82      78.472           0
         G44     256.018     1.24036      1116.9      55.231           0
         G45     323.942     1.53982     2096.76     66.1877           0
         G46     320.475     1.57602     2743.56     69.5139           0
         G47     236.121     1.13485     2485.73     77.7338           0
         G48     208.287     1.24549     4564.94     161.436           0
         G49     430.132      1.6342     2144.46      57.911           0
         G50     344.867     1.49679     3615.11     85.6834           0
         G51     380.023     1.59803     2702.33     76.9261           0
         G52     539.193     1.62723      2262.9     67.0282           0
         G53     326.781     1.30666     3005.88     94.4998           0
         G54     378.342     1.46472      1574.6     43.9413           0
         G55     231.308     3.35285     1674.05     57.6997           0
         G56     390.291     3.21995     2602.43     83.3507           0
         G57     604.135     2.92539     996.757     29.3659           0
         G58      580.73     3.48528     1849.07     69.6604           0
         G59     601.259     3.32107     3387.78     89.5319           0
         G60     507.066     2.82296      3124.6     102.212           0
         G61     492.926     1.34876     2580.23     77.5633           0
         G62     482.994     1.34675     4318.63     122.703           0
         G63     527.962     1.46322     2894.34     75.4071           0
         G64     576.492     1.13999     3757.97     96.6219           0
         G65     682.404     1.89364     4245.73     108.715           0
         G66     590.138     1.65735     4239.99     91.7724           0
         G67       394.8     1.19656     2549.31     65.2907           0
         G68     370.069     1.23855      2398.7     56.9687           0
         G69     525.789     1.33193     4336.52     102.104           0
         G70     459.481     1.33458     3719.37     78.3816           0
         G71     364.273     1.44776     2547.36     69.8813           0
         G72     455.812     1.29437     2565.49     68.0684           0
         G73     310.615     1.28317     3303.68     92.0278           0
         G74     295.276     1.41574     3595.13     143.178           0
         G75      389.06     1.28796     2580.79     68.2588           0
         G76      261.32     1.21329     4277.62     133.145           0
         G77     253.668     1.32972     5668.54       202.1           0
         G78     369.291     1.44379     2639.28      89.102           0
         G79     372.003     1.51391     2364.51      71.239           0
         G80     524.486     1.21188     2407.67     66.6388           0
         G81     614.402     1.51054     2313.12     52.1114           0
         G82     500.694     1.31973     4464.13     102.588           0
         G83     335.935     1.38044     2979.64     95.2792           0
         G84     562.082     1.34878     4140.07     97.0188           0
         G85     371.374     3.00306     2737.26       73.19           0
         G86     360.775      3.5633     2359.77     89.3569           0
         G87     498.809     3.24274     2155.77      64.413           0
         G88     475.283     2.40386     2841.19     85.8405           0
         G89     627.725     2.94773     3250.63     127.844           0
         G90     545.478     2.72823     2408.56     65.8136           0
         G91     645.315     1.83204     3408.28     82.2732           0
         G92     642.966     1.69307     2989.33     89.6302           0
         G93     569.299     1.81564     2314.56      66.955           0
         G94     604.897      1.5597     2291.63     64.3829           0
         G95     603.892     1.62549     3337.11     78.6788           0
         G96     646.052     1.55171     2765.34      57.926           0
         G97     545.249     1.27384     3542.28     101.891           0
         G98     432.131     1.16944     3679.03     105.373           0
         G99     647.058     1.28452     3785.84     117.884           0
        G100     495.825     1.66922     2524.94     75.0772           0
        G101      650.26      1.8979     3994.43     81.1613           0
        G102     441.667     1.27322     3149.97     74.0816           0
        G103     499.436     1.61256     3564.13     99.6835           0
        G104     377.148     1.34455     2196.14     71.8014           0
        G105     534.254     1.48066     3503.22     89.6677           0
        G106     446.847     1.57241     2678.45     79.8362           0
        G107      365.54     1.20829     2349.89     64.0697           0
        G108     393.772     1.35359     2226.49     66.2866           0
        G109     518.866     1.71281     3840.49     103.019           0
        G110     600.693     1.50795     3987.11     115.884           0
        G111     390.378     1.28438     2286.95     75.9136           0
        G112     584.406     1.52085     2003.57     50.2049           0
        G113     524.551     1.20129     2753.16     76.8302           0
        G114     511.945     1.44368     3275.01     87.1082           0
        G115     531.008     2.68848     2430.36     65.5123           0
        G116      519.39     3.22439      2381.1     64.4117           0
        G117      369.06     3.57304     2393.17     58.7513           0
        G118     451.435     3.06344     1883.57     49.6952           0
        G119     513.532     3.03865     1746.35     50.0684           0
        G120     368.517     2.50553     2487.15     60.5282           0
        G121     626.975      2.0342     2832.87      60.111           0
        G122     672.963     1.84167     1893.66     42.4391           0
        G123     640.389     1.85524     2619.17     59.4174           0
