    REF_GAIN           0     1.09919    0.231096           3
          G1     623.915     1.73373     5659.68       144.8           0
          G2     664.505     1.61421     5209.22     151.597           0
          G3     679.565     1.82063     7830.89     190.524           0
          G4     591.246     1.50515     5983.26     150.828           0
          G5     538.306     1.32607     6189.56      186.42           0
          G6     508.748     1.48992     5492.15     153.406           0
          G7     536.987     1.63343     4354.13     132.738           0
          G8      543.95     1.53163     8058.32     178.013           0
          G9     643.844     1.51614      5759.5     125.123           0
         G10     599.186      1.6382     6373.21     133.761           0
         G11     452.239     1.69368      6749.2     151.067           0
         G12     511.896     1.78896     4857.94     136.712           0
         G13     608.004     1.74673     3716.28     123.691           0
         G14     435.355     1.68498     3462.39       98.67           0
         G15     529.048     1.60284     6646.25     129.438           0
         G16     378.666     1.54354           0           0           2
         G17     310.836     1.80077     7205.96     213.935           0
         G18     381.342       1.469     6007.21     221.303           0
         G19     561.875     1.70173     5512.01     155.383           0
         G20     443.565     1.66495     4898.37      148.09           0
         G21     471.323     1.60271     5757.69     126.417           0
         G22     531.679      1.7296     7705.05     172.013           0
         G23     392.009     1.70034     1189.94     56.2227           0
         G24      523.17     1.48565     5981.74     152.157           0
         G25      371.45     3.11612     5995.62     154.213           0
         G26     390.647     3.28907     7283.03     166.584           0
         G27     413.949     3.88588     3867.15     143.376           0
         G28     517.944     3.10425     3195.11     131.289           0
         G29     330.245      2.4443     7141.48     238.525           0
         G30     431.444     2.92663     6439.86     156.107           0
         G31     540.117     1.45813     3865.63     148.823           0
         G32     557.657     1.53574     5815.56     130.647           0
         G33      730.29     1.50168     3919.66     92.1075           0
         G34     645.812     1.63752     1537.69     68.3217           0
         G35     706.556     1.76932     5764.57     118.003           0
         G36     624.954     1.35392     3978.36     112.432           0
         G37     491.129      1.5266     4620.86     129.291           0
         G38     347.649     1.40333     4590.84     142.332           0
         G39      469.34     1.36481     5273.91     150.376           0
         G40       462.2     1.54446     7215.09     233.502           0
         G41     291.942     1.42978     6670.15     182.445           0
         G42     378.287     1.59441     4942.19     153.626           0
         G43     382.327     1.74649      5149.8      130.23           0
         G44     256.395     1.19956     1975.31     103.477           0
         G45     324.302     1.45695     3831.16     122.127           0
         G46     320.543     1.59872     5089.07     128.644           0
         G47     236.269     1.11454     4857.02     144.536           0
         G48     208.262     1.21452     8531.37     272.316           8
         G49     430.253     1.53372     3999.68     112.472           0
         G50     343.725     1.41749     6566.92     148.867           0
         G51     380.027     1.46117     4777.96     133.708           0
         G52     539.027     1.64516     3863.79     116.423           0
         G53     326.137     1.31762     5433.95       164.6           0
         G54     377.456     1.34303     2804.31     83.5453           0
         G55     231.898     3.14024     3115.92     110.006           0
         G56     391.933     3.17368     4836.87     154.862           0
         G57     602.234     2.81309     1408.68     61.8596           0
         G58     580.444     3.38558     3050.21     122.124           0
         G59     601.217     3.36346     6160.99     158.016           0
         G60     507.763     2.74082     5563.56     178.744           0
         G61     491.164     1.34378     4692.93     140.745           0
         G62     481.639     1.36466     7556.83     211.328           0
         G63     527.587     1.50157     5341.09     140.716           0
         G64     576.617     1.12631     6777.15      171.79           0
         G65     681.236     1.80698     7414.97         190           0
         G66      590.81     1.64559     7341.14     153.911           0
         G67     394.916     1.19294     4783.55     121.507           0
         G68     370.119     1.26665     4442.27     104.264           0
         G69     525.591     1.29487     7890.66     181.825           0
         G70     459.303     1.36295     6777.09     137.162           0
         G71     364.252     1.48645     4704.04     128.347           0
         G72     455.318     1.28594     4732.17     126.824           0
         G73     310.847     1.25572     6240.57      166.03           0
         G74      295.61       1.367     6820.31      249.51           0
         G75     388.676      1.2993     4691.72     124.357           0
         G76     263.976     2.01131     7140.86     216.343           0
         G77     253.883     1.25966     8625.28     284.088           8
         G78     369.219     1.41445     4850.57     158.865           0
         G79     372.435     1.42174     4304.01     130.672           0
         G80     524.912     1.16507     4354.79     128.238           0
         G81     611.006     1.39996     3966.71     92.5759           0
         G82     500.778     1.29483     8275.28     174.572           0
         G83     335.733     1.42455     5564.22     169.631           0
         G84     560.899     1.22505     7570.39     169.193           0
         G85     371.158     2.83193     5058.09     133.358           0
         G86     360.974     3.45829     4242.81     157.815           0
         G87     499.772     3.11111     3792.68     126.843           0
         G88     476.542     2.36104     5112.16      160.28           0
         G89     626.527     2.87683     5712.59     228.382           0
         G90     544.594     2.56694     4151.29     123.422           0
         G91     644.998     1.76596     6117.04     145.498           0
         G92     641.372     1.56232     5213.34     155.889           0
         G93     566.739     1.80729     4158.47     130.554           0
         G94     603.006     1.53106     3896.17     122.866           0
         G95     602.537     1.57191      5717.8     137.834           0
         G96     644.903     1.50882     4879.09     104.139           0
         G97     544.701     1.24902     6467.23     177.915           0
         G98     431.986      1.1754     6605.78     180.673           0
         G99     646.863     1.31229     6577.17     208.094           0
        G100     495.464     1.68359     4479.99     136.097           0
        G101     649.462     1.85468     7258.55     140.828           0
        G102     441.435     1.27845     5938.31     129.856           0
        G103     499.011      1.5881     6557.52     175.433           0
        G104     377.229     1.31565      4140.9     139.886           0
        G105     534.308     1.54458     6411.15     156.161           0
        G106     445.881     1.53927     5050.64     149.612           0
        G107     365.582      1.1372           0           0           2
        G108     393.602     1.33652     3995.74     123.633           0
        G109     517.912     1.59226     6915.29      178.97           0
        G110      599.95      1.3951     6891.26     191.427           0
        G111     390.958     1.23952      4111.9     137.434           0
        G112     582.474     1.59837     3615.88     99.8586           0
        G113     524.309     1.21486     5053.47     146.709           0
        G114     511.358     1.41501     6044.75     159.696           0
        G115      530.77     2.52573     4254.75     131.486           0
        G116     519.333      3.0888     4399.11      125.26           0
        G117     368.152     3.56531     4376.54     107.813           0
        G118     450.713     2.90059     3306.24     94.6959           0
        G119     513.058     2.88482     2952.05     98.4658           0
        G120     368.611     2.36008     4739.79     115.196           0
        G121     627.604     1.98865     5032.78     108.118           0
        G122     672.708     1.84181      3106.6     86.4926           0
        G123     640.102     1.85277     4588.67     109.115           0
        G124     664.282     1.74801      3586.1     94.2049           0
        G125     539.527     1.71372     3438.97     91.1231           0
        G126     584.141     1.38354     5897.52     162.191           0
        G127     413.503     1.29604     4344.99     97.2358           0
        G128     309.508     1.27403     4195.35     109.565           0
        G129      463.34     1.11312     3203.58     81.1753           0
        G130     245.319     1.36836     4479.24     112.619           0
        G131     396.927     1.67537      5741.4     117.677           0
        G132     444.537     1.30391     5510.47     142.468           0
