    REF_GAIN    0.453479     1.09715    0.228541           3
          G1     622.736     1.77007     3098.54     76.6997           0
          G2     663.765     1.65247     3126.45     89.8202           0
          G3     679.351     1.80875     4573.36     117.882           0
          G4      591.35      1.5332     3369.53     89.0633           0
          G5     538.407      1.3268     3492.13     109.081           0
          G6      510.39     1.51381     2936.68     88.2516           0
          G7     537.035      1.6413     2350.66     68.4157           0
          G8     544.017      1.5389     4623.89     104.627           0
          G9     643.765     1.48545     3115.22     68.4343           0
         G10     599.164     1.58917     3466.26     75.4788           0
         G11     452.253     1.66495     3675.84     88.6321           0
         G12     512.212      1.7983     2488.31     70.4783           0
         G13     608.017     1.79141     2103.67     61.8112           0
         G14      435.41     1.67808     1987.67     51.8734           0
         G15     528.728     1.60044     3676.88     76.2325           0
         G16     378.913     1.59517     2983.76     76.3487           0
         G17     310.855     1.91099     3857.49     122.067           0
         G18     381.207     1.51375     3189.16     124.361           0
         G19      563.04     1.90089     3219.68     93.9251           0
         G20     444.239     1.82962     2599.74     79.8847           0
         G21     471.349     1.78605     3129.35     74.9504           0
         G22     532.375     1.76161     4532.57     100.322           0
         G23     392.973     1.68128     797.181     28.3158           0
         G24      522.98     1.48639     3278.96     87.1442           0
         G25     371.531     3.24359     3204.43     85.9672           0
         G26     390.561     3.48533     4064.92     95.8782           0
         G27     413.242      3.9224     2136.36     80.4913           0
         G28     517.387     3.16123     1870.38     74.2615           0
         G29     330.935     2.60592     3832.66     137.325           0
         G30     431.604     3.09836     3465.76     88.8096           0
         G31     539.516     1.51352     2206.98     78.6435           0
         G32     557.437     1.52764     3198.42     74.8436           0
         G33     731.108      1.4971      2341.6      49.752           0
         G34     645.193     1.59831     1097.52     33.8739           0
         G35     705.592     1.73417     3233.73      66.777           0
         G36     624.828     1.33588     2304.69     59.6084           0
         G37     491.281     1.47479     2603.17     72.2317           0
         G38     347.562     1.37805     2549.65     80.2318           0
         G39     469.317     1.34655     3061.33     89.9911           0
         G40     462.491     1.57193     3940.92     136.234           0
         G41      291.83     1.33754     3649.65     104.289           0
         G42     378.369     1.59195     2703.15     88.1354           0
         G43     381.841     1.71038     2928.71     78.3191           0
         G44     255.999      1.2124        1119     55.6422           0
         G45     323.713     1.47576     2094.17     65.2291           0
         G46     320.518     1.62107     2743.15     70.3023           0
         G47     236.124     1.17939     2497.95     78.8798           0
         G48     208.314      1.2382     4599.75     163.426           0
         G49     430.279     1.67672     2148.92     60.3656           0
         G50     344.971     1.57389     3626.18     87.9075           0
         G51     380.286     1.63749     2711.95     77.6357           0
         G52     539.145     1.65015     2263.31     66.9851           0
         G53     326.759     1.31072     3032.86     94.9283           0
         G54      378.22      1.4536      1575.9     43.2999           0
         G55     231.361     3.37915     1678.83     59.4672           0
         G56     390.456     3.28965     2607.52     83.8698           0
         G57     604.017     2.98232     996.828     29.4232           0
         G58     580.618     3.56568      1855.5     70.3579           0
         G59     601.237     3.41651      3397.7     90.8866           0
         G60     507.135     2.87297     3137.38     103.317           0
         G61     492.847      1.3503     2587.22      77.249           0
         G62     482.888     1.34461      4370.7      124.32           0
         G63     527.915     1.46542     2897.72     76.1231           0
         G64     576.519     1.14771      3786.5     96.8593           0
         G65     682.329     1.89249     4281.38     110.483           0
         G66     590.134     1.64498     4278.98     89.6262           0
         G67     394.691     1.20995     2549.02     65.9725           0
         G68     370.053     1.23491     2407.81     57.1161           0
         G69      525.77     1.32262     4365.32     103.717           0
         G70     459.457     1.33694     3751.51     79.3474           0
         G71     364.138     1.45771     2548.02     70.0906           0
         G72     455.906     1.26987     2585.79     68.7097           0
         G73     310.619     1.28163     3317.59     93.1926           0
         G74     295.274     1.40118     3607.85     144.055           0
         G75     389.022     1.28276      2577.6     68.7402           0
         G76     261.332     1.22466      4338.2     132.825           0
         G77     253.608     1.31485     5740.45     202.711           0
         G78     369.305     1.44745     2645.99     87.2579           0
         G79     372.195      1.5877     2364.63     70.7889           0
         G80     524.632     1.26938     2406.69     66.4052           0
         G81     614.548     1.53583     2313.01     53.1768           0
         G82     500.663     1.30032     4510.61     102.814           0
         G83       335.9     1.39488     2985.78     95.6581           0
         G84     562.001     1.33691     4166.82     97.4702           0
         G85     371.325     3.06236     2736.75     73.4246           0
         G86     360.756     3.64815     2370.84     89.7231           0
         G87     498.778     3.27198      2157.8     67.1848           0
         G88     475.278     2.44686     2852.74     88.2942           0
         G89     627.601     3.02356     3262.76     130.435           0
         G90     545.416     2.74214     2413.88     66.8813           0
         G91     645.311      1.8262     3420.03     83.9307           0
         G92     642.929     1.69031     2994.18      89.719           0
         G93     569.279     1.80939     2315.53     67.8621           0
         G94     604.905     1.54049     2296.98     65.4687           0
         G95     603.891     1.64516     3371.35     82.0827           0
         G96     645.977     1.53043     2766.98     58.2093           0
         G97     545.156     1.26041     3563.71     102.889           0
         G98     432.284     1.16717     3703.43     107.918           0
         G99      647.01     1.27262     3790.69     118.385           0
        G100     495.854     1.68761      2527.2     72.3945           0
        G101     650.383     1.89617     4008.91     81.0556           0
        G102     441.692     1.25488     3182.18     74.8132           0
        G103     499.441     1.57129      3576.8     99.2539           0
        G104     377.155     1.30604     2193.76     72.9189           0
        G105     534.169     1.51164     3511.77     86.7532           0
        G106     446.819     1.58813     2676.93     77.8606           0
        G107      365.56     1.17796     2361.14     65.4392           0
        G108     393.825     1.34061     2227.27     65.0448           0
        G109     519.056     1.73755     3856.79     104.484           0
