    REF_GAIN    0.521206     1.23376    0.246897           2
          G1     501.325     1.64792     5397.64     138.293           0
          G2     649.549     1.59057     4906.98     139.244           0
          G3       452.8      1.7461     7122.16     177.227           0
          G4     513.436      1.4464     5661.42     144.213           0
          G5     304.502     1.18057        5629     174.303           0
          G6      421.26     1.39676     5237.76     146.109           0
          G7     539.697      1.5632     4275.92      127.67           0
          G8       547.8     1.54584     7637.82     169.076           0
          G9     645.329       1.334     5639.43     122.533           0
         G10     597.903     1.59532     6175.39     126.919           0
         G11     451.153     1.67491     6423.86     143.543           0
         G12     512.659     1.66472     4818.74     128.885           0
         G13     610.643     1.74702     3677.51     117.089           0
         G14     438.854     1.77071     3409.36      94.563           0
         G15     530.932     1.58327     6365.21     125.101           0
         G16     384.634     1.48033     8935.74     147.695           8
         G17     315.878     1.73872     6900.33     203.096           0
         G18     383.943     1.46753     5799.62     210.754           0
         G19      562.74     1.59557        5187     141.391           0
         G20       447.2     1.52123     4723.24      142.12           0
         G21     473.693     1.43718     5524.23     120.841           0
         G22     540.343      1.5606     7143.91     157.282           0
         G23     394.131      1.6727     1183.29     56.3731           0
         G24     525.062     1.44785     5758.45     146.865           0
         G25     374.061     2.92725     5786.69      144.66           0
         G26     396.646     3.11106     6919.55     156.097           0
         G27     417.327      3.6651     3720.17     134.125           0
         G28     518.699     2.97841     3073.76     115.904           0
         G29      336.22     2.36638     6798.57      220.19           0
         G30     436.193      2.8051     6212.75     146.923           0
         G31     383.122     1.39109     3672.06     145.621           0
         G32     358.303     1.42928     5393.83     123.431           0
         G33     465.954     1.51214     3607.56     86.1092           0
         G34     509.563     1.52632     1419.66     67.4477           0
         G35     518.966      1.7164     5488.76     113.378           0
         G36     516.349     1.27637     3774.06     104.133           0
         G37     495.379     1.42874     4482.34     124.533           0
         G38     355.374      1.3514     4325.45     132.424           0
         G39     474.271     1.25736     5002.58     140.472           0
         G40     470.129     1.48085     6862.66     216.399           0
         G41     291.545     1.36656     6077.62      160.24           0
         G42     382.221      1.5515     4721.99     145.019           0
         G43     384.751     1.61436     4964.49     123.921           0
         G44     260.746     1.15881     1912.83     96.0186           0
         G45     324.479     1.38259     3752.99     115.131           0
         G46     325.456     1.47388     4965.42     120.666           0
         G47     239.093     1.09549     4681.67     134.732           0
         G48         212     1.27836     8003.18     257.031           0
         G49     432.032      1.3269     3875.97     107.397           0
         G50     347.989     1.32041     6327.69      141.36           0
         G51     378.623     1.37496     4590.72     127.356           0
         G52     542.125      1.5496     3762.49     107.933           0
         G53     328.253      1.2879     5111.56     149.281           0
         G54     378.402     1.37697        2771      79.782           0
         G55     235.823      3.0762      3062.4     107.753           0
         G56     393.546     3.00781     4742.39     148.666           0
         G57     590.848     2.67796     1380.13     61.9234           0
         G58     580.024      3.2204     2903.32     112.555           0
         G59     600.457     3.18364     5944.32     150.776           0
         G60     509.234     2.61078     5351.75     169.575           0
         G61     376.248     1.26736     4469.55     135.378           0
         G62     297.719     1.28268     7052.78     203.031           0
         G63     434.607     1.39967     5127.37      132.97           0
         G64     495.145     1.14742     6416.48     163.924           0
         G65     370.447     1.74407     6853.86     185.085           0
         G66     462.528     1.53482     6893.58     146.642           0
         G67     397.537     1.16255     4642.25     117.889           0
         G68     374.169     1.25631     4307.82     101.573           0
         G69     526.076     1.17037     7573.48     169.013           0
         G70     461.583     1.25958     6480.01     128.687           0
         G71     363.846     1.45569      4540.8     120.502           0
         G72     445.619     1.26871     4541.06     116.265           0
         G73     313.841     1.21929     5993.99     156.057           0
         G74     300.456     1.31569     6518.86     240.233           0
         G75     390.262     1.39334     4568.62     118.671           0
         G76     266.157     1.90688     6569.08     207.959           0
         G77     258.985     1.23635     8028.17     284.206           0
         G78     370.473     1.48834      4673.2     149.941           0
         G79      373.41     1.23813     4200.34     124.391           0
         G80     524.824     1.01677      4216.2      119.76           0
         G81     601.435     1.35097     3822.99     86.7108           0
         G82     500.871     1.25832     7877.71     165.048           0
         G83     340.733      1.3889      5362.3     165.612           0
         G84     560.129     1.20507     7276.81     160.827           0
         G85     378.958     2.73456     4840.08     128.392           0
         G86     367.325     3.36296     4085.28     151.004           0
         G87      501.93     2.97089     3717.39     120.177           0
         G88     478.979     2.23515     4935.82     151.288           0
         G89     626.032     2.71235     5448.49     214.752           0
         G90     543.994     2.49262     4058.98     118.675           0
         G91     418.774     1.59146     5598.96     134.222           0
         G92     544.046     1.52224     4999.19     151.802           0
         G93     328.558     1.71558        3854     126.888           0
         G94     383.176     1.44495     3575.55     112.998           0
         G95      403.78      1.5841     5205.57      125.15           0
         G96     499.654     1.40846     4590.33     101.064           0
         G97     533.362     1.19142     6209.01      168.85           0
         G98     436.886     1.09208     6250.79     170.483           0
         G99     646.417     1.18377     6065.75     189.938           0
        G100     492.229     1.69007        4336     128.202           0
        G101     643.517     1.83169      6971.7      133.81           0
        G102     442.226     1.29657     5704.37     122.736           0
        G103      482.65     1.71145     6300.04     166.748           0
        G104     376.827     1.27138     4003.09     132.946           0
        G105     531.062     1.51008     6168.62      147.93           0
        G106      434.46     1.57359     4908.57      143.94           0
        G107     365.551     1.14573           0           0           2
        G108     390.842     1.36384     3901.88     118.496           0
        G109     515.404     1.38278     6466.03     170.977           0
        G110     598.846     1.29793     6491.81     183.865           0
        G111     387.476     1.09015     3947.15     131.026           0
        G112     569.703     1.52284     3510.04     94.6442           0
        G113     525.248     1.20087     4941.78     137.929           0
        G114     509.533     1.31401     5871.04     153.423           0
        G115     529.419     2.31736      4186.2     123.052           0
        G116     513.663     2.80755      4259.4     117.758           0
        G117     368.989     3.37682     4229.07     101.924           0
        G118     448.943     2.77821     3261.69     91.9215           0
        G119     510.154     2.84078     2920.48     96.3086           0
        G120     364.887     2.26863     4600.77     110.696           0
        G121     520.381     1.71205     4640.04     100.775           0
        G122     365.552     1.67615     2741.47     82.2503           0
        G123     453.746     1.76785     4240.09     100.006           0
