    REF_GAIN           0     1.08826    0.226699           3
          G1     622.749     1.83468     3078.68     74.6871           0
          G2     663.697     1.67071      2937.7     80.0952           0
          G3     679.293     1.79647     4383.95     106.059           0
          G4     591.143     1.52599     3312.76      84.331           0
          G5     538.228     1.33268     3377.44     100.181           0
          G6     509.859      1.5011     2921.49     82.2497           0
          G7     536.931     1.60508     2351.66     68.6137           0
          G8      543.81     1.54106     4374.25     100.045           0
          G9     643.648     1.47198     3137.04     66.9153           0
         G10     599.216     1.61389     3433.74     73.1181           0
         G11     452.241     1.67088     3549.67     82.8076           0
         G12     512.243     1.77929     2523.72     67.9553           0
         G13     607.921     1.79359     2126.42     61.1969           0
         G14     435.411     1.70608     1981.82     51.5483           0
         G15     528.651     1.64688     3565.03     72.7404           0
         G16     378.874     1.59442     2806.45     67.6183           0
         G17     310.853     1.87405     3735.79     115.294           0
         G18     381.171     1.54364     3139.21     116.009           0
         G19     563.098     1.78272     3042.67     81.6574           0
         G20     444.581      1.7423     2615.47     76.5109           0
         G21     471.487     1.72304     3073.41     69.1732           0
         G22     531.684     1.77869     4167.14     90.4489           0
         G23      392.45     1.72193     795.797     29.0726           0
         G24     522.648     1.50232     3208.05     80.5559           0
         G25     371.963     3.19857     3153.53     81.0739           0
         G26     391.019     3.39744     3860.49     88.1974           0
         G27     413.873     3.80929     2099.07     74.8819           0
         G28     518.105     3.07925      1834.1     69.4944           0
         G29     330.942      2.5502     3694.31     126.131           0
         G30     431.769     2.98485     3404.79      83.569           0
         G31     539.622      1.4848      2196.3     76.0846           0
         G32     557.476     1.52246     3124.35     71.3409           0
         G33     730.842     1.49864     2345.82     48.5921           0
         G34     645.201     1.59341     1096.86     33.7687           0
         G35     705.762     1.74015      3199.8     63.9563           0
         G36     624.767      1.3133     2314.04     57.6726           0
         G37     491.231     1.44816        2571       69.22           0
         G38      347.48     1.37878     2482.65     76.3116           0
         G39     469.273     1.34618     2938.82     82.4622           0
         G40     462.709     1.57217     3798.09     125.836           0
         G41     291.871     1.35482     3468.78     96.2076           0
         G42     378.516     1.62223     2643.36     81.2576           0
         G43     381.791     1.71942     2860.48     73.8659           0
         G44     255.937        1.24     1112.14     54.1384           0
         G45     323.782     1.54116     2094.51     66.7448           0
         G46     320.402     1.61085     2717.79     67.5175           0
         G47     236.001      1.1354     2439.98     73.0804           0
         G48     208.208     1.30444     4404.26     151.983           0
         G49     430.418     1.63052     2127.72     56.9239           0
         G50      345.07     1.49615        3558     83.5068           0
         G51     380.287     1.61266     2640.37     73.7388           0
         G52     538.885     1.64363     2253.58     65.2588           0
         G53     326.392       1.337     2867.74     84.7031           0
         G54     377.856     1.42212     1584.75     42.5138           0
         G55     231.713     3.29234     1684.19     57.0743           0
         G56     391.091     3.20718     2596.74      81.317           0
         G57      604.11      2.9319     993.645     29.1757           0
         G58     580.942     3.47946     1809.27      64.841           0
         G59     601.733     3.29303     3328.91     85.8718           0
         G60     507.701     2.81526     3069.53       98.25           0
         G61     492.245     1.34857     2560.09     75.6883           0
         G62     482.383     1.34022     4048.96      109.38           0
         G63     527.755     1.48801     2883.26     73.9611           0
         G64      576.38     1.12395     3622.46     88.8592           0
         G65     681.808     1.85795     4099.48     101.945           0
         G66     590.197     1.65695      4053.7     83.5407           0
         G67     394.847     1.21001     2519.78      63.711           0
         G68     370.034     1.23397     2391.53     55.0006           0
         G69     525.707     1.27654     4235.02     98.2435           0
         G70     459.379     1.33332     3595.46     72.3481           0
         G71     364.116     1.44197     2519.07     66.8236           0
         G72     456.197     1.25722     2535.03     64.0105           0
         G73       310.5     1.29014     3224.74     88.5372           0
         G74      295.18     1.44036     3530.96     134.224           0
         G75     389.156     1.31172     2567.47     66.6856           0
         G76     261.072     1.19131      3934.4     120.699           0
         G77     253.363     1.28731      5278.1     184.565           0
         G78     369.245     1.44201     2600.36     83.0722           0
         G79     372.215     1.49354      2347.1     68.1218           0
         G80     524.883     1.25385     2380.86     63.8057           0
         G81     615.082     1.47361      2294.1     49.2774           0
         G82      500.43     1.29339     4326.94     94.9183           0
         G83     335.685      1.4108     2924.33     91.7015           0
         G84      561.53     1.29825     4033.19     89.8836           0
         G85     371.526     2.99392     2693.71     71.1324           0
         G86     361.127     3.52617     2331.91     85.4526           0
         G87     499.291     3.20664     2141.92     65.2549           0
         G88     475.933      2.3637     2768.57     84.1018           0
         G89     627.588       2.911     3165.65     122.064           0
         G90     545.584     2.69044     2396.38     65.0523           0
         G91     645.082     1.80841     3347.72     77.4946           0
         G92     642.384     1.66967     2928.47     83.8352           0
         G93     568.446     1.79505     2286.46     66.8702           0
         G94     604.432       1.565     2296.93     65.4683           0
         G95     603.506     1.62815     3166.17     72.1055           0
         G96     645.563     1.58294     2747.51     56.9439           0
         G97     545.175     1.24205     3483.82     97.4151           0
         G98     432.278     1.17272     3533.91     95.9063           0
         G99     647.012     1.29583     3720.03     112.483           0
        G100      496.04     1.67166      2500.2     71.0418           0
        G101     650.425      1.9544     3907.21     76.5569           0
        G102     441.834     1.27049     3125.22     69.9655           0
        G103     499.549     1.61849     3482.71     94.4187           0
        G104     377.054     1.36122     2179.53      70.815           0
        G105     534.257     1.53053     3460.62     83.8208           0
        G106     446.986     1.57575     2675.89     78.2501           0
        G107     365.361     1.17645     2332.09     61.7391           0
        G108     393.875     1.39917     2204.72     63.4691           0
        G109     519.511     1.67161     3733.56     97.4738           0
        G110     601.216      1.5237     3793.14     102.719           0
        G111     390.831     1.26833     2234.59     72.1525           0
        G112     583.515     1.58126     2007.07     50.8972           0
        G113     524.293     1.18428     2766.91     75.6986           0
        G114     511.737     1.41871     3262.67     84.9631           0
        G115     531.343     2.61172     2411.49     65.6039           0
        G116     519.752      3.1537     2358.26      63.494           0
        G117     368.695     3.53618     2372.86     57.9016           0
        G118     451.296     3.01074     1882.61     48.3307           0
        G119     513.637     2.99461     1746.62     49.7194           0
        G120     368.782     2.44338     2469.34     58.3924           0
        G121     627.008     2.04017     2732.89     55.5574           0
        G122     672.724      1.8401      1887.4     43.1795           0
        G123     640.195     1.86545     2579.71     56.2608           0
        G124     664.445     1.74154     2121.12     49.3898           0
        G125     539.961     1.73819     1910.98     46.6331           0
        G126     584.694     1.42448     3132.61     81.2969           0
        G127     413.063     1.27016     2307.07     50.4235           0
        G128     309.178     1.26457     2246.69     58.2386           0
        G129     463.415     1.12295     1775.38     40.9853           0
        G130     245.417     1.33807     2238.84     57.8356           0
        G131     397.011     1.60944     2922.76     58.3498           0
        G132     444.655      1.2423     2929.87      74.451           0
        G133     469.346     1.26009     2023.42       51.96           0
        G134      266.62     1.45756      1671.8     55.0174           0
        G135     495.391     1.12697     2212.36      54.206           0
