    REF_GAIN    0.454075      1.0959    0.229501           3
          G1     622.911     1.79994      3084.3     75.5836           0
          G2     663.913     1.65819     3127.89     89.0039           0
          G3     679.523     1.80894     4574.32     117.137           0
          G4     591.458     1.49889     3352.09     87.7429           0
          G5     538.431     1.31551     3486.36     108.369           0
          G6     510.351      1.4817      2940.1     87.0713           0
          G7      537.01     1.62057     2350.03     68.9611           0
          G8     544.021     1.52145     4613.05      108.26           0
          G9     643.703      1.4892     3103.98     66.8063           0
         G10     599.305     1.58861     3459.25     78.1537           0
         G11     452.437     1.63697     3659.32     88.5009           0
         G12      512.38     1.77637     2497.34     70.4069           0
         G13     608.133     1.76858      2093.9     61.8186           0
         G14     435.513      1.6724     1986.91     52.7601           0
         G15     528.814     1.61151     3653.62     75.6866           0
         G16     379.039     1.55504     2982.18     76.4769           0
         G17     310.967     1.83891     3858.73     122.737           0
         G18     381.428     1.54475     3186.29     125.762           0
         G19     563.279     1.90555     3228.01      92.332           0
         G20     444.394     1.75825     2596.15     78.9711           0
         G21     471.413     1.76091     3106.55     73.0769           0
         G22     532.361     1.76749     4536.55       101.8           0
         G23     392.918     1.69882     797.331     28.8712           0
         G24     523.058      1.4897     3261.44     84.8474           0
         G25     371.628     3.27479     3188.56     86.2983           0
         G26     390.714     3.56414     4070.97     95.3085           0
         G27     413.336     3.90726     2129.82      79.154           0
         G28     517.519     3.14494     1873.88     74.7908           0
         G29     330.941     2.59306      3819.9     135.705           0
         G30     431.555     3.06722     3462.37     88.9299           0
         G31     539.633     1.50672     2202.01     76.2257           0
         G32     557.503     1.50874     3184.91     73.4923           0
         G33     731.263     1.49827     2330.45     48.7927           0
         G34      645.34      1.5909     1097.96      33.709           0
         G35     705.739     1.74677     3222.05     65.9477           0
         G36     624.941     1.29754     2288.07     58.7669           0
         G37     491.265     1.48968      2600.7     72.8825           0
         G38     347.562     1.36332     2517.12     83.2272           0
         G39     469.283     1.36423     3064.16     91.6997           0
         G40     462.676     1.55738     3945.04     134.087           0
         G41     291.804     1.35637     3654.61     102.559           0
         G42      378.56     1.57851     2700.42     88.6221           0
         G43     381.908     1.73584     2924.56     77.6228           0
         G44     256.152     1.21672     1120.26     54.3986           0
         G45     324.096     1.47034     2088.26     65.9435           0
         G46     320.643     1.56439     2734.13     70.3957           0
         G47     236.127     1.14768      2494.2     78.1252           0
         G48     208.333     1.33669     4612.29     163.886           0
         G49      430.36     1.68168     2145.13     57.3657           0
         G50     344.939     1.55549     3623.34     89.0795           0
         G51     380.117     1.65938     2707.08     76.5601           0
         G52     539.259     1.64132     2260.33     66.9434           0
         G53     326.702     1.30789     3037.56     93.7971           0
         G54     378.074     1.42445      1573.2     43.7174           0
         G55     231.288     3.42831     1677.13     57.7405           0
         G56     390.297     3.30748     2614.21     82.1836           0
         G57     604.305     2.98872      996.28       29.66           0
         G58     580.815     3.57299      1858.4     71.4018           0
         G59     601.457     3.34668     3385.31     89.4273           0
         G60     507.193     2.89424      3134.5     102.964           0
         G61      492.73     1.33476     2585.02     79.1124           0
         G62     482.857     1.32345     4378.16     122.791           0
         G63     527.929     1.45743     2884.75     74.9333           0
         G64     576.575     1.11062      3780.4     96.2199           0
         G65     682.291     1.89032     4275.65     112.888           0
         G66     590.261     1.66892     4270.58     91.5578           0
         G67     394.621     1.18341     2540.93     67.2265           0
         G68     369.946     1.25043     2396.86     57.3037           0
         G69     525.733     1.32309     4354.06     103.319           0
         G70     459.465     1.32703     3742.78     78.2866           0
         G71     364.236     1.49263     2538.58     70.1067           0
         G72     456.037     1.26994     2584.43     68.7501           0
         G73     310.754     1.29028     3314.64     94.2585           0
         G74     295.353     1.42043     3600.26     142.628           0
         G75     389.112     1.28849     2552.07     68.0962           0
         G76      261.35      1.2016     4322.03      133.85           0
         G77     253.642     1.29184      5741.6     201.753           0
         G78     369.428     1.46749     2631.26     89.0586           0
         G79     372.216     1.53004     2360.32     69.7796           0
         G80     524.727     1.25265     2398.85     66.9541           0
         G81     614.787     1.57806     2313.45     51.5255           0
         G82     500.685     1.25955     4522.05     102.451           0
         G83     335.878     1.39156     2968.73     95.7945           0
         G84     562.137     1.31037      4164.5     96.7418           0
         G85      371.49     3.07525     2729.39      72.805           0
         G86     360.731     3.65639     2361.16     90.9446           0
         G87      498.77     3.28147     2150.09     65.8209           0
         G88     475.207     2.42656     2844.06     88.1119           0
         G89     627.814     3.01062     3267.17     132.194           0
         G90     545.545     2.82267     2411.11     65.6704           0
         G91     645.366     1.83818     3421.29      82.142           0
         G92     642.928     1.69316     2992.89     89.8121           0
         G93     569.154     1.79711     2309.72      67.788           0
         G94     604.851       1.544     2296.81      64.937           0
         G95     603.863     1.64086     3371.61     82.6258           0
         G96     645.967     1.55258     2755.29     57.5437           0
         G97     545.174     1.26212     3569.97     104.325           0
         G98     432.132     1.19162     3706.02     108.276           0
         G99     647.073      1.3213     3787.47     119.694           0
        G100     496.002     1.68035     2518.39     73.5444           0
        G101     650.407     1.94539     4005.44     79.7105           0
        G102     441.866     1.27294     3179.52     74.9261           0
        G103     499.483     1.58494     3570.43     99.1494           0
        G104     377.231     1.32288     2197.71     73.2353           0
        G105     534.424     1.52346     3509.88      86.468           0
        G106     446.917     1.55104     2674.42     79.4241           0
        G107     365.589     1.15953     2353.54     63.7801           0
        G108     393.953     1.41764     2223.01     64.7979           0
        G109     519.178     1.73589     3834.28     106.102           0
        G110     600.884     1.58333     4033.47     115.504           0
        G111     390.501     1.29606     2283.51     76.3982           0
        G112     584.365     1.53182      2003.8     49.7185           0
        G113     524.568     1.18274     2748.62     75.6225           0
        G114     512.085      1.4035     3281.78     87.2151           0
        G115     531.055      2.7548     2421.46     66.5982           0
        G116     519.382     3.34386     2381.04     66.0108           0
        G117     369.002     3.59407     2390.52     60.7007           0
        G118     451.382     3.17125      1876.8     48.3956           0
        G119     513.458     3.17696     1746.99     50.9877           0
        G120      368.49     2.55898     2476.11     60.9313           0
        G121     627.227     2.05195     2848.71     61.7385           0
        G122     673.054     1.85186     1892.81     42.6673           0
        G123     640.477     1.82064     2609.08     57.9671           0
        G124     664.764     1.74309     2131.14     50.1202           0
        G125     540.267     1.75012     1918.97     46.6276           0
        G126     585.073     1.42829     3182.33     85.8187           0
        G127     413.438      1.2801      2315.3     52.2313           0
        G128     309.301     1.26903     2283.21     60.9475           0
        G129     463.197     1.13888     1774.03     39.6929           0
        G130     245.219     1.34262     2322.95     63.6914           0
        G131     396.951     1.66651     2941.12     61.3762           0
        G132     444.669     1.26418     2973.63     78.0721           0
        G133     469.639     1.26091     2024.39     52.8543           0
        G134     266.978     1.47765     1681.66     56.9148           0
        G135     495.652     1.13589     2288.69      59.197           0
        G136      257.34     1.19928     2570.23     70.0585           0
        G137     247.316     1.38493     2157.11     61.6331           0
        G138     314.649     1.21269     3565.47     89.8698           0
        G139     319.031     1.38555     2006.25     64.4283           0
        G140     363.699     1.56938     2183.89     56.2302           0
        G141     371.672     1.25483     2741.02     82.5333           0
        G142       291.9     1.16062     3298.44     91.3291           0
        G143     272.501     1.50513     3041.34     81.2882           0
        G144     473.498     1.16472     2041.06     51.7911           0
        G145     461.515     3.60562     2842.91     79.9813           0
        G146     620.639     3.24607     4325.48     130.255           0
        G147         592     3.68643     2543.99     80.0465           0
        G148      366.67     3.11541     2390.94     81.7194           0
        G149     440.456     3.27524     3572.97     92.6859           0
        G150     324.855      2.6016     2680.43     73.9535           0
        G151     618.041     1.74373     3641.03     100.085           0
        G152     610.047     1.56267     1960.74     49.5108           0
        G153     442.976     1.99384     1937.55     61.7478           0
        G154     322.804     1.87801     3357.47     88.4315           0
        G155     271.272     1.84154     3075.65     89.3763           0
        G156     544.829     1.73241     1836.16      45.698           0
        G157     408.854     1.13661     3590.73     91.8104           0
        G158     507.624     1.29983      3208.7     82.7632           0
        G159     448.739     1.44013     2336.96     60.5249           0
        G160     698.128     1.44155     2628.52     63.6381           0
        G161     459.999     2.23763     2865.81      80.422           0
        G162      434.45     1.98424     1805.92     59.1392           0
        G163     383.112     1.21875     2318.05     60.8671           0
        G164     409.337     1.84093      1957.8     52.7892           0
        G165     450.412     1.69775     2538.55     77.1417           0
        G166     267.095     1.21361     2387.95     67.7947           0
        G167     337.748      1.4669     2836.54     79.1179           0
        G168     362.274     1.55588     2805.14     74.8733           0
        G169     337.206     1.26663     2937.71      71.506           0
        G170     515.984     2.05946     1788.04     46.2058           0
        G171     526.782     1.77874      2722.3     64.3654           0
        G172     342.688     1.30732     2525.83     68.0944           0
        G173     478.759     1.61923     2430.35     69.3983           0
        G174     606.078     1.59554     2611.53     74.9608           0
        G175     353.638     3.76778     2518.09     69.5891           0
        G176     297.586     3.02512     2303.74     69.3883           0
        G177     559.239     3.51607     1995.73     80.5706           0
        G178     442.984     3.32942      3247.1     86.4404           0
        G179     443.346     3.76037     2281.73     78.1112           0
        G180     462.749     2.74972     2390.51      61.491           0
        G181     565.946     1.83222     2445.65     63.3364           0
        G182     259.522      1.7904     1773.94     45.5382           0
        G183     466.815     1.84095     1870.34     54.8645           0
        G184     404.732     1.75957     2960.33     70.7943           0
        G185     634.624     1.78058     2253.47      62.128           0
        G186     597.984     1.84559     1777.83     48.0224           0
        G205     478.916     3.31299     3369.45     83.2535           0
        G206     429.413     3.62511      2826.7     68.6642           0
        G207     427.076     2.96471     3520.55     102.544           0
        G208     481.032     3.06814     2520.91     69.8013           0
        G209     662.676     2.80132     2638.43     75.4018           0
        G210     623.469     2.69452      2611.8      81.997           0
        G211     659.496     2.12541     1574.78      28.669           0
        G212     462.802     1.64424      2881.4     87.0661           0
        G213     369.207     1.85925     3033.23     73.6208           0
        G214     324.515     1.71209     2400.22     71.0291           0
        G215     341.415     1.65395     3041.72      84.382           0
        G216     453.252     1.61632     1742.42      54.245           0
        G235     601.439     3.56166     2813.02     86.6593           0
        G236      545.79     2.80428     1745.53     51.3316           0
