    REF_GAIN           0     1.09815    0.230933           3
          G1      622.63     1.76636     5592.67     142.509           0
          G2     663.368     1.61014     5122.98      148.37           0
          G3     678.502     1.79503     7727.56     188.005           0
          G4     590.307     1.56024     5895.11     152.488           0
          G5     537.712     1.33927     6108.38     184.146           0
          G6     508.685     1.51619     5376.75     153.082           0
          G7     536.446     1.58583     4300.33     132.419           0
          G8     543.403     1.52891     7900.11     174.237           0
          G9     643.705     1.47798     5628.99     127.561           0
         G10     598.658     1.62192     6286.72     132.918           0
         G11      451.92     1.71491     6610.76     153.306           0
         G12     511.506     1.75598     4746.88     134.887           0
         G13     607.543      1.7718     3650.93     120.695           0
         G14     435.065     1.67147     3434.99     97.7069           0
         G15     528.611     1.58458     6501.53     130.894           0
         G16     378.374      1.5484           0           0           2
         G17     310.596     1.82804     7112.48      210.86           0
         G18     381.118     1.52373     5906.34     217.978           0
         G19     561.552     1.78432     5415.99     153.729           0
         G20     443.417     1.72138     4839.23     149.301           0
         G21     471.081     1.66433      5634.8     127.778           0
         G22     531.265     1.72388     7531.26     169.498           0
         G23     391.775     1.67452     1184.41     56.8784           0
         G24     522.772     1.48959     5876.87     152.534           0
         G25     371.251      3.1329     5894.63     152.917           0
         G26     390.422     3.29436     7132.26     162.034           0
         G27     413.632     3.79819     3825.96     141.402           0
         G28     517.615     3.05568     3159.85     124.544           0
         G29     329.961     2.48354     7009.36     234.901           0
         G30     431.002     2.90768     6331.96     151.147           0
         G31     539.435      1.4645     3838.21     148.121           0
         G32      557.12     1.52675     5734.87     130.313           0
         G33     729.546     1.49951     3855.36     91.5307           0
         G34     644.607     1.63557     1534.01     66.4276           0
         G35     705.272     1.74685     5705.59      116.77           0
         G36     624.097      1.3302     3913.39     107.485           0
         G37     490.627     1.49765     4584.25     130.121           0
         G38     346.949     1.37194     4531.74     143.324           0
         G39     468.766     1.37212     5190.04      147.12           0
         G40     461.999      1.5526     7088.62      234.18           0
         G41      291.58     1.44715     6564.07      180.42           0
         G42     377.943      1.5734     4887.13     151.343           0
         G43     382.127     1.73798     5084.56     128.728           0
