    REF_GAIN    0.518786     1.22828    0.251507           2
          G1     501.563     1.64413     5451.87     140.765           0
          G2     649.698     1.56362     4909.79     139.811           0
          G3     452.908     1.74198     7164.22     180.243           0
          G4     513.623     1.42514        5732     144.651           0
          G5     304.594     1.20128     5675.53     174.592           0
          G6     421.303     1.36749     5385.36     151.231           0
          G7     539.675     1.52114     4365.41     130.334           0
          G8     547.659     1.52593     7734.94     170.554           0
          G9      645.39     1.33943     5829.28     126.128           0
         G10     598.104     1.57043     6265.77     128.701           0
         G11     451.322     1.68454     6555.17     146.261           0
         G12     512.843     1.66694     5035.68     134.192           0
         G13     610.771     1.74622     3838.74     122.153           0
         G14     438.876     1.75185     3464.72     97.7243           0
         G15     530.974     1.57418     6545.89     125.509           0
         G16     384.643     1.46682     8987.46     117.658           8
         G17     315.924     1.69632     6961.36     209.502           0
         G18     383.997     1.38154     5962.18     215.857           0
         G19     562.708     1.66549     5248.36     146.746           0
         G20     447.192     1.66448     4836.65     142.886           0
         G21     473.677     1.57142     5646.14     124.862           0
         G22       540.4     1.56186     7247.78     159.399           0
         G23      394.24     1.63875     1194.42     56.3508           0
         G24     525.177     1.43782     5889.51     147.524           0
         G25      374.11     2.87429     5900.72     148.821           0
         G26     396.686     3.09831     7068.51     158.681           0
         G27     417.383     3.63787     3708.48     135.869           0
         G28     518.792     2.92626     3084.56      119.27           0
         G29     336.111     2.36091     6828.28     224.019           0
         G30     436.215     2.74718     6253.49     148.798           0
         G31     383.216      1.3933     3702.11     147.116           0
         G32     358.278     1.44263     5443.99     126.596           0
         G33      466.45     1.45504     3731.25     89.6855           0
         G34     509.936     1.53891     1435.33     68.9187           0
         G35     519.201     1.69396      5535.4     116.978           0
         G36     516.484     1.28354     3863.78     107.992           0
         G37     495.331     1.41085      4497.1     126.812           0
         G38     355.091      1.3382     4314.52     134.269           0
         G39     474.184     1.22618     5046.63     144.744           0
         G40     470.394     1.46899      6972.1     223.198           0
         G41     291.747     1.37729     6174.14     162.828           0
         G42     382.192      1.5425     4780.65       148.3           0
         G43     384.684     1.60133     5011.25     124.499           0
         G44     260.788     1.13352     1926.37     99.4739           0
         G45     324.457     1.36546     3845.12     121.339           0
         G46     325.524     1.47004     4984.31     123.871           0
