    REF_GAIN           0     1.10016    0.231295           3
          G1     624.511     1.72846     5659.26      146.47           0
          G2     665.068     1.63985     5184.79     154.128           0
          G3     680.087     1.81535     7795.14     195.833           0
          G4     591.697     1.51265     5986.06     156.305           0
          G5     538.513     1.35024     6182.23     183.748           0
          G6     508.761     1.50826     5490.17     156.756           0
          G7      536.85     1.59347     4358.58     135.101           0
          G8     543.724     1.57903     8050.46     190.195           0
          G9     644.138     1.47725      5799.3     127.714           0
         G10     599.219     1.61995     6379.33     136.538           0
         G11     452.231     1.67736     6760.38     157.926           0
         G12     511.961     1.74504     4865.64     134.083           0
         G13     608.153     1.79728     3738.44     126.116           0
         G14     435.441     1.70459      3463.1     98.8761           0
         G15     529.161     1.57719     6669.56     138.004           0
         G16     378.718     1.55113           0           0           2
         G17     310.867     1.84802     7192.88     219.238           0
         G18     381.403     1.47153     6000.84     225.767           0
         G19     561.935     1.85506     5490.82     159.273           0
         G20     443.662      1.7868     4887.62     149.726           0
         G21     471.434     1.70046     5781.74     132.143           0
         G22      531.65     1.77182      7667.8     182.886           0
         G23     392.085     1.67682     1189.75     56.7082           0
         G24     523.186      1.5277     5996.98      153.67           0
         G25     371.499     3.08764     6010.08     153.207           0
         G26     390.801     3.25792     7266.08     167.938           0
         G27     414.032     3.85788     3865.71     141.885           0
         G28     517.982     3.07116     3189.32     129.019           0
         G29     330.307     2.45394     7135.73     239.594           0
         G30     431.547     2.93086     6444.16     157.305           0
         G31      540.28     1.45728     3867.74     148.439           0
         G32     557.791     1.53415     5815.67     135.342           0
         G33     730.593     1.50769     3942.89     93.6841           0
         G34     646.275     1.61248     1539.58     67.2156           0
         G35     707.039     1.78414      5767.3     117.875           0
         G36     625.222     1.33741     4001.16      111.04           0
         G37     491.017     1.49039     4613.67     128.663           0
         G38     347.536     1.38016     4582.68     145.471           0
         G39     469.253     1.37631     5256.95     154.921           0
         G40     462.194     1.48427     7194.29     235.883           0
         G41     291.833     1.38145     6661.23     187.292           0
         G42     378.278     1.57213     4936.53     155.993           0
         G43     382.454     1.78535     5141.59     132.156           0
         G44     256.359     1.18191     1967.91     103.423           0
         G45     324.569     1.44965     3831.57     123.185           0
         G46     320.576     1.55584        5084     128.184           0
         G47     236.272     1.12941     4860.94     145.597           0
         G48     208.306     1.21336     8501.88     269.699           8
         G49     430.424     1.62462     3998.36      111.56           0
         G50     343.872     1.54105     6554.97     152.917           0
         G51     380.131     1.60931        4772     134.003           0
         G52     539.011     1.64545     3868.56      119.36           0
         G53     326.089     1.32771     5410.83     169.111           0
         G54     377.429     1.33801     2808.91     83.3411           0
         G55     231.923     3.14776     3123.62      112.56           0
         G56     391.961     3.12165     4832.51     154.469           0
         G57     602.349     2.79977     1410.23     61.0972           0
         G58     580.538     3.37343     3046.17     121.436           0
         G59     601.261     3.32617     6155.46      159.65           0
         G60     507.755     2.67704     5556.83     175.867           0
         G61     491.222      1.3172     4685.78     146.847           0
         G62      481.77     1.31866     7513.32     222.884           0
         G63     527.859     1.46134     5352.92     141.067           0
         G64     576.856     1.13899     6764.16      174.18           0
         G65     681.607      1.8232      7405.6     190.391           0
         G66     591.131     1.60938     7324.68     163.359           0
         G67     394.822      1.1894     4786.87     123.035           0
         G68     369.988     1.25836     4461.73     104.868           0
         G69     525.475     1.30927     7899.42     185.428           0
         G70     459.323     1.36129     6774.39     139.722           0
         G71     364.162     1.47376     4704.62     127.377           0
         G72     455.215     1.30678     4702.08     126.057           0
         G73     310.957     1.24287      6232.5     172.976           0
         G74     295.708     1.36637     6821.24      254.48           0
         G75     388.832     1.30344     4691.86      125.57           0
         G76     264.728     2.29133     7095.63      227.16           0
         G77     253.919     1.25163     8580.29     298.552           8
         G78     369.243     1.44974     4860.51     160.637           0
         G79     372.471     1.53911     4303.12     130.883           0
         G80     525.329     1.25927     4359.75     127.741           0
         G81     611.114     1.50179     3962.46     91.5525           0
         G82     500.708     1.29831     8247.82      185.17           0
         G83     335.694     1.40103     5574.17     179.151           0
         G84     561.027     1.28195     7562.15     171.729           0
         G85     371.177      2.8255     5055.07     137.531           0
         G86     361.068     3.43953     4254.08     159.123           0
         G87     499.811     3.11672     3797.03     128.675           0
         G88     476.561     2.33802     5108.27     159.395           0
         G89     626.539     2.84001     5699.16     229.948           0
         G90      544.65     2.54461     4152.27     125.095           0
         G91     645.339     1.74985     6100.05     145.322           0
         G92     641.738     1.58125     5205.98       160.2           0
         G93     566.745     1.81438     4151.22     131.726           0
         G94     603.058     1.50907     3900.86     118.998           0
         G95      602.56     1.57614     5697.86     142.142           0
         G96     645.118     1.52692     4891.09     105.113           0
         G97     544.576     1.24485     6453.46     181.972           0
         G98      432.05     1.17846     6589.06     182.101           0
         G99     646.776     1.29117     6560.88     207.503           0
        G100     495.526     1.63934     4480.53     137.559           0
        G101     649.492     1.81723     7245.58     142.835           0
        G102     441.487     1.25903     5950.39      134.89           0
        G103      499.12     1.58469     6554.62     175.736           0
        G104     377.292     1.29897     4135.52     139.554           0
        G105     534.309     1.51383     6399.66     156.792           0
        G106      445.93     1.53651     5051.12      151.55           0
        G107     365.555     1.15558           0           0           2
        G108     393.632     1.35792     3991.58     124.145           0
        G109     518.055     1.72683     6908.84     183.112           0
        G110     600.006     1.54711     6874.01     203.331           0
        G111     390.908     1.26856     4104.63     136.672           0
        G112     582.526     1.60225     3624.26     98.7554           0
        G113     524.296     1.22861     5048.87     146.339           0
        G114       511.4     1.41383     6032.01     163.217           0
        G115     530.762     2.52364     4252.74     130.612           0
        G116      519.34     3.05751     4395.36     125.949           0
        G117     368.093     3.54766     4389.25     108.965           0
        G118     450.766     2.89953     3319.79     93.8854           0
        G119     513.201     2.87288     2956.14     97.8084           0
        G120     368.691     2.36427     4743.41     116.488           0
        G121     628.155     2.00166     5019.03     112.002           0
        G122     673.175     1.84536     3114.28     85.7231           0
        G123     640.635     1.82535     4584.19     110.612           0
        G124      664.67     1.72337     3590.14     91.9753           0
        G125     539.725     1.72611     3438.98      90.018           0
        G126     584.296     1.36351     5885.97     160.798           0
        G127     413.329     1.26992     4348.76     97.4921           0
        G128       309.2     1.29448     4193.96     106.402           0
        G129     463.269     1.12928     3210.06     81.5323           0
        G130     245.286     1.38094     4484.51     115.259           0
        G131     396.944     1.66698     5742.97     118.458           0
        G132     444.539     1.26998        5504     145.649           0
        G133     469.594     1.22191     3590.07     102.618           0
