    REF_GAIN           0     1.10038    0.231358           3
          G1      623.33     1.76208     5666.15     145.591           0
          G2     664.046     1.64377     5131.76     148.351           0
          G3     679.255     1.82662     7742.31     188.949           0
          G4     590.936     1.53953     5990.32     153.786           0
          G5      538.22     1.35588     6163.81     185.329           0
          G6     509.139     1.54269     5446.78     154.119           0
          G7     537.091     1.57169     4340.65     132.567           0
          G8     544.109     1.54311     8048.56     178.289           0
          G9     643.941     1.50369     5816.28     126.625           0
         G10     599.266     1.62343      6362.5     133.002           0
         G11     452.355     1.67421     6735.47     151.872           0
         G12     512.072     1.78314     4829.22     136.275           0
         G13     608.116     1.73857     3735.34     124.236           0
         G14     435.537     1.64253     3462.45     99.7998           0
         G15     529.129      1.5838     6712.56     131.548           0
         G16     378.757     1.54476           0           0           2
         G17      310.91     1.82208     7165.52     213.233           0
         G18     381.455     1.47396     5969.48     220.674           0
         G19     562.233     1.82316     5458.39     153.546           0
         G20     443.915      1.7834     4870.45     149.548           0
         G21     471.525     1.70676     5795.63     127.274           0
         G22     531.936     1.74073     7614.74     168.485           0
         G23     392.123     1.66086     1191.21      56.453           0
         G24     523.265     1.49553     6001.18     153.249           0
         G25     371.581     3.06001        6030     154.339           0
         G26      390.82      3.2488     7208.55     163.277           0
         G27     414.059     3.83749      3848.2     142.311           0
         G28     518.077     3.07345     3173.31     125.815           0
         G29     330.382     2.45505     7140.59     240.148           0
         G30     431.506     2.92682      6445.1      155.72           0
         G31     540.059      1.4653     3865.09     150.106           0
         G32     557.775     1.54806     5812.28     130.834           0
         G33     730.207     1.48767     3958.64      90.871           0
         G34     645.294     1.60204     1537.49     68.1255           0
         G35     706.071     1.79305     5788.24     118.734           0
         G36     624.778     1.33679     4051.33     110.413           0
         G37     491.192     1.51252     4602.83     128.243           0
         G38     347.469     1.39745     4560.43     140.898           0
         G39      469.38     1.39722     5228.64     151.759           0
         G40     462.331     1.52832     7129.85     231.084           0
         G41     291.897     1.40805     6614.78      179.64           0
         G42      378.34     1.57957     4919.89      152.05           0
         G43     382.516     1.73131     5133.93     131.414           0
         G44     256.281     1.16114     1961.47     103.508           0
         G45     324.391     1.43856     3836.06     124.347           0
         G46     320.651     1.57987     5088.54     126.912           0
         G47     236.242     1.13439     4846.17     143.342           0
         G48     208.249     1.20824     8423.06     272.606           8
         G49      430.57     1.59692     3991.39     110.972           0
         G50       343.9     1.49333     6526.76     148.121           0
         G51     380.183       1.596     4765.27     132.108           0
         G52     539.161     1.60242     3850.67     113.528           0
         G53     326.068     1.32146     5371.29     160.638           0
         G54     377.322      1.3362     2793.99     83.6476           0
         G55     231.773     3.16405     3123.47     107.986           0
         G56     391.859     3.15599     4805.99     154.479           0
         G57     602.542     2.84192     1415.28     61.6067           0
