    REF_GAIN           0     1.09942    0.231115           3
          G1     623.492     1.75586     5659.53     143.715           0
          G2     664.262     1.62266     5170.16     150.972           0
          G3     679.365     1.82408      7783.8     189.647           0
          G4     591.063     1.52786     5977.84      151.58           0
          G5     538.275     1.36308     6170.98     181.548           0
          G6     509.083     1.50761     5453.89     154.069           0
          G7      537.03     1.65485     4338.68     133.658           0
          G8       543.8     1.58901     8041.39     178.157           0
          G9       644.3      1.4903     5750.62     129.211           0
         G10     599.282     1.61282     6353.43     134.697           0
         G11     452.406     1.67215     6728.34     153.568           0
         G12     512.033     1.74863     4817.45     135.841           0
         G13     608.115     1.81013     3698.88      122.05           0
         G14     435.461     1.71442     3456.38     99.1302           0
         G15     529.146     1.60311     6646.64     130.534           0
         G16     378.776     1.52059           0           0           2
         G17     310.918     1.78017     7181.01     214.547           0
         G18     381.494     1.45395     5974.19     221.677           0
         G19     562.042      1.7742     5477.15     154.037           0
         G20     443.715     1.69046     4874.27     148.863           0
         G21     471.448     1.60139     5750.67     126.291           0
         G22     531.609     1.76978     7647.56      168.65           0
         G23      392.05     1.72945     1190.41     57.7461           0
         G24     523.233     1.53594     5974.46     148.137           0
         G25     371.486     3.12051     5986.11     152.093           0
         G26      390.78      3.3465     7231.37      158.83           0
         G27     414.034     3.87088     3858.78     142.774           0
         G28      518.07     3.07811     3186.34     127.318           0
         G29     330.077     2.47216      7120.6     237.362           0
         G30     431.353     2.94427     6421.54     155.504           0
         G31     540.141     1.48768     3856.71     147.581           0
         G32     557.799     1.54487     5814.14     130.845           0
         G33     730.231     1.50581      3915.2     91.0461           0
         G34     645.373     1.59743     1537.17     66.7861           0
         G35     706.129     1.78408     5766.77      116.51           0
         G36     624.819     1.31425     3998.06     110.052           0
         G37     491.183     1.52818     4611.54     129.027           0
         G38     347.473     1.40577      4574.6     144.698           0
         G39     469.284     1.39943     5245.56     152.555           0
         G40     462.341     1.50568      7167.4     230.902           0
         G41     291.927     1.38445     6636.19     173.177           0
         G42     378.221     1.56262     4932.82     151.439           0
         G43     382.456     1.78462     5141.05     130.534           0
         G44     256.303     1.20132     1964.23     104.011           0
         G45     324.332     1.48753     3824.83     123.492           0
         G46     320.701     1.49712     5089.01     126.842           0
         G47      236.29     1.11833     4844.33     142.998           0
         G48      208.28     1.18653     8464.93     271.781           8
         G49     430.461     1.52136     3989.82     112.489           0
         G50     343.688     1.44137     6542.75     149.664           0
         G51     380.038      1.5064     4767.03      132.64           0
         G52      539.07     1.61472     3856.35       116.7           0
         G53     326.071     1.32423      5394.7     162.153           0
         G54     377.314     1.36269     2794.63     84.3247           0
