    REF_GAIN    0.521074     1.23093    0.246226           2
        G132     447.075     1.20877     5079.57     129.566           0
        G133     474.055     1.24641     3452.38     92.8841           0
        G134     273.222     1.35809     2846.89     91.1193           0
        G135     496.256     1.07558     3559.74     88.5536           0
        G136     264.982     1.16487     4572.78     114.776           0
        G137     255.482     1.29136     3878.02     105.188           0
        G138     314.464       1.128     5820.57     134.999           0
        G139     326.863     1.12312      3118.1     92.9882           0
        G140     366.147      1.3095     3781.73     90.9067           0
        G141     375.311     1.02268     4553.59      131.26           0
        G142     296.299     1.16748     5110.06     139.936           0
        G143     280.798     1.58414     4899.32     123.895           0
        G144     475.495     1.08705     3433.97     87.3802           0
        G145     465.752     3.20381     4347.56     117.642           0
        G146     617.904     2.86977     7028.69     204.888           0
        G147     591.769     3.43844     4144.09      127.68           0
        G148     364.604     3.03776     4021.25      125.95           0
        G149     441.894     2.95893     5818.41     142.046           0
        G150     324.662     2.40794     4766.65     120.612           0
        G151     399.616     1.57801      5442.9     151.389           0
        G152     489.788     1.40239     2885.72     80.4282           0
        G153     438.681     1.88315     3315.78     112.707           0
        G154     323.922     1.87827     6118.13     150.873           0
        G155     277.714     1.90876     4972.35     133.463           0
        G156     544.574     1.76771     3135.33      85.733           0
        G157     411.283     1.08816     5757.93     140.085           0
        G158     505.567     1.26107     5681.72     138.515           0
        G159     447.936     1.41775      4035.4     100.146           0
        G160     698.918     1.38174     4359.22     107.561           0
        G161     459.299     2.42944     4760.46     124.974           0
        G162     433.451     2.05146     3029.98     102.515           0
        G163     387.951     1.23468     4078.29     100.044           0
        G164     409.898      1.8451     3460.69     92.1877           0
        G165     455.506     1.69254     4032.69     117.385           0
        G166     271.793      1.1972     4243.89      110.59           0
        G167      337.18      1.5897     5082.16     130.051           0
        G168      362.09      1.6399     4793.41     120.359           0
        G169     339.585     1.11819      4602.2     105.449           0
        G170     516.066     1.80756     2909.67     84.5991           0
        G171     526.551     1.87664     4473.53     102.343           0
        G172     344.747     1.26227     4619.89      118.37           0
        G173     477.714     1.53941      3993.4     110.132           0
        G174     606.021     1.40548     4212.34     118.771           0
        G175      353.77     3.32328     4541.19     121.515           0
        G176     321.703     2.61453     4015.35      114.62           0
        G177     556.187     3.16673     3257.18     140.487           0
        G178     443.693     3.02393     5528.45     136.226           0
        G179     443.028     3.34428     3614.47       122.5           0
        G180     461.616     2.45841     3463.55      90.576           0
        G181      565.36     1.81334     4006.37     104.443           0
        G182     263.291     1.70125     3228.56     80.0091           0
        G183     469.114      1.7507     3124.42     96.3387           0
        G184     404.882     1.72187      4600.4     105.218           0
        G185     621.494     1.69623     3483.62     96.3294           0
        G186     597.673     1.66814     2832.04     82.0741           0
        G205     478.583     2.94956     5555.57     131.088           0
        G206     430.182     3.21538     4840.76     109.315           0
        G207     428.301     2.58956     5679.57     160.739           0
        G208      480.91     2.70202     3730.45     103.298           0
