    REF_GAIN           0     1.10052    0.231249           3
          G1     623.279     1.75135     5637.99     144.251           0
          G2     663.877     1.61873     5083.29     145.532           0
          G3     678.862     1.79113     7662.11     185.282           0
          G4     590.611     1.52621     5940.18     153.615           0
          G5     537.793     1.31749     6117.21     184.568           0
          G6     508.289     1.50449     5433.01     150.941           0
          G7     536.414     1.61913     4326.58     130.583           0
          G8     543.302     1.57312     7950.84      176.25           0
          G9     643.147     1.49575     5778.67     123.116           0
         G10     598.536     1.62038     6324.79     134.943           0
         G11     451.783     1.70464     6673.37     149.206           0
         G12     511.333     1.77778     4830.69      132.36           0
         G13     607.441     1.77408     3732.26     123.928           0
         G14     435.007     1.68363     3449.23     99.5856           0
         G15      528.58     1.56656     6624.91     129.945           0
         G16     378.327     1.55778           0           0           2
         G17     310.567     1.79291     7106.09     215.478           0
         G18     381.019       1.509     5939.23     217.779           0
         G19     561.548     1.77844     5392.68      149.79           0
         G20     443.311     1.68379     4853.23     147.174           0
         G21     470.992     1.63746     5739.57     128.312           0
         G22     530.977     1.75141     7505.07     168.221           0
         G23     391.638     1.66462        1192     57.0496           0
         G24      522.58     1.50929      5947.8      151.33           0
         G25     371.081     3.16104     5975.19     152.509           0
         G26     390.342     3.32073     7143.39     160.252           0
         G27     413.587     3.87149     3823.85     139.439           0
         G28     517.437     3.08123     3153.37     123.098           0
         G29     329.829     2.49717     7063.15     229.944           0
         G30      430.99     2.94752     6391.21     153.615           0
         G31     539.624     1.44624     3857.81     148.157           0
         G32       557.1     1.53685     5771.11     128.607           0
         G33     729.553     1.47927     3929.78     92.3955           0
         G34     645.097     1.61908     1539.27     67.0104           0
         G35     705.781     1.79115     5738.12     115.642           0
         G36     624.305      1.3265     4016.19     110.543           0
         G37     490.676     1.48297     4579.66      127.56           0
         G38     347.141     1.38227     4522.28     140.712           0
         G39     468.815     1.38499     5176.55     147.748           0
         G40     461.735     1.51435      7078.4      231.02           0
         G41     291.681     1.44106     6547.74     175.219           0
         G42     377.799     1.59282     4874.21     151.928           0
         G43     382.007     1.71033     5096.42     129.475           0
         G44     256.091     1.18492     1951.36     100.316           0
         G45     323.909     1.46244     3820.07     121.185           0
         G46     320.262     1.54742     5061.96      126.21           0
         G47     236.063     1.12626     4808.34      141.36           0
         G48     208.106     1.26082     8201.81     205.334           8
         G49     430.038     1.55632     3966.03     107.902           0
         G50     343.612      1.4887      6484.7     149.446           0
         G51     379.792     1.49206      4727.1     129.403           0
         G52     538.415     1.61907      3833.7     113.438           0
         G53     325.845     1.33802      5309.5     158.603           0
         G54     377.113     1.35064     2798.21     83.8458           0
         G55     231.686     3.18478     3111.36     110.153           0
         G56     391.511     3.14989     4796.81     151.613           0
         G57     601.606     2.90906     1410.24     60.9938           0
         G58     579.885     3.44341     3001.71      117.78           0
         G59     600.695     3.35113     6117.54     156.287           0
         G60     507.245     2.75233     5498.66     176.275           0
         G61     490.691     1.33252     4650.08     138.498           0
         G62     481.163     1.33142      7353.1     207.783           0
         G63     527.042     1.48694     5337.08     141.418           0
         G64     575.999     1.14856     6680.91      166.84           0
         G65     680.498     1.78529     7332.81      190.47           0
         G66     590.136     1.62227     7226.08     152.434           0
         G67     394.432     1.20028     4763.19      119.62           0
         G68      369.66     1.25589     4441.44     102.988           0
         G69     525.043     1.28189     7824.71     178.213           0
         G70     458.841     1.36988     6700.94     136.476           0
         G71     363.746     1.49393     4662.69     122.091           0
         G72     454.798     1.30352     4676.41     123.076           0
         G73     310.509     1.25507     6169.58     165.294           0
         G74     295.294     1.38118     6769.36     247.774           0
         G75     388.422     1.30244     4679.87     126.879           0
         G76      263.83     2.02805     6958.58     213.729           0
         G77     253.684     1.25705     8316.84     248.019           8
         G78     368.858      1.4705      4833.7     153.465           0
         G79     372.208     1.44706     4284.94     128.437           0
         G80     524.421     1.15634     4337.71      123.84           0
         G81     610.802     1.48715     3925.35     90.7006           0
         G82     500.208     1.29186     8106.38     168.984           0
         G83     335.316      1.4078      5534.5     170.336           0
         G84     560.256     1.24377     7479.49     167.572           0
         G85     370.765     2.89854     5030.81     132.923           0
         G86     360.619     3.48216     4216.45     158.141           0
         G87     499.297     3.16463     3796.72     125.256           0
         G88     476.113     2.34194     5065.14     156.887           0
         G89      625.88     2.84693     5628.55     219.632           0
         G90     544.154     2.56349     4128.07     120.727           0
         G91     644.298     1.72157     6021.11     137.863           0
         G92     640.742     1.56002     5155.85      157.35           0
         G93     566.138     1.78985     4133.99     132.773           0
         G94     602.432     1.50518     3889.28      119.69           0
         G95       601.9     1.54049     5589.16     134.528           0
         G96     644.252     1.47511     4876.13     101.632           0
         G97     544.115     1.23815     6373.71     171.164           0
         G98     431.731      1.1458     6503.72      179.25           0
         G99     646.219     1.29492     6502.37     201.178           0
        G100     494.963     1.67481     4443.46     130.755           0
        G101     648.808     1.82315     7170.67     141.277           0
        G102     440.991     1.29029     5882.94     130.281           0
        G103     498.558     1.56737     6500.75     171.981           0
        G104     376.891     1.30087     4107.08     137.924           0
        G105     533.859     1.51998     6323.78     151.693           0
        G106     445.446      1.5696     5038.62     150.974           0
        G107     365.267     1.14671           0           0           2
        G108     393.232     1.38008     3973.85     122.551           0
        G109     517.631     1.59049      6852.4      175.57           0
