    REF_GAIN           0     1.09894    0.230822           3
          G1     622.954     1.73728     5626.71     142.683           0
          G2      663.64     1.60921      5145.2     150.162           0
          G3     678.739     1.80762     7751.76     190.876           0
          G4     590.515     1.53911      5933.9     150.915           0
          G5     537.778     1.31611      6131.6     183.843           0
          G6     508.544     1.46299     5420.23     153.947           0
          G7     536.545      1.6132     4325.18     133.134           0
          G8     543.454     1.55729     7954.93     174.534           0
          G9     643.195     1.49533     5692.61     123.125           0
         G10     598.681     1.63554     6326.29     130.538           0
         G11     451.941     1.70281     6671.36     149.613           0
         G12     511.474     1.76796     4792.88       130.7           0
         G13     607.581     1.74136     3678.37     121.334           0
         G14      435.14     1.67307        3447     97.8183           0
         G15      528.65     1.55876     6565.48     128.396           0
         G16     378.427     1.58538           0           0           2
         G17     310.622     1.83386     7137.45     213.578           0
         G18     381.172     1.53692     5940.29     226.852           0
         G19     561.645     1.80803     5439.77     148.219           0
         G20     443.458     1.72384     4859.44     147.944           0
         G21     471.097     1.66854      5695.2     125.611           0
         G22     531.321     1.76971     7580.59     169.967           0
         G23     391.742     1.69914     1187.53     56.6409           0
         G24     522.771     1.50108     5922.78     147.919           0
         G25     371.168     3.10386      5937.9     154.789           0
         G26     390.389     3.29892     7185.22     161.171           0
         G27     413.597     3.88795     3836.39     142.986           0
         G28     517.588     3.08869     3173.31     124.022           0
         G29      329.92     2.46478     7057.47     229.615           0
         G30     430.934     2.99082     6371.37     152.835           0
         G31     539.602     1.45415     3850.37     149.756           0
         G32     557.234     1.52632     5767.75     132.883           0
         G33     729.618     1.48364        3887     91.7903           0
         G34     644.849     1.57031     1536.62     67.2454           0
         G35     705.537     1.76824     5728.61     115.233           0
         G36     624.264     1.30979     3949.97     107.835           0
         G37     490.833     1.50909      4595.7     130.559           0
         G38     347.256     1.37096     4547.05     142.946           0
         G39     468.935     1.39634     5218.93     147.103           0
         G40     461.884     1.52562     7129.01     230.894           0
         G41     291.584     1.37968     6601.35     178.032           0
         G42     377.907     1.56026     4903.94     150.326           0
         G43     382.139     1.70385     5107.84     127.327           0
         G44     256.148     1.17594     1961.88     101.695           0
         G45     324.033     1.43045      3802.6     121.197           0
         G46     320.377     1.54217     5065.94     126.375           0
         G47     236.054     1.14766     4811.83     139.787           0
         G48     208.054     1.28943     8353.66     245.211           8
         G49      430.18     1.56338      3973.4     109.127           0
         G50     343.686     1.47494     6516.57      151.16           0
         G51     379.753     1.52362     4739.94     133.302           0
         G52      538.57     1.64496     3839.26     115.893           0
         G53      325.76     1.31389     5362.42     160.112           0
         G54     376.848     1.35174     2783.69     82.4395           0
         G55     231.611     3.18273      3099.8      110.53           0
         G56     391.459     3.16672     4808.34     152.887           0
         G57     601.946      2.8504     1406.36       61.13           0
         G58     579.955     3.45711     3017.63     119.198           0
         G59     600.735     3.29344     6106.32     161.419           0
         G60     507.307     2.76846      5512.7     178.097           0
         G61     490.744     1.33151      4653.5     142.846           0
         G62     481.234     1.32355     7460.24     210.087           0
         G63     526.971      1.4673     5303.84     141.612           0
         G64      575.87     1.14138     6703.34     168.242           0
         G65     680.289     1.81813     7326.41     187.043           0
         G66     589.842     1.64071     7254.35      153.12           0
         G67     394.546     1.18208     4747.37     121.744           0
         G68     369.689     1.25775     4401.35     104.834           0
         G69     525.211      1.3047      7818.3     180.102           0
         G70     458.873     1.35747     6697.81     132.555           0
         G71     363.801      1.4513     4665.82     122.646           0
         G72     454.709     1.27235     4696.42     123.457           0
         G73     310.607     1.21771     6178.23     165.271           0
         G74      295.29     1.36138      6762.2     250.983           0
         G75     388.519     1.30616     4667.51     122.176           0
         G76     263.157     1.80712     7048.74     219.248           0
         G77     253.685     1.25554      8474.5     270.171           8
         G78     368.948     1.48487     4803.71     155.268           0
         G79     372.186     1.45456      4278.7     129.879           0
         G80      524.87     1.25032     4329.05     125.877           0
         G81     610.974     1.49633     3943.99      90.331           0
         G82     500.268     1.30751     8158.27     164.068           0
         G83     335.368     1.40892     5515.68     167.852           0
         G84     560.498     1.27973     7502.72     164.963           0
         G85     370.764     2.87757     5027.27     134.417           0
         G86     360.593     3.49183     4195.39     155.759           0
         G87     499.204     3.18043     3775.38      124.35           0
         G88     476.067     2.38171     5070.41     159.363           0
         G89     625.911     2.84884     5662.83     226.029           0
         G90     544.213     2.56467      4118.6     123.077           0
         G91     644.151     1.78072     6054.02     142.868           0
         G92     640.726     1.59961     5172.72     156.386           0
         G93     566.308     1.80156     4133.43     130.517           0
         G94     602.616     1.51831     3878.18      119.71           0
         G95      602.08     1.57531     5637.65     134.352           0
         G96     644.258     1.52856     4839.42     103.493           0
         G97     544.321     1.26606     6403.19     178.379           0
         G98     431.632     1.16718     6535.29     178.149           0
         G99     646.349     1.31515     6533.61     204.599           0
        G100     495.098     1.65662     4447.82     132.434           0
        G101     649.091      1.7972     7201.87     138.207           0
        G102     441.119     1.26498     5855.21      127.98           0
        G103     498.826     1.55588     6506.53     174.212           0
        G104     376.961     1.29335     4107.73       137.4           0
        G105     533.906     1.51018     6353.07     153.945           0
        G106     445.595     1.54572      5022.1     148.756           0
        G107     365.314     1.15906           0           0           2
        G108     393.346      1.4111     3978.81     122.018           0
        G109     517.782     1.65915     6868.22     178.581           0
        G110     599.634      1.4644     6794.48      192.75           0
        G111     390.615     1.25425     4077.63     134.432           0
        G112     582.064     1.60963     3586.41     97.4782           0
        G113     523.886     1.21647     5027.94     143.162           0
        G114     510.946     1.41884     6003.49     158.519           0
        G115     530.305     2.56302     4247.31     128.783           0
        G116     518.869     3.11889     4377.05     125.035           0
        G117     367.704     3.54997     4334.16     106.913           0
        G118     450.312     2.91773     3295.84     93.4302           0
        G119     512.673     2.90691     2945.83     97.2432           0
        G120     368.327     2.35581     4703.23     114.249           0
        G121     626.507      2.0452     4974.33       104.9           0
        G122     671.644     1.83199      3098.6      84.668           0
        G123     639.146     1.84496        4554     105.191           0
        G124     663.311     1.73465     3565.69     92.9744           0
        G125      538.92     1.71163     3414.87     88.7584           0
        G126     583.571     1.40059     5852.27     156.948           0
        G127     412.992     1.27226     4315.56     96.5026           0
        G128     309.293     1.24275     4166.74     106.045           0
        G129     462.757     1.13098      3180.9     81.0137           0
