    REF_GAIN           0     1.09811    0.229401           3
          G1     622.706     1.78808     3116.89     77.7861           0
          G2     663.729     1.66378     3108.76     90.0422           0
          G3     679.463     1.81063     4553.91     117.271           0
          G4     591.479     1.50568     3383.71     89.7375           0
          G5     538.341     1.32815     3486.52     108.458           0
          G6     510.493     1.46848     2924.99     84.7529           0
          G7     537.068     1.58134     2346.84     67.5094           0
          G8     544.106     1.48256     4617.22     108.096           0
          G9     644.196     1.44062     3130.16     67.3813           0
         G10     599.227     1.58846     3469.89      75.825           0
         G11     452.195     1.66147     3681.02     87.9584           0
         G12     512.227     1.78555     2477.58     67.9621           0
         G13     607.928     1.79072     2114.65     62.0085           0
         G14     435.386     1.70578     1987.48     53.0637           0
         G15      528.73     1.60671     3699.08     77.5868           0
         G16     378.879      1.5645     2968.05     78.2857           0
         G17     310.844     1.87703     3848.74     122.648           0
         G18     381.217     1.53163     3194.17     123.205           0
         G19     562.873     1.82249     3194.82      90.266           0
         G20     444.167     1.76079     2615.42     78.3673           0
         G21     471.197     1.68552     3154.14     73.2385           0
         G22     532.366     1.75309     4489.42     103.507           0
         G23     392.863     1.67359     797.765     28.8929           0
         G24     522.899     1.49296     3291.84     86.3777           0
         G25     371.508     3.22275     3219.21     87.3399           0
         G26     390.514     3.43464     4027.23     96.6075           0
         G27       413.2     3.83895     2137.03     79.8868           0
         G28     517.328     3.09993     1863.78     73.0956           0
         G29     330.916     2.54327     3837.14     135.894           0
         G30     431.569     3.01815     3466.13     89.9301           0
         G31     539.552     1.49089     2209.09     76.5848           0
         G32     557.509     1.51148     3212.91     73.9816           0
         G33     731.245     1.50589     2348.73      50.021           0
         G34     645.198     1.61797     1097.92     33.9791           0
         G35     705.617     1.75409     3248.88     66.1146           0
         G36     624.918     1.30845     2340.37     59.3823           0
         G37     491.261     1.43748     2602.44     71.5075           0
         G38      347.64     1.35654     2558.37     82.3315           0
         G39     469.369     1.37214     3050.75     89.9482           0
         G40     462.521     1.52997     3917.77     133.344           0
         G41     291.787     1.35948     3607.35     102.184           0
         G42     378.542      1.5877     2690.58     89.9963           0
         G43     381.799     1.73818     2929.87     78.3251           0
         G44     256.002     1.23148     1115.56     55.0124           0
         G45     323.892     1.50453     2107.08      66.595           0
         G46     320.538     1.58323     2754.29     71.3719           0
         G47      236.12      1.1286     2496.33     77.1133           0
         G48     208.311     1.24063     4570.76     160.237           0
         G49     430.056     1.63582     2149.35     58.5293           0
         G50     344.794     1.50986     3620.14     87.7857           0
         G51      380.08     1.60257     2710.51      77.516           0
         G52     539.158      1.6068     2264.37     67.4769           0
         G53     326.708     1.26236      3013.4     93.9789           0
         G54     378.164      1.4209     1582.16     43.2611           0
         G55     231.389     3.28886     1680.35     58.8393           0
         G56     390.283     3.22145     2601.86     83.3355           0
         G57     603.964     2.95454     998.548     30.0321           0
         G58     580.631     3.51664     1852.25     70.1286           0
         G59      601.17     3.31747     3409.52     89.2682           0
         G60     507.081     2.82879     3135.31     103.497           0
         G61     492.919     1.35253     2587.24     79.1946           0
         G62     482.977     1.35685     4325.28     125.777           0
         G63     527.944     1.50235     2916.64     75.7889           0
         G64     576.467     1.14082     3776.92     96.7814           0
         G65     682.376      1.8898     4274.13     110.457           0
         G66     590.058     1.65852     4260.99     93.1401           0
         G67     394.868     1.17607      2565.9     67.1771           0
         G68     370.071     1.24946     2421.52     58.2367           0
         G69      525.72     1.29789     4363.44     105.964           0
         G70     459.402     1.34237     3745.77     81.5698           0
         G71     364.159     1.46245     2550.95     69.9199           0
         G72     455.922      1.2798     2565.66     68.8245           0
         G73     310.617     1.28386     3316.75     94.1441           0
         G74     295.198     1.44422     3612.12     142.346           0
         G75     389.025     1.29091     2586.44     67.3507           0
         G76     261.297     1.17918     4298.32     137.835           0
         G77     253.595     1.30681     5680.83      200.92           0
         G78     369.236     1.41725     2668.36     87.6386           0
         G79     372.032     1.53025     2368.92     70.8649           0
         G80     524.611     1.22564     2419.86     66.4866           0
         G81     614.365     1.53345     2311.89     53.0531           0
         G82     500.621     1.28849     4465.66     101.367           0
         G83     335.875     1.37905     3005.03     96.9532           0
         G84     562.039     1.28843     4156.29     96.2613           0
         G85      371.31     3.01422     2756.63     72.9202           0
         G86     360.678     3.55132     2381.69     90.1343           0
         G87     498.805     3.23083     2169.76     66.7076           0
         G88      475.27     2.41052     2851.86     88.5993           0
         G89     627.582     2.92381     3255.71     130.424           0
         G90     545.371     2.66992     2416.63     67.9358           0
         G91      645.31     1.82124     3408.84     82.8725           0
         G92     643.049     1.69485      2995.6     90.7326           0
         G93     569.301     1.83788     2324.09     67.6422           0
         G94     604.953     1.58411     2300.07     65.1294           0
