    REF_GAIN           0     1.08786    0.228362           3
        G129      463.39     1.10772     1747.85     39.7779           0
        G130     245.323     1.33715     2249.44     57.6677           0
        G131     396.982     1.65072     2883.82     58.2739           0
        G132     444.415     1.28545     2898.29     72.3251           0
        G133     469.552     1.26785      1998.9     50.6525           0
        G134     267.108     1.48198     1658.56     53.7272           0
        G135     495.637     1.14042     2202.04     54.0103           0
        G136     257.295     1.16422     2515.75     66.4387           0
        G137     247.146     1.34309     2117.42     59.8142           0
        G138      314.63     1.14449     3389.89      81.781           0
        G139     318.895     1.38996     1945.89     59.3572           0
        G140     363.661     1.53811     2141.74     52.7615           0
        G141     371.648     1.15596     2666.32     78.6809           0
        G142      291.45     1.19806     3046.94     81.6967           0
        G143     271.855     1.54495      2895.7     77.4335           0
        G144     473.588     1.15277     1993.26     49.8962           0
        G145     460.022     3.51521     2672.53     73.4882           0
        G146     619.872     3.15316     4134.22     120.236           0
        G147     591.604     3.60415      2464.6     77.5314           0
        G148     366.114     3.05028     2312.22     73.9338           0
        G149     439.584      3.1784     3397.13     85.3888           0
        G150     323.847     2.52882     2622.02      69.253           0
        G151     617.503     1.68025     3475.33     92.9782           0
        G152     609.763     1.56114     1924.17     47.5751           0
        G153     442.864     1.98764     1916.34     61.7408           0
        G154     322.934     1.84712      3317.6     86.8735           0
        G155     271.226     1.88032     2912.82     80.9333           0
        G156     544.989     1.76551     1821.77     44.0665           0
        G157     408.898     1.15386     3368.49     84.8845           0
        G158     507.456     1.30223     3152.29     79.4036           0
        G159     448.553     1.45071     2283.03      57.085           0
        G160     697.884     1.43414     2581.91     61.1127           0
        G161     459.686     2.28104     2784.48     75.0796           0
        G162     434.088     2.01474     1778.29     56.9259           0
        G163     383.195     1.20502     2265.64     57.7635           0
        G164     408.696     1.87167     1947.86      52.391           0
        G165     450.299     1.72378     2447.14     70.9995           0
        G166     267.018     1.20988     2306.59     63.4034           0
        G167     337.369     1.43912      2769.1     76.7896           0
        G168     361.785     1.48765     2768.51     73.1775           0
        G169     336.892      1.2177      2755.7     65.6973           0
        G170     515.089     1.94404     1765.64     46.8026           0
