    REF_GAIN     1.40469     1.09519    0.228277           3
          G1      622.12     1.76809     3077.04     74.9446           0
          G2     663.141     1.64918     3141.68      92.113           0
          G3     678.743     1.81223     4586.49     119.608           0
          G4     590.842     1.50835     3342.37     87.7881           0
          G5      537.88     1.31445      3492.6     107.234           0
          G6     509.882     1.49819     2932.05     88.6495           0
          G7     536.527     1.62532      2343.5     68.3741           0
          G8     543.488     1.51382     4624.56     105.808           0
          G9     643.692     1.47072     3084.58     68.8201           0
         G10     598.607     1.62048     3451.16     77.2652           0
         G11     451.799     1.69895     3657.41     87.8895           0
         G12      511.66     1.80186     2478.28      69.108           0
         G13     607.499     1.76718     2091.52     62.0521           0
         G14     435.043       1.693     1985.67     54.0128           0
         G15     528.311     1.59911      3652.4     76.7365           0
         G16     378.522     1.54458      2995.1     78.2146           0
         G17     310.587     1.86869     3861.33     124.548           0
         G18     380.865     1.49163     3184.49     124.805           0
         G19     562.345     1.87479     3242.89     92.1917           0
         G20      443.76     1.78519        2596     77.9068           0
         G21     470.791       1.758     3100.93     72.6812           0
         G22     531.863     1.74037     4566.72     100.926           0
         G23     392.604      1.7021     797.261     28.9878           0
         G24      522.37     1.49845     3254.45      87.049           0
         G25     371.152     3.23476     3188.51     86.4976           0
         G26     390.172     3.49707     4082.78     95.7959           0
         G27     412.768     3.95827     2129.52     79.1786           0
         G28     516.811     3.16556     1870.55     74.4953           0
         G29     330.566     2.58795     3822.93     137.255           0
         G30     431.124     3.11899     3457.49     89.4993           0
         G31      539.02     1.47141     2202.41     76.5377           0
         G32     556.962     1.52186      3177.9     73.5679           0
         G33     730.492     1.47589     2326.41     49.0488           0
         G34     644.585     1.60202     1097.46      33.417           0
         G35     704.915     1.75106     3219.04      68.156           0
         G36     624.275     1.33958     2280.04     57.9209           0
         G37     490.746     1.46306     2601.49     72.5939           0
         G38     347.356     1.38017     2557.16      83.529           0
         G39     468.955     1.36843     3074.43     90.3164           0
         G40     462.018     1.55431     3955.96     134.572           0
         G41     291.628     1.36232     3662.93     103.396           0
         G42     378.222     1.59754     2706.39     90.0669           0
         G43     381.513     1.73696      2927.2     78.3523           0
