    REF_GAIN     1.39742     1.09734    0.228695           3
          G1     622.721     1.78505     3094.42     74.6156           0
          G2     663.648     1.64566     3103.96     87.9226           0
          G3     679.418     1.81741     4554.46     115.456           0
          G4     591.399      1.5245     3359.58     90.7327           0
          G5     538.411     1.33286     3478.68     107.284           0
          G6     510.498     1.50211     2916.65     86.8771           0
          G7     536.946     1.63473     2344.23     68.2975           0
          G8     543.903     1.54405     4586.21     106.641           0
          G9     644.067     1.47585     3097.89     67.1437           0
         G10     599.152     1.62802     3458.96     73.5145           0
         G11     452.279     1.67184     3650.45     87.2568           0
         G12      512.25     1.81096     2471.87     69.2262           0
         G13     608.021     1.78788     2100.08     62.4627           0
         G14     435.423     1.71507     1982.95     53.8819           0
         G15     528.832      1.6347     3656.25     74.8495           0
         G16     378.875     1.55218     2961.23     77.0816           0
         G17     310.866     1.84751      3843.8     124.024           0
         G18     381.241     1.48757     3180.43     123.233           0
         G19     563.054     1.85803     3195.69     90.4586           0
         G20     444.215     1.77447     2607.52     78.8485           0
         G21     471.269     1.73504     3117.74     72.8018           0
         G22     532.551     1.72581     4476.08     102.277           0
         G23     392.919     1.65962     796.326     28.1158           0
         G24     522.903     1.47321     3262.96     85.5207           0
         G25     371.413     3.21673     3195.47     86.5029           0
         G26     390.352     3.44748     4017.13     96.2113           0
         G27     413.115     3.88473     2130.39     77.7665           0
         G28     517.254     3.13499     1864.24     73.9968           0
         G29     330.776     2.58835     3807.92     133.548           0
         G30     431.476     3.05462     3447.41     87.6761           0
         G31     539.546     1.50677     2205.68     77.2972           0
         G32     557.454     1.51708     3191.11     73.2725           0
         G33     731.164     1.50383     2332.97     49.1749           0
         G34      645.22     1.60385     1097.65     33.9527           0
         G35     705.571     1.71909     3233.78     66.0673           0
         G36     624.847     1.33376      2309.4      57.437           0
         G37     491.118      1.4749      2602.1     70.3421           0
         G38     347.527     1.39657      2553.8     82.5588           0
         G39     469.238     1.38172     3048.72     90.3058           0
         G40     462.451     1.56449     3915.33     134.324           0
         G41     291.825     1.38479     3607.52     102.154           0
         G42     378.562     1.61401     2688.81      89.495           0
         G43     381.843     1.72792     2923.12     78.7251           0
         G44     256.106     1.24961     1117.52     54.8657           0
         G45     324.171     1.51439     2096.62     65.8044           0
         G46     320.519     1.53484     2744.06     67.9046           0
         G47      236.16     1.10706     2486.74     77.1988           0
         G48     208.317     1.20316     4562.48      157.95           0
         G49     430.213     1.65489     2145.94     59.0518           0
         G50     344.926     1.51286     3618.21      87.246           0
         G51     380.101     1.61199     2702.79     76.4682           0
         G52     539.117     1.60266     2261.47     67.2409           0
         G53     326.716     1.29121     3008.94      93.279           0
         G54     378.238      1.4349     1574.98     43.3866           0
         G55     231.139      3.3305     1674.78     58.6256           0
         G56     390.121     3.25031     2602.91     83.3801           0
         G57      603.92     2.95416     997.136     29.7864           0
         G58     580.521     3.54789     1849.29     70.1262           0
         G59     601.149     3.35067     3387.59     90.2695           0
         G60     506.978     2.87831     3126.84     103.914           0
         G61      492.87     1.36381     2580.28     76.7133           0
         G62     482.993     1.34849     4325.27      123.11           0
         G63     527.944     1.46409     2894.62     75.5299           0
         G64     576.445     1.12251     3761.85     96.9078           0
         G65     682.374     1.87514     4247.89     109.409           0
         G66     590.094     1.62783     4244.09     91.7836           0
         G67     394.818     1.19077     2548.69      67.101           0
         G68     370.013     1.22785     2398.65     56.6209           0
         G69     525.679     1.31184     4339.04     103.765           0
         G70     459.567     1.36213     3721.23     78.1657           0
         G71     364.206     1.47995     2545.42     69.8692           0
         G72     456.019     1.27571     2560.87     68.1683           0
         G73     310.728     1.27009     3304.84     93.6727           0
         G74     295.363     1.42205     3599.58     142.972           0
         G75       389.1     1.31921     2579.08     67.0799           0
         G76     261.343      1.1789     4291.47     135.002           0
         G77      253.65     1.29857     5677.93     205.757           0
         G78     369.296     1.43147     2640.51     88.6999           0
         G79     372.161     1.51473     2364.89     69.8525           0
         G80     524.533     1.20646     2407.92     66.3691           0
         G81     614.414     1.53712     2311.82     52.2417           0
         G82     500.671      1.3077     4468.74     100.159           0
         G83     335.883     1.39314     2980.31     95.3929           0
         G84     562.035     1.29055     4144.46     94.6399           0
         G85     371.279     3.03803     2737.02     73.2096           0
         G86     360.676     3.59671     2361.04     88.5503           0
         G87     498.731     3.24562     2156.03     65.5389           0
         G88     475.216     2.42371     2841.76     86.6561           0
         G89     627.654     2.94992     3256.44     131.271           0
         G90     545.399     2.67913     2406.43     67.6702           0
         G91     645.334     1.78511     3409.79     81.0898           0
         G92     642.995     1.67746      2990.4     90.1035           0
         G93     569.318     1.81721     2313.88     69.0885           0
         G94     604.961     1.54849     2291.74     65.0571           0
         G95     603.934     1.60198     3338.66     80.1121           0
         G96     646.031     1.53536     2762.26      57.457           0
         G97     545.082     1.27071     3541.85     101.599           0
         G98     431.984     1.18914     3683.05     106.901           0
         G99      646.96     1.31224     3786.72     118.187           0
        G100     495.857     1.68701     2524.92     72.5027           0
        G101     650.307     1.91793     3997.36     81.1654           0
        G102     441.719     1.27067     3152.82     74.9644           0
        G103     499.539     1.63024     3567.98     98.6044           0
        G104     377.234     1.34312     2187.71     72.4142           0
        G105      534.22     1.52737     3510.24     89.9904           0
        G106     446.895     1.55809     2678.59     78.9795           0
        G107     365.514      1.1768     2351.54     63.1489           0
        G108     393.783     1.33225      2227.4     65.2742           0
        G109     518.925     1.73111     3843.95     104.161           0
        G110     600.745     1.51414     3994.44     113.232           0
        G111     390.359     1.29822     2286.53     76.5463           0
        G112     584.326     1.50579     2003.12     50.0251           0
        G113     524.531     1.19841     2754.38      77.437           0
        G114     511.897     1.38608     3275.01     88.5641           0
        G115     530.985     2.65041     2430.96     66.3499           0
        G116     519.234     3.21674     2382.52     66.2761           0
        G117      368.95     3.55312     2392.75     59.6635           0
        G118     451.378     3.00774     1882.67     48.5962           0
        G119     513.406     3.03943     1746.16     49.8903           0
        G120     368.329     2.46292     2485.45     59.4254           0
        G121     627.119     1.98315      2834.7     59.4186           0
        G122      673.03     1.81557     1894.57     42.6389           0
        G123     640.471     1.82337     2616.59     58.6281           0
        G124     664.894     1.72462     2135.96     49.7861           0
        G125     540.364     1.70753      1925.7     46.7822           0
        G126     585.151     1.41997     3184.56     84.9854           0
        G127     413.458     1.27044     2319.73     51.2627           0
        G128     309.548     1.23987     2284.78       60.22           0
        G129     463.334     1.12437     1774.09     40.9071           0
        G130     245.418     1.35368     2336.15     61.4415           0
        G131     396.922     1.65261     2938.11     60.4742           0
        G132     444.438     1.25302     2975.58     79.3365           0
        G133     469.511     1.26272     2029.88     51.9989           0
        G134      266.76     1.50371     1684.11     57.7864           0
        G135     495.592     1.10962     2281.35       60.72           0
        G136     257.333     1.17429     2574.69      69.984           0
        G137     247.277     1.41353     2165.44     60.7873           0
        G138     314.576      1.1424     3545.58     89.6178           0
        G139     318.874     1.35295     1998.13     63.6915           0
        G140     363.495     1.55862     2183.97     55.1862           0
        G141     371.607     1.24304     2740.49     83.9558           0
        G142     291.904     1.17153     3265.91     90.9705           0
        G143     272.463     1.49938     3020.55     80.4499           0
        G144     473.505     1.14672     2043.39      51.952           0
        G145      461.29      3.5346     2816.17     81.1948           0
        G146     620.525     3.18288     4302.34     129.121           0
        G147     591.815     3.64279     2548.63     79.1467           0
        G148     366.422     3.09058     2391.25     80.6201           0
        G149     440.433     3.17494      3548.3      92.545           0
        G150     324.787     2.54759     2679.21      72.409           0
        G151     618.079     1.71987     3641.26      99.376           0
        G152      609.95     1.56409      1967.3      49.296           0
        G153     442.802     2.01157      1940.9     63.2674           0
        G154     322.623     1.87808     3320.19     88.9566           0
        G155     271.313     1.87107      3052.7     88.7165           0
        G156     544.742     1.76299     1841.64     44.8446           0
        G157     408.932     1.16423     3561.73     91.7714           0
        G158     507.524     1.31463     3216.51     82.5381           0
        G159     448.649     1.43048     2347.08     60.1063           0
        G160     698.115     1.43692     2627.66     62.6103           0
        G161     459.809      2.2402      2854.4     78.9095           0
        G162     434.287     1.96776     1807.56     59.2175           0
        G163     383.061     1.22397     2322.87     60.4012           0
        G164     409.021     1.83379     1952.02     52.8725           0
        G165     450.394     1.67706        2534     77.2716           0
        G166     267.099        1.21     2385.04     67.9723           0
        G167     337.616       1.531     2831.35     78.2009           0
        G168     362.115     1.54847     2803.51     74.3702           0
        G169     337.076     1.21942     2908.01     71.1354           0
        G170     515.792     1.88618     1792.27     47.4792           0
        G171     526.581      1.6554     2723.47     65.8756           0
        G172     342.702     1.29091     2531.75     67.5645           0
        G173     478.701     1.61231     2442.87     67.5763           0
        G174     605.979     1.60022     2604.84     73.3378           0
        G175     353.528       3.642      2523.5      68.893           0
        G176     297.717     2.89703     2303.44      67.569           0
        G177     559.169     3.39306     2002.28      80.708           0
        G178     442.913     3.20772     3248.62     84.9219           0
        G179      443.37     3.61699     2285.45     76.6881           0
        G180     462.751     2.62638     2373.79     60.8879           0
        G181     565.729     1.87596     2443.84     64.6641           0
        G182     259.466     1.81248     1780.63     44.3242           0
