    REF_GAIN     0.52079     1.23166    0.247172           2
        G132     446.987     1.20677     5234.07     130.304           0
        G133     473.804     1.23074      3540.7     97.7884           0
        G134     273.049     1.32275     2907.54     94.0203           0
        G135     496.196     1.06602     3688.44     93.4128           0
        G136     265.004        1.18     4678.62     117.275           0
        G137     255.495     1.32682     3999.53     108.408           0
        G138     314.419     1.13813     6003.13     142.461           0
        G139     326.633     1.39564     3242.87        96.9           0
        G140     365.982     1.55374     3934.25     94.0893           0
        G141     375.277     1.13974     4679.32     136.371           0
        G142     296.264     1.15979     5284.97     144.072           0
        G143       280.8     1.54795     5083.06     127.829           0
        G144     475.426     1.07968     3580.93     94.4807           0
        G145     465.362     3.26059     4513.96     125.855           0
        G146     617.521     2.94656     7208.81     214.657           0
        G147     591.436     3.48223     4293.64      136.67           0
        G148     364.411     3.08406     4167.36     129.102           0
        G149     441.621     3.00015     5987.73     147.979           0
        G150     324.427     2.42828      4864.2     126.361           0
        G151     399.587     1.58667     5627.07     153.195           0
        G152     489.835     1.39726      2968.4     85.7416           0
        G153     438.644      1.8688     3372.77      113.99           0
        G154     323.973     1.87131     6207.39     157.805           0
        G155     277.872      1.9032     5133.63     140.414           0
        G156     544.589     1.71506     3273.99     88.7766           0
        G157     411.184     1.11279     5922.36     142.344           0
        G158     505.344     1.25584     5727.06     138.328           0
        G159     447.707      1.4418      4143.5     105.022           0
        G160     698.838     1.34879      4549.7     116.739           0
        G161     458.909     2.45975     4841.89     129.722           0
        G162     433.116     2.05577     3176.87     107.318           0
        G163     387.883     1.21219     4215.32     106.051           0
        G164     409.461     1.85502     3649.89      100.74           0
        G165     455.625     1.77368     4158.59     122.589           0
        G166     271.916     1.21129     4363.88     113.855           0
        G167     337.071     1.56377     5199.47     136.836           0
        G168     361.818     1.61054     5044.28     121.996           0
        G169     339.523     1.24992     4743.09     106.932           0
        G170     515.588     1.95174     2956.73      88.465           0
        G171     526.837     2.26994     4616.99     106.483           0
        G172     344.729     1.26886      4739.3     121.161           0
        G173     477.512     1.52405     4194.23     117.067           0
        G174     605.848     1.43087     4450.53     128.377           0
        G175     353.471     3.34801      4622.3     125.374           0
        G176     321.649     2.58321     4076.37       117.7           0
        G177     555.884      3.1563     3303.15     144.961           0
        G178     443.503     2.91852     5646.58     140.473           0
        G179     443.026     3.27119     3733.47     127.341           0
        G180     461.567     2.39551     3625.99     92.8651           0
        G181     565.288     1.79581     4112.21     108.004           0
        G182     263.238     1.74974     3348.91      82.153           0
        G183     469.113     1.76147     3173.49     99.7542           0
        G184     405.007     1.74593     4774.64     109.368           0
        G185     620.951     1.70198     3617.45     103.257           0
        G186     597.415     1.67177     2941.56     88.6145           0
        G205     478.438     2.91149     5711.92     134.049           0
        G206     430.146     3.22709     4991.48     112.851           0
        G207     428.188     2.59351     5851.92     166.126           0
        G208     480.874     2.63204     3884.09     109.194           0
        G209     644.219     2.50974     4271.09     124.874           0
        G210      620.22     2.36498     3986.61     122.916           0
        G211     656.647     1.98651     2527.71     54.8991           0
        G212     462.757     1.60663     4874.07     140.835           0
        G213     379.264      1.8129     5188.59     118.525           0
        G214     329.843     1.64055     3912.99     103.893           0
        G215     346.233     1.60269     4919.15     133.229           0
        G216     457.033     1.54493     2887.07     93.8668           0
        G235     598.242     3.23923      4762.2     142.381           0
        G236     544.957      2.5987     2988.49     97.4753           0
        G237     416.417     3.07821     2341.67     95.8433           0
        G238     398.189     2.93184     4950.14     143.757           0
        G239     455.796     2.57331     4123.14     115.561           0
        G240     463.296     2.14493     4420.78     159.561           0
        G241     530.449     2.13041     3711.93     86.9252           0
        G242     471.727     1.97693     3881.55     105.303           0
        G243     445.027     1.99458     4869.27     116.424           0
        G244     564.743     1.95734     3439.49     89.2366           0
        G245     391.271     1.98674     4121.05     99.8943           0
        G246     514.691     2.28397     4794.88     157.379           0
        G265     556.974     2.00576     4399.52     110.225           0
        G266     515.325     2.39661     1430.31     61.5605           0
        G267     519.975     2.97978     3584.18     119.474           0
        G268     559.364     2.08979     1687.36     75.7272           0
        G269     439.342     1.71318     4290.41     150.718           0
        G270       449.9      2.4372     5853.47     154.555           0
        G271     402.139     1.84083     4008.27     86.5545           0
