    REF_GAIN    0.454739     1.09648    0.229321           3
          G1     622.918     1.75898      3083.8     75.0138           0
          G2     664.012     1.64997     3018.57     83.3622           0
          G3     679.662     1.80121      4471.2     108.558           0
          G4     591.566     1.47232     3333.54     84.9296           0
          G5     538.464     1.31626     3435.28     105.982           0
          G6     510.351     1.48395     2897.39     84.0078           0
          G7     537.181     1.62513     2344.84     67.8822           0
          G8     544.135     1.56377     4460.53     99.4549           0
          G9     644.516     1.47081     3097.43     65.8775           0
         G10     599.303     1.63397     3435.71     71.8749           0
         G11     452.394       1.678      3588.5     84.9628           0
         G12     512.473     1.80369     2482.21     69.1078           0
         G13     608.171      1.7592     2090.71     60.4656           0
         G14     435.515      1.6954     1982.78     51.9512           0
         G15     528.885     1.62095      3579.2     72.9669           0
         G16     379.022     1.56458     2878.78     72.2701           0
         G17     310.926     1.88284     3784.17     118.511           0
         G18     381.411     1.52514     3137.62      118.95           0
         G19     563.086     1.82175     3110.79     85.7662           0
         G20     444.311       1.747     2582.49     75.8225           0
         G21     471.398     1.67391     3080.11     69.7948           0
         G22     532.506     1.74699     4304.91     93.8582           0
         G23     393.015     1.65673     795.241     28.3111           0
         G24      523.08     1.49925     3221.54     82.5956           0
         G25     371.662     3.23137     3154.48     83.6602           0
         G26     390.773     3.46235     3923.99     89.7068           0
         G27     413.311     3.89453     2117.78      77.213           0
         G28     517.545     3.10123      1857.1     70.0005           0
         G29     330.959       2.589     3739.11     130.771           0
         G30     431.545     3.05245      3407.4     85.7716           0
         G31     539.688     1.48645     2198.86     77.9805           0
         G32     557.523     1.51942     3157.41      71.372           0
         G33     731.349     1.49149     2323.85     48.0593           0
         G34     645.376     1.59201     1096.65     32.8922           0
         G35     705.829     1.74201     3211.57     63.6375           0
         G36     624.985     1.32139     2290.29     59.2088           0
         G37     491.435     1.52225     2588.98     72.1237           0
         G38     347.825     1.41105     2476.38     78.7656           0
         G39     469.376     1.38812     2986.49     86.1653           0
         G40     462.712     1.56067     3837.37     127.236           0
         G41     291.817     1.36012     3529.26     97.4807           0
         G42     378.568      1.6044     2669.72     86.2868           0
         G43     381.939     1.71771     2891.58      74.921           0
         G44     256.099     1.21157      1113.7     54.3212           0
         G45     323.956     1.48425     2085.11     66.5291           0
         G46     320.619     1.58507     2732.45     68.8566           0
         G47       236.1     1.13658     2457.05      76.552           0
         G48     208.297     1.26089      4477.9     150.811           0
         G49      430.27     1.62867     2132.09     56.5763           0
         G50     344.816     1.46449     3583.36     84.8002           0
         G51     380.029      1.5792      2669.3     75.0033           0
         G52     539.302      1.6496     2253.97     67.2251           0
         G53      326.75     1.30362     2932.22     87.7882           0
         G54     378.043     1.42048     1567.63     43.0189           0
         G55     231.311      3.3611     1674.28     58.3124           0
         G56     390.395     3.24028     2604.61     83.2676           0
         G57     604.461     2.93648     994.149     28.8216           0
         G58      580.76      3.5427     1825.76     67.1768           0
         G59     601.444     3.33898     3353.33     87.7792           0
         G60     507.242     2.83122      3093.4     99.9481           0
         G61      492.74     1.34035     2564.05     76.3893           0
         G62     482.893     1.33541     4185.25     115.255           0
         G63     527.985     1.45217     2884.16     74.6124           0
         G64     576.573     1.14467     3680.94     92.3659           0
         G65     682.322     1.87794     4154.66     103.982           0
         G66     590.332     1.64928     4135.78      87.843           0
         G67     394.642     1.20101     2528.78     64.9523           0
         G68     370.038      1.2664     2379.86     56.0876           0
         G69     525.919     1.31111     4262.75     101.161           0
         G70     459.589     1.33936     3641.62     73.3272           0
         G71     364.228     1.46532     2524.16     68.7433           0
         G72     456.208     1.26884     2559.11     67.2047           0
         G73     310.746     1.27041     3257.27     88.6822           0
         G74     295.335     1.42998     3552.76     136.591           0
         G75     389.211     1.30029     2549.71     67.3442           0
         G76     261.295       1.176     4084.22     124.978           0
         G77     253.597     1.26628     5460.67     190.092           0
         G78     369.378     1.43883     2604.98     83.5957           0
         G79     371.939      1.5473     2353.19      70.226           0
         G80     524.507     1.24182     2389.95      64.495           0
         G81     614.658      1.4879     2304.26     52.3151           0
         G82     500.677     1.31445     4380.55     95.6545           0
         G83     335.943      1.3867     2940.78     91.0368           0
         G84     562.175     1.29705     4077.06      93.688           0
         G85     371.362     3.04014        2706     71.3476           0
         G86     360.693     3.59936     2335.43     88.1542           0
         G87      498.75     3.25993     2144.46     64.8846           0
         G88     475.176     2.42582     2799.18     87.5304           0
         G89     627.788     2.95963     3214.03     126.346           0
         G90     545.587     2.72877     2399.58     66.1374           0
         G91     645.435     1.79994     3377.52     79.8557           0
         G92     642.995     1.69907     2957.57     85.9126           0
         G93     569.192     1.82057      2301.1     67.5048           0
         G94     604.906     1.53496     2291.41      64.548           0
         G95     603.921     1.61762     3245.01     75.4438           0
         G96     645.992      1.5321      2748.2     56.5131           0
         G97     545.393     1.30324     3502.61     98.4315           0
         G98     432.291     1.17956     3601.05     100.214           0
         G99     647.269     1.30171     3757.05     116.692           0
        G100     496.038     1.73125     2508.38     71.2888           0
        G101     650.353     1.92412     3946.46     77.2331           0
        G102     441.841     1.26852     3112.18     71.8072           0
        G103     499.591     1.63367     3520.82      97.992           0
        G104     377.236     1.33418     2187.63     70.9301           0
        G105     534.418     1.52322     3452.75     87.7105           0
        G106     446.975     1.54841     2669.04     79.0182           0
        G107     365.572      1.1607     2330.13     62.1716           0
        G108     393.928     1.36867     2215.28     64.8856           0
        G109     518.951     1.71358     3781.74     99.4047           0
        G110     600.812     1.44862     3874.07     109.804           0
        G111     390.688     1.28682     2266.43     74.1804           0
        G112     584.403     1.53196     1995.73     50.1763           0
        G113     524.604       1.174     2741.61       74.67           0
        G114     512.147     1.37946     3262.78     86.3197           0
        G115     531.105     2.67002     2420.97     66.8807           0
        G116     519.502     3.22123     2372.35     63.4303           0
        G117      368.92     3.60861     2375.26     58.4427           0
        G118     451.382     3.05334     1878.18     48.7756           0
        G119     513.479     3.03906     1742.42      50.411           0
        G120     368.472     2.46643     2472.79     58.9347           0
        G121     627.204     2.02412     2777.37     56.9116           0
        G122     673.089     1.85115     1888.61     42.5599           0
        G123     640.511      1.8173     2595.96     58.8847           0
        G124     664.829     1.74919      2127.6     49.9256           0
        G125     540.214     1.71326     1917.03     47.1186           0
        G126     585.011     1.41153     3157.08     83.0102           0
        G127     413.406     1.30737     2308.41     50.4972           0
        G128     309.504     1.27737     2264.39     58.5853           0
        G129     463.503     1.12399     1768.83     40.4845           0
        G130     245.369     1.38202     2296.28     61.4925           0
        G131     396.987     1.66914     2930.92      60.534           0
        G132      444.59     1.28946     2949.51     77.4281           0
        G133     469.534     1.25344     2024.32     51.9247           0
        G134     266.958     1.48561     1678.06     55.3017           0
        G135     495.579     1.12318     2247.68     56.5871           0
        G136     257.311     1.16164     2555.31     69.2364           0
        G137     247.224     1.35122     2154.56     62.4791           0
        G138     314.635      1.1598     3463.99     83.8754           0
        G139     318.802     1.34217     1964.92     59.8918           0
        G140     363.383     1.56461     2171.79     53.8995           0
        G141     371.549     1.18636      2707.2     81.1627           0
        G142     291.942      1.1844     3147.93     84.5856           0
        G143     272.436     1.52225     2945.03     75.7825           0
        G144     473.572      1.1491     2027.22     51.1814           0
        G145     461.348     3.58763     2736.66     76.3107           0
        G146     620.699     3.19775     4216.07     124.434           0
        G147     591.947     3.67194     2525.93     78.1342           0
        G148     366.532     3.10934     2361.52     76.4872           0
        G149     440.391      3.2304     3473.96     88.1872           0
        G150     324.848     2.56708     2660.36     71.8961           0
        G151     617.992     1.73985     3570.68     95.0481           0
        G152     610.022     1.60153     1955.55     49.1858           0
        G153     443.062     2.01991     1932.56     62.6269           0
        G154     322.578     1.85952     3353.07     87.1044           0
        G155     271.359     1.83384     2975.15     83.2364           0
        G156     544.718     1.72262     1834.67     45.2404           0
        G157     408.903     1.15135     3469.51     86.3935           0
        G158     507.778     1.33265     3196.33     81.1875           0
        G159     448.956     1.46055     2331.49     58.8897           0
        G160      698.15     1.45349      2610.6     63.0729           0
        G161     460.063     2.26682     2825.28     77.7476           0
        G162     434.404     1.99173     1794.88     57.0135           0
        G163     383.032     1.20339     2306.37     60.5812           0
        G164     409.264     1.86419     1953.47     52.2976           0
        G165     450.369     1.69471     2494.23     73.0594           0
        G166     267.072     1.21429     2366.49     66.8268           0
        G167     337.686     1.45668     2815.77     77.5145           0
        G168     362.202     1.55212     2790.19     73.6691           0
        G169     337.034     1.23649     2819.73     66.7653           0
        G170      515.94     1.95638     1785.92     47.8347           0
        G171     526.644     1.68588     2665.71     62.4217           0
        G172     342.763     1.33507      2520.2     68.1147           0
        G173     478.815     1.60668     2422.54     67.0208           0
        G174      606.02     1.60297     2571.76     71.3599           0
        G175     353.541     3.67437     2514.73      67.089           0
        G176     297.813     2.90748     2292.26     67.5067           0
        G177     559.164     3.47115     1991.79     79.4823           0
        G178     442.919     3.26642     3214.47       83.79           0
        G179     443.278     3.67707     2263.47      74.986           0
