    REF_GAIN           0      1.0985    0.231361           3
          G1     622.831     1.74252     5622.67     144.455           0
          G2     663.543     1.61977     5207.97     150.903           0
          G3     678.656     1.78649     7841.77     190.548           0
          G4     590.447     1.55189     5949.85     150.303           0
          G5     537.737     1.32436     6173.74     183.807           0
          G6     508.595     1.50911      5452.2     154.078           0
          G7     536.492     1.56492     4334.94      130.84           0
          G8     543.537     1.51442      8014.7     170.434           0
          G9     643.748     1.49025     5686.36     127.414           0
         G10     598.662     1.61998     6347.56     136.433           0
         G11     451.915     1.68106      6703.8     149.767           0
         G12     511.526      1.7644     4805.92     134.878           0
         G13      607.54     1.78308     3674.88     122.653           0
         G14     435.106     1.71119     3455.99     101.793           0
         G15     528.679     1.60085     6593.54     127.856           0
         G16     378.432     1.53404           0           0           2
         G17     310.585     1.79673     7197.69     214.148           0
         G18     381.132     1.45766     5984.12     224.363           0
         G19     561.656     1.73645     5512.37     153.271           0
         G20     443.393     1.66505     4882.44     147.979           0
         G21     471.099     1.60826     5702.37     129.869           0
         G22     531.216     1.78617     7700.34     170.619           0
         G23     391.789      1.6722     1187.27     56.6294           0
         G24      522.77     1.52379     5947.87     152.762           0
         G25     371.227     3.07825     5957.52     155.388           0
         G26     390.449       3.288     7257.04     161.302           0
         G27     413.769     3.86513     3861.74     143.847           0
         G28     517.613     3.05742      3191.9      125.55           0
         G29     329.946     2.43528     7105.43     233.916           0
         G30     431.035     2.93456     6406.43     155.543           0
         G31     539.555     1.46675     3855.94     145.762           0
         G32     557.236     1.52636     5787.85     132.678           0
         G33     729.564     1.49658     3886.56     91.7399           0
         G34     644.788     1.60153     1534.77     67.8168           0
         G35     705.421     1.73503     5749.69     118.272           0
         G36     624.196     1.32626     3937.71     110.073           0
         G37     490.674     1.48155     4621.53     128.018           0
         G38     346.995     1.37676     4591.17     143.085           0
         G39     468.836     1.37758     5274.28     150.946           0
         G40     461.906     1.49987     7196.69     233.592           0
         G41     291.521     1.37061     6676.75     181.093           0
         G42     377.928     1.55553     4944.86     154.442           0
         G43     382.139     1.75077     5138.93     132.899           0
         G44     256.122     1.17434     1974.76     105.729           0
         G45     324.111     1.45749     3809.28     122.998           0
         G46     320.376     1.54716     5079.71     126.958           0
         G47     236.052     1.09656     4846.58     142.586           0
         G48     208.076     1.16089     8334.93     211.911           8
         G49     430.108     1.53766     3990.81     112.667           0
         G50     343.594     1.45503     6559.58     150.197           0
         G51     379.842     1.50052     4772.44     130.562           0
         G52     538.589      1.6038     3852.67      116.73           0
         G53     325.729     1.32666     5434.54     163.861           0
         G54     377.005     1.33829     2780.97     82.8442           0
         G55      231.61     3.12888     3103.66     113.138           0
         G56     391.554     3.12227     4824.79     153.828           0
         G57     602.015     2.83256     1407.31     60.9959           0
         G58     580.067     3.39314      3049.5     121.844           0
         G59     600.832     3.30826     6135.52     159.367           0
         G60     507.363     2.74828     5545.78     181.348           0
         G61     490.868     1.32726     4673.95     140.424           0
         G62     481.257     1.33152     7557.17     213.714           0
         G63     526.998     1.50195     5314.85     138.214           0
         G64     575.828     1.10188     6760.44     171.463           0
         G65     680.322     1.77912     7381.56     188.921           0
         G66     589.798     1.61569     7325.89     155.911           0
         G67      394.47     1.20787     4764.98     121.198           0
         G68     369.689     1.24941      4413.5      102.47           0
         G69      525.14     1.33204     7869.94     183.837           0
         G70      458.92     1.35894     6747.39     138.587           0
         G71     363.938      1.4659     4695.98     122.825           0
         G72     454.755      1.2934     4726.17     122.505           0
         G73      310.64     1.25324     6220.61     167.504           0
         G74     295.373      1.4073     6799.13     258.757           0
         G75     388.516     1.30058     4675.67     125.817           0
         G76     263.427     1.89005     7162.45     226.051           0
         G77     253.696     1.23014     9136.55     382.929           8
         G78     368.941     1.42435     4828.02     159.522           0
         G79     372.219     1.39351     4296.23     128.661           0
         G80     524.541     1.15438     4346.23     128.069           0
         G81     610.841     1.48722     3967.79     93.5644           0
         G82      500.23     1.30044     8226.77     160.732           8
         G83     335.389     1.41661     5527.57     171.785           0
         G84     560.567     1.28558     7556.15     169.178           0
         G85     370.814     2.87835     5047.48      133.61           0
         G86     360.714     3.45566     4210.97     155.262           0
         G87     499.274     3.11279     3775.38     126.303           0
         G88     476.172     2.34394     5099.72     160.339           0
         G89     626.048     2.81359     5712.65     229.527           0
         G90     544.231     2.52015     4129.98     122.001           0
         G91      644.14     1.76177      6114.2     140.897           0
         G92     640.714     1.54293        5213      159.14           0
         G93     566.401      1.8046     4145.73     131.457           0
         G94     602.667     1.50097     3885.74     118.841           0
         G95     602.117     1.57178     5708.53     139.612           0
         G96     644.224     1.50576     4849.41     102.047           0
         G97     544.165     1.22954     6447.73     179.325           0
         G98     431.864     1.16901     6603.58      180.93           0
         G99      646.21     1.28774      6572.4     202.503           0
        G100     495.124     1.63761     4460.04     135.228           0
        G101     648.989      1.8085     7252.45     140.288           0
        G102     441.139     1.27641     5891.56     131.127           0
        G103     498.707     1.59969     6542.23     173.804           0
        G104     376.983     1.33508     4124.77     140.908           0
        G105     533.901      1.5218     6397.19     154.071           0
        G106     445.541     1.50516     5035.34     149.254           0
        G107     365.307     1.12355           0           0           2
        G108     393.275      1.2973     3990.11     125.501           0
        G109      517.68       1.599     6907.83     178.602           0
        G110     599.606     1.40829     6872.41     192.739           0
        G111     390.764     1.21619     4099.74      137.87           0
        G112     582.065     1.58905     3595.08     99.6885           0
        G113     523.859     1.22179     5035.26     145.163           0
        G114     510.957     1.40107      6033.2     159.512           0
        G115     530.291     2.50878      4244.7     130.135           0
        G116      518.93     3.05072      4396.5     124.317           0
        G117     367.891     3.52761     4344.63     107.628           0
        G118     450.306     2.88751     3286.69     93.4499           0
        G119     512.685     2.89338     2950.54     96.6953           0
        G120     368.341     2.36766     4708.97     114.646           0
        G121     626.449     1.98545     5029.15     108.585           0
        G122     671.575     1.84683     3096.67     85.7396           0
        G123     639.075     1.84215     4574.03     107.275           0
        G124     663.247     1.73033     3572.89     94.9904           0
        G125     538.866     1.69934      3423.6     89.4214           0
        G126     583.499     1.39747     5889.11     158.083           0
        G127     412.981     1.29039     4326.52     97.7878           0
        G128      308.93     1.27046     4187.61     108.088           0
        G129     462.947     1.12197     3185.62     80.3608           0
        G130     245.097     1.34426      4492.3     110.188           0
        G131     396.567     1.60817     5717.65     115.668           0
        G132     444.016     1.21628     5495.79      143.22           0
        G133     469.274     1.29108      3564.9     101.331           0
        G134     267.001     1.46501      3014.7     102.188           0
        G135     495.274     1.11199     3951.63      103.82           0
        G136     257.047     1.16201     4832.68     125.493           0
        G137     247.011     1.30511     4046.77     114.201           0
        G138     314.317     1.10982      6493.3     149.297           0
        G139     318.611     1.29923     3522.74     106.306           0
        G140     363.358     1.48436      4032.3     100.767           0
        G141     371.396     1.16103     4929.13     144.439           0
        G142     291.117     1.17449     5824.87     159.145           0
        G143     271.556     1.54599     5437.21     138.122           0
        G144     473.078     1.14292     3675.17     99.2069           0
        G145     459.518     3.47606     4879.27     135.678           0
        G146     619.355     3.06452     7680.14     228.975           0
        G147     591.117     3.57364     4412.87     144.723           0
        G148      365.85     3.10253     4371.49     139.518           0
        G149     439.203     3.08419     6430.25     160.216           0
        G150     323.581     2.42163     5077.32     136.821           0
        G151     616.623      1.6507     6286.96     168.677           0
        G152     609.334     1.52897     3243.36     92.3146           0
        G153     442.427     1.96336     3482.14     123.894           0
        G154     322.735     1.80134     6400.57     166.766           0
        G155     271.257     1.80282     5580.08     150.317           0
        G156     544.531      1.7015     3252.62     93.6719           0
        G157      408.46     1.14769     6384.49     157.724           0
        G158     507.047     1.32756      6085.5     154.722           0
        G159     448.199     1.53481     4272.92     111.772           0
        G160     697.279     1.37687     4618.84     120.189           0
        G161     459.035      2.3241     5097.77     140.971           0
        G162     433.671     2.04719     3215.16     108.132           0
        G163     383.023     1.21561     4375.03     111.386           0
        G164     408.462     1.86796     3581.78     100.468           0
        G165     449.911     1.71276     4469.77      134.45           0
        G166     267.008     1.18538     4534.59      122.99           0
        G167     337.122     1.45183     5442.98     146.212           0
        G168     361.498     1.51727     5092.83     131.882           0
        G169     336.702     1.16516     5198.74     120.006           0
        G170     514.523      1.8247     2998.73     93.8378           0
        G171     525.288     1.80665     4821.89     115.007           0
        G172     342.061     1.32832      4858.8      128.11           0
        G173     477.402     1.56283      4241.2     124.843           0
        G174     604.329     1.61346     4528.79     132.107           0
        G175     352.158      3.5768     4811.82     131.093           0
        G176     297.821     2.75052     4136.35     123.479           0
        G177     558.096      3.2778     3407.32     152.854           0
        G178     442.236     3.12319      5916.8     149.525           0
        G179     442.608     3.45813     3935.88     136.051           0
        G180     461.977     2.55345     4001.27     103.492           0
        G181     565.574     1.82121     4312.21     118.421           0
        G182     259.201     1.77249        3375     86.7427           0
        G183     466.163     1.80546     3244.76      101.68           0
        G184     404.131     1.73399     5174.59     120.711           0
        G185     633.642     1.78051     3842.09     112.646           0
        G186     597.157     1.81712     2935.07     92.1269           0
        G205     478.085     3.09931     6037.28     145.181           0
        G206     428.765     3.47913     5168.76     120.589           0
        G207     426.361     2.72836     6270.03     177.335           0
        G208     480.197     2.84994     4262.06     119.003           0
        G209     660.414      2.5682     4510.88     132.021           0
        G210     622.258     2.49104     4317.41     136.881           0
        G211     658.714     2.09693     2566.53     57.8483           0
        G212     462.231     1.61968     5216.47     155.504           0
        G213     369.028     1.81541     5489.81      128.68           0
        G214     324.263     1.69964     4222.08     115.909           0
        G215     341.013      1.6267     5315.23     141.004           0
        G216     452.822     1.58722     2917.33     97.6274           0
        G235     600.257     3.43894     4929.12     149.279           0
        G236     544.827     2.74042     2979.75     99.4917           0
        G237     411.961     3.26104     2397.33     100.394           0
        G238     392.536     3.28123     5192.22     155.006           0
        G239     451.664     2.72138      4324.2     124.355           0
        G240     460.147     2.26363     4583.91     170.671           0
        G241     530.278     2.25924     3940.11     93.7941           0
        G242     472.256     2.07234     3938.91     110.973           0
        G243     448.258     2.10164     5354.65     127.141           0
        G244     569.211      1.9636     3497.25     93.5044           0
        G245     389.349     1.98117     4231.26     104.029           0
        G246     516.197      2.2694     5005.72     171.731           0
        G265     558.326     2.11713     4385.45     114.609           0
        G266     515.444     2.53546     1420.81     60.6987           0
        G267     522.672     3.18704     3657.02     125.506           0
        G268     563.557     2.36287     1697.61     75.3397           0
        G269     437.861     1.84494     4699.09     163.906           0
        G270     451.331     2.62286     6331.08      169.01           0
        G271     404.624     1.89911     4140.19     91.3369           0
        G272     421.602     1.83644     3702.86     92.8646           0
        G273     448.145     2.12821     3406.48      87.413           0
        G274     508.051     2.24288     3302.97     85.0546           0
        G275     567.621     3.20449     3280.52     103.553           0
        G276     403.587     3.26493     4246.95     115.675           0
        G295     470.196     2.76654     5443.25     123.932           0
        G296     472.088     3.18513     5455.01     129.684           0
        G297     586.705     2.42335     6964.44     184.289           0
        G298     632.572     3.09145     4899.29     180.163           0
        G299     463.449     2.57341     4734.31     116.508           0
        G300     546.662     2.58533     4224.64     127.262           0
        G301     614.483      3.3279     5128.66      104.47           0
        G302     480.652     2.79191     3061.68     115.752           0
        G303     304.545     2.92575     3276.04     97.0529           0
        G304     432.332     2.78126     2070.55     76.4075           0
        G305     389.628     2.78529     3232.16     87.3005           0
        G306      432.77     2.45948     2840.82     89.0276           0
        G325       521.3     2.07037     6023.99     172.558           0
        G326     557.774     3.20328     4528.39     135.297           0
        G327     423.884      2.4019     4540.97     115.095           0
        G328     366.946     2.48898     4557.59     134.737           0
        G329      395.83     2.85372     5283.34     138.016           0
        G330     427.882     2.40811     6746.41     154.809           0
        G331     462.168     2.93508     5130.45     121.016           0
        G332     480.484     2.69576     3046.94     99.7471           0
        G333     642.597     3.01507     3797.73     89.7412           0
        G334     525.873     2.54169     2979.05     82.0962           0
        G335     382.499     2.74812     3556.88     91.5441           0
        G336     320.371     2.55093     2513.35     97.9633           0
        G355     596.913     2.94296     5342.85     123.076           0
        G356     524.132     3.06374     7746.87     173.715           0
        G357     621.835     2.48184     5892.13     159.371           0
        G358     529.476      2.7352     4709.07     199.472           0
        G359     392.483     2.18975     3273.08     136.086           0
        G360     351.895     2.51925     4402.19     123.862           0
        G361     427.299     2.60317     3920.45     108.915           0
        G362     499.619     2.67037     3642.64      100.05           0
        G363     599.031     3.45385     2177.19      73.665           0
        G364     572.601     2.97581     2958.53     136.606           0
        G365     462.685     3.35101     3227.98      100.62           0
        G366     391.753     2.99773     3429.87     84.4879           0
        G385     412.029     2.78107     4176.85     138.459           0
        G386     432.594     3.09495     742.249     36.5489           4
        G387     548.908     3.52733     4025.19     119.278           0
        G388     549.529     3.87277     5620.39     119.817           0
        G389     585.122     2.62982     4752.99     147.314           0
        G390     599.895     2.89007     3343.57     110.498           0
        G391     490.293     3.01473     3458.95     101.402           0
        G392     328.239     2.91914     3516.09     113.134           0
        G393     488.393     2.65686     3820.96     144.233           0
        G394     405.074     2.44478     3560.32     97.1443           0
        G395     514.992     3.20628     3406.16      79.427           0
        G396     497.787     2.85485     4511.67      101.53           0
        G415     491.301     3.60359     7071.23     187.719           0
        G416     487.169     3.52845     5313.98     136.714           0
        G417     482.824     3.01807     4267.24     148.456           0
        G418      505.82     3.42493     4396.85     122.224           0
        G419     519.643     3.00047     4880.99     143.572           0
        G420     515.796     2.82615     6146.42     131.515           0
        G421     507.711     3.02612      6830.7     153.098           0
        G422     617.949     2.40754     4937.34     113.427           0
        G423     353.858     2.85996     4180.27     111.701           0
