    REF_GAIN    0.521485     1.23019    0.247023           2
          G1     501.578     1.66018     5355.38     133.786           0
          G2     649.793     1.58059     4822.18     136.434           0
          G3     452.985     1.71872     7016.98      172.33           0
          G4     513.657     1.46191     5603.17     142.169           0
          G5     304.605     1.19594     5555.71     169.997           0
          G6     421.349      1.3993     5210.29     147.727           0
          G7     539.563     1.52788     4281.94     123.541           0
          G8     547.569     1.51078     7502.11     169.898           0
          G9     644.749      1.3088     5680.52      120.95           0
         G10     598.034     1.57785     6182.84     128.704           0
         G11      451.27     1.68054     6391.47     143.993           0
         G12     512.913     1.65637     4834.62     130.726           0
         G13      610.73     1.77146     3752.31     117.702           0
         G14     438.925     1.77332     3423.25     94.3687           0
         G15     530.986     1.60717     6344.42     123.877           0
         G16     384.685     1.44643     8820.49     193.795           8
         G17     315.937     1.74449     6823.27       198.3           0
         G18     384.002     1.40475     5759.07     207.299           0
         G19     562.732     1.65245      5111.3     140.333           0
         G20     447.164     1.62262     4691.58     140.018           0
         G21     473.615     1.55375     5532.05     119.644           0
         G22     540.378     1.54891     7011.64     160.963           0
         G23     394.374      1.6632     1182.92     55.9119           0
         G24      525.17        1.43     5749.79     142.497           0
         G25     374.144     2.88933     5770.72     145.684           0
         G26     396.746     3.08736     6853.24      153.51           0
         G27     417.378     3.63215     3680.05     133.162           0
         G28     518.771      2.9226     3029.83     115.584           0
         G29     335.958     2.33624     6703.64     225.221           0
         G30     436.164     2.73241      6173.8     144.552           0
         G31     383.231     1.37466      3663.8     142.281           0
         G32     358.418     1.42025     5331.23      124.15           0
         G33     466.074     1.48961      3648.2     88.8433           0
         G34     509.837     1.53426     1431.72     68.4117           0
         G35      519.13     1.71802     5455.65     114.264           0
         G36     516.533     1.28048      3777.9     103.729           0
         G37     495.108     1.41666     4439.69     123.168           0
         G38     355.089      1.3156     4247.08     131.143           0
         G39     474.065     1.23103     4936.65     140.281           0
         G40     470.244     1.52128     6789.65     219.666           0
         G41     291.603     1.35896     6163.09     169.441           0
         G42     382.178     1.57629     4687.49      146.35           0
         G43     384.741     1.65903     4908.41     120.626           0
         G44      260.76     1.16722     1890.18     94.4084           0
         G45      324.36     1.37154     3738.54     116.007           0
         G46     325.543     1.47451     4918.96     120.594           0
         G47     239.052     1.08269     4664.17     137.127           0
         G48     211.931     1.22631     7912.83     260.819           0
         G49     431.948     1.45954     3862.79     106.214           0
         G50     347.997     1.37421     6289.54     141.563           0
         G51     378.586     1.48323     4550.72     126.331           0
         G52     542.263     1.53111      3749.1     109.992           0
         G53     328.318     1.25721     5047.89     151.182           0
         G54     378.461     1.35718     2782.62     80.9613           0
         G55     235.789     3.02767      3076.7     106.206           0
         G56      393.51     2.95586     4716.42     146.466           0
         G57     591.027     2.66989      1385.4     61.5087           0
         G58     580.089     3.20623     2879.54     112.994           0
         G59     600.508      3.1979     5898.27     148.049           0
         G60     509.241     2.60253     5308.05      167.05           0
         G61     376.362     1.26833     4441.54     135.512           0
         G62      297.94     1.28697     6795.79     192.965           0
         G63     434.756     1.37895     5098.64     135.235           0
         G64     495.297     1.12701      6336.9     162.068           0
         G65     370.783     1.77488     6791.98     178.724           0
         G66      462.78     1.58393     6799.87     143.708           0
         G67      397.25     1.12777     4601.15     115.664           0
         G68     374.079     1.20872     4338.59     99.8433           0
         G69     526.006     1.20777     7534.14     169.536           0
         G70     461.659     1.27179     6429.88     129.064           0
         G71     363.783     1.43574     4507.06      118.49           0
         G72       445.8      1.2453     4496.88     116.116           0
         G73     313.815     1.20877     5939.68     157.898           0
         G74      300.43        1.34     6504.28     241.893           0
         G75     390.363     1.38422     4568.42     119.421           0
         G76     265.924      1.8597     6425.02     199.791           0
         G77     258.932      1.2161      7780.8     279.532           0
         G78     370.576     1.46464     4646.28      146.13           0
         G79      373.29      1.4046     4186.03     124.706           0
         G80     524.838     1.16018     4179.31     121.342           0
         G81     601.685     1.34535     3787.58      85.596           0
         G82     500.934     1.22878      7790.2     164.676           0
         G83     340.906     1.38849     5344.44     161.359           0
         G84     560.292     1.17898     7230.65     160.419           0
         G85     379.069     2.72068     4774.64     125.549           0
         G86     367.343      3.2928     4103.28     149.883           0
         G87      501.95     2.92242     3691.48     119.136           0
         G88     478.938     2.22544     4891.03     149.688           0
         G89     626.153     2.70816     5369.03      211.58           0
         G90     544.189     2.44875     4032.38     116.683           0
         G91     419.172     1.62023     5542.04     132.391           0
         G92     544.296     1.53299     4946.98     150.121           0
         G93     328.843     1.77467     3820.83     125.948           0
         G94     383.314     1.45255     3582.71     114.998           0
         G95     404.184     1.56702     5112.57     124.882           0
         G96      499.89     1.41354     4589.32     99.0146           0
         G97     533.265      1.2132     6158.01     170.892           0
         G98     437.035     1.10376      6152.3     165.642           0
         G99     646.387     1.17358     5982.56     187.276           0
        G100     492.342     1.71007     4334.78     127.945           0
        G101     643.504     1.79249     6905.95     132.545           0
        G102     442.285     1.32142     5741.53     123.157           0
        G103     482.854     1.74712     6235.53     167.626           0
        G104     376.921      1.3023     3947.41     131.474           0
        G105     531.192     1.51629     6075.45     147.053           0
        G106      434.55     1.55935     4880.83     140.655           0
        G107     365.586     1.13408           0           0           2
        G108     390.916     1.30088     3881.69     119.555           0
