    REF_GAIN           0     1.09858    0.229043           3
          G1     622.695     1.80073      3117.5     78.0746           0
          G2     663.829     1.67259     3123.22     90.0582           0
          G3      679.53     1.83809     4562.71     116.918           0
          G4     591.574     1.53385     3387.69     88.9219           0
          G5     538.397     1.32226     3493.49     111.326           0
          G6     510.552      1.4978     2930.87     86.5408           0
          G7     537.035     1.62933     2347.18     69.3636           0
          G8     544.012     1.50711     4639.38     108.789           0
          G9     643.714     1.47287     3131.34     68.8586           0
         G10      599.18     1.60485     3474.02     74.3617           0
         G11      452.28     1.66707     3690.66     89.0818           0
         G12     512.296     1.78341     2479.51     70.2364           0
         G13     607.992     1.75712     2119.29     62.5336           0
         G14     435.358     1.66784     1987.95     52.1788           0
         G15      528.69     1.62648     3720.99     77.6923           0
         G16     378.866     1.57611     2982.19     77.0677           0
         G17     310.843     1.89495     3861.12     122.186           0
         G18     381.229     1.52228     3198.67     126.344           0
         G19     563.124     1.86024     3207.85     90.5029           0
         G20     444.284     1.76848     2626.99     80.2264           0
         G21     471.236     1.72538      3164.8       74.48           0
         G22       532.4     1.73591     4518.37     103.559           0
         G23     392.921     1.62477     798.119     28.9456           0
         G24      522.93     1.48851     3301.41     85.8025           0
         G25     371.449     3.28494     3228.85      87.315           0
         G26     390.419     3.47914     4042.05     96.3236           0
         G27     413.157     3.93233     2137.09     79.5695           0
         G28     517.258     3.17402     1863.67     73.7752           0
         G29     330.824     2.60127     3846.85     138.617           0
         G30     431.575     3.06685     3475.06      90.816           0
         G31     539.578     1.49074     2211.35     77.2575           0
         G32     557.543     1.47556     3216.16     74.7265           0
         G33     731.269     1.47039     2356.06     49.9182           0
         G34     645.271     1.59119     1098.25     34.0078           0
         G35     705.631     1.73372     3253.51     66.8542           0
         G36     624.963      1.3168     2347.85     61.3546           0
         G37     491.262     1.47397     2604.79     70.6136           0
         G38     347.627      1.3938     2566.59     82.6229           0
         G39     469.387     1.35976     3059.08     91.7275           0
         G40     462.565     1.57245      3936.4     137.584           0
         G41     291.784     1.33897      3620.5     102.865           0
         G42     378.564     1.61123     2703.09     87.9594           0
         G43     381.802     1.71989     2935.01     77.8682           0
         G44     256.005      1.2305     1116.06     54.2129           0
         G45      323.94     1.51864     2109.79     67.0651           0
         G46     320.563     1.59707     2755.07     69.6719           0
         G47     236.102     1.14154     2501.97     78.2093           0
         G48      208.29     1.28886     4581.66     162.728           0
         G49     430.159     1.62395     2152.74     59.3242           0
         G50     344.894     1.53907     3626.58     86.8864           0
         G51     380.195     1.62686     2717.88     77.5794           0
         G52       539.2     1.62076      2266.8     67.1475           0
         G53     326.645     1.31419     3025.21     93.8363           0
         G54     378.224     1.42541     1583.77     42.8614           0
         G55      231.28     3.35065     1682.33     58.5392           0
         G56     390.226     3.31036     2599.49     83.7648           0
         G57     603.781     2.96783     999.704     29.3018           0
         G58     580.568     3.60105     1856.27      70.741           0
         G59      601.17       3.346     3417.51     87.7107           0
         G60     507.014     2.87734     3137.89     102.799           0
         G61     492.948     1.38577     2589.63     79.9769           0
         G62     483.037      1.3331      4337.1     122.573           0
         G63     527.901     1.45965     2920.52     75.8358           0
         G64     576.463     1.11359     3790.14     99.8556           0
         G65     682.408     1.93228     4294.47     112.693           0
         G66     590.081     1.67525     4282.53     94.3001           0
         G67     394.869     1.21172     2570.29     67.8011           0
         G68     370.079     1.23205     2429.19      57.424           0
         G69     525.845     1.29137     4379.78     107.182           0
         G70     459.499     1.35788     3762.25     78.9129           0
         G71     364.299      1.4606     2554.92     70.0498           0
         G72     455.894     1.26608     2573.55     67.6892           0
         G73     310.545     1.28605     3325.21     93.0802           0
         G74     295.141     1.44728     3619.08     140.798           0
         G75     389.081     1.29479     2587.08     68.8863           0
         G76     261.339     1.21882     4327.22     135.132           0
         G77     253.632     1.32036     5717.64     202.815           0
         G78      369.28     1.41014     2678.26     88.3169           0
         G79     372.024     1.54316      2374.5     71.3511           0
         G80     524.563     1.23696     2422.35     66.0807           0
         G81     614.708     1.54637     2313.55     52.4793           0
         G82       500.7     1.26975     4479.27     99.9955           0
         G83     335.869     1.40095      3011.5     96.4517           0
         G84     562.168     1.29697        4168     98.9158           0
         G85     371.264     3.06285     2765.62      75.045           0
         G86     360.631     3.60558     2387.72     91.2471           0
         G87      498.67     3.25479     2172.62     65.8689           0
         G88     475.192     2.41394     2861.99     88.8628           0
         G89      627.64     2.99831     3263.04     132.239           0
         G90     545.337     2.69794     2418.07     67.5011           0
         G91     645.354     1.84479     3413.11     83.2689           0
         G92     643.064     1.70484     3000.45     90.5082           0
         G93     569.381     1.84899     2326.54     68.4455           0
         G94     605.014     1.55933     2303.22     65.3966           0
         G95     603.989      1.6716     3363.11     82.7403           0
         G96     646.095     1.54822     2790.76     58.4159           0
         G97      545.33      1.2654     3553.95     102.019           0
         G98     432.341     1.15219     3707.48     105.619           0
         G99     647.131      1.2775     3794.23     118.251           0
        G100     495.909     1.69105     2537.19     72.2299           0
        G101     650.402     1.97275      4013.7     80.7341           0
        G102     441.731     1.26716     3186.27     74.3197           0
        G103     499.399     1.60717      3590.4     100.025           0
        G104     377.109     1.34836     2188.93     70.4105           0
        G105     534.114     1.49952      3520.9     88.6003           0
        G106     446.881     1.59287     2692.59     78.6947           0
        G107      365.51     1.18815        2368     63.7064           0
        G108     393.773     1.37732     2233.37     66.1789           0
        G109     518.985     1.71146     3868.28      103.71           0
        G110     600.746     1.50953     4029.06     115.609           0
        G111     390.614     1.29482      2304.8     77.1957           0
        G112     584.451      1.5207     2017.87     50.9255           0
        G113     524.573      1.1827     2763.07     76.3707           0
        G114     512.065     1.39791     3280.23     88.0387           0
        G115     530.942     2.67028     2439.77     66.2036           0
        G116     519.222     3.21405     2384.16     65.6499           0
        G117     368.892     3.54331     2416.32     60.4029           0
        G118     451.328      3.0131     1898.47     49.3245           0
        G119     513.447     3.05171     1749.64     50.2248           0
        G120     368.304     2.44442     2508.17     61.1401           0
        G121     627.022     2.07777     2849.38     60.8397           0
        G122     673.055     1.82823     1902.83     43.6246           0
        G123     640.477      1.8375     2630.97     58.1904           0
        G124     664.971     1.71397     2149.03     50.9518           0
        G125     540.256     1.75948     1941.31     48.0522           0
        G126     585.046     1.42399      3199.9     86.9933           0
        G127     413.366     1.27381     2337.49     51.6031           0
        G128     309.706     1.26633     2295.82     60.6785           0
        G129     463.286     1.12367     1785.16     41.1347           0
        G130      245.37     1.35321     2338.45     62.3967           0
        G131     396.968     1.67112     2952.72     61.0987           0
        G132     444.566     1.26198     2996.31     79.5602           0
        G133     469.423     1.29129     2041.22     53.1553           0
        G134       266.8     1.47531     1692.12      55.374           0
        G135     495.502     1.11537     2289.62     59.6547           0
        G136     257.327     1.18375     2588.47     71.0512           0
        G137     247.247     1.42886      2191.2     62.2223           0
        G138     314.554     1.16908     3560.73     90.0605           0
        G139     318.881     1.38512     1996.06     63.4841           0
        G140     363.294     1.56035     2199.74     55.5883           0
        G141     371.615     1.20993     2742.55      82.442           0
        G142     291.817     1.18251     3286.48     93.3074           0
        G143     272.295     1.53998     3038.02     81.5179           0
        G144     473.426     1.15749     2054.63     52.1625           0
        G145      461.25     3.57999     2836.33     82.5984           0
        G146     620.506     3.15545     4316.68     130.222           0
        G147     591.833     3.64552     2577.68      82.561           0
        G148     366.458     3.06539     2408.21     80.6039           0
        G149     440.315     3.26295     3561.76     95.4976           0
        G150     324.793     2.52524     2687.99     72.0778           0
        G151     618.083     1.73068     3674.98      101.61           0
        G152     609.949     1.55514     1979.04     50.1032           0
        G153     442.887     2.00593     1941.98     62.0994           0
        G154     322.387     1.86763     3313.75     85.6908           0
        G155      271.24     1.84388     3063.28     91.0484           0
        G156     544.554     1.73381     1851.61     46.4633           0
        G157     408.899     1.17218     3586.73     93.2553           0
        G158     507.715     1.32136      3221.3     85.0223           0
        G159     448.788     1.41738     2366.55     60.4742           0
        G160     698.098     1.46428     2643.65     64.9274           0
        G161     459.912     2.26562     2858.63     81.9561           0
        G162      434.27     1.99396     1818.93     59.4681           0
        G163      382.96      1.2304      2337.9     60.2629           0
        G164     409.046     1.86082        1966     53.6546           0
        G165      450.44      1.7304     2542.79      77.378           0
        G166     267.089      1.2226     2397.44     68.4887           0
        G167     337.586     1.47963     2842.58     78.7314           0
        G168     362.086     1.51599     2811.25     75.2686           0
        G169     337.123     1.27453     2928.74     71.1484           0
        G170     515.932     1.97868     1798.51     47.9005           0
        G171     526.756     1.69009     2744.46     67.2602           0
        G172     342.613     1.29934     2550.59     67.3453           0
        G173     478.646     1.55627      2475.6     70.7475           0
        G174     605.794      1.5767     2629.32     75.1003           0
        G175     353.457     3.67097     2530.62     68.3246           0
        G176     297.516     2.90538     2308.51      68.262           0
        G177     559.169     3.49904     2004.58     81.7083           0
        G178     442.965     3.27777     3268.77     86.7664           0
        G179     443.418     3.69331     2291.09     77.6375           0
        G180     462.823     2.67755     2388.15     61.8807           0
