    REF_GAIN    0.520124     1.22814    0.246333           2
          G1     501.642     1.65407     5225.37      130.47           0
          G2     649.721     1.55612     4641.21     131.424           0
          G3     453.011      1.7077     6779.61     170.027           0
          G4     513.651     1.43608     5426.64     132.352           0
          G5     304.594     1.17666     5375.71     163.082           0
          G6     421.361     1.36518     5081.99     140.746           0
          G7     539.721     1.54879     4178.06     121.767           0
          G8      547.62     1.56907     7219.89     155.531           0
          G9     645.336     1.35172      5431.5     116.096           0
         G10     598.182     1.53283     5985.22     120.224           0
         G11     451.359       1.648     6110.21     133.676           0
         G12     512.934     1.63057     4722.82       125.1           0
         G13     610.848     1.73539     3618.67     112.486           0
         G14     438.966     1.71832     3334.92     91.7355           0
         G15     531.074     1.56392      6040.3     119.715           0
         G16      384.75     1.44827     8458.56     212.479           0
         G17     315.961     1.69319     6638.56      197.35           0
         G18     384.015     1.40341     5609.85     201.469           0
         G19     562.856     1.58266     4920.59     136.643           0
         G20      447.34     1.53982     4616.49     132.335           0
         G21     473.761     1.43467     5266.43     114.689           0
         G22     540.498     1.55562     6687.72     148.448           0
         G23      394.34     1.64526     1176.05      54.946           0
         G24     525.144      1.4276     5519.02     137.898           0
         G25     374.183     2.90842     5559.41     140.549           0
         G26     396.714     3.12197      6606.6     149.443           0
         G27     417.373     3.69084     3579.59     127.262           0
         G28     518.769     2.95756     2947.56     112.029           0
         G29     336.245     2.32077     6463.68     211.511           0
         G30     436.175     2.77614     5962.41     142.369           0
         G31     383.218     1.36592     3607.77     138.853           0
         G32     358.369     1.42677     5178.14     118.712           0
         G33     466.334     1.44236     3489.86     82.5691           0
         G34     509.958     1.52383      1420.4     68.2637           0
         G35     519.266     1.67063     5299.91     108.469           0
         G36     516.531     1.25002     3628.94     98.5293           0
         G37     495.199     1.44768     4350.59     118.912           0
         G38     355.172      1.3434     4118.74     127.354           0
         G39      474.23     1.24468      4768.6     134.892           0
         G40     470.346     1.48464     6569.71     210.071           0
         G41     291.722     1.35419     5635.75       150.4           0
         G42     382.287     1.56879     4529.79     134.781           0
         G43     384.738     1.62294     4786.92       118.9           0
         G44     260.813     1.15387     1849.59      91.093           0
         G45     324.552     1.36697     3660.24     111.277           0
         G46     325.572     1.49614     4840.05     116.304           0
         G47     239.068     1.05134     4503.81     131.916           0
         G48     212.027     1.19322     7596.94     242.534           0
         G49     432.113     1.35885      3764.9     101.305           0
         G50     348.133     1.26905     6122.11     138.355           0
         G51     378.653     1.39404     4424.27     119.841           0
         G52      542.28     1.55971      3654.8      103.83           0
         G53     328.372     1.28847     4840.06      143.97           0
         G54     378.588     1.32984      2742.4     76.6323           0
         G55     235.673     3.07275     2992.09     101.136           0
         G56     393.413     3.00035     4651.95     141.439           0
         G57     591.156      2.6627     1365.27     58.6966           0
         G58      580.13     3.23934     2768.89     105.131           0
         G59     600.562     3.19667     5716.65     143.871           0
         G60     509.229     2.64196     5149.82     159.732           0
         G61     376.334     1.26124     4331.94     128.108           0
         G62     298.037     1.28656     6649.78     192.941           0
         G63      434.78     1.35268     4957.85     128.847           0
         G64     495.274      1.1153     6126.22     154.687           0
         G65     370.834     1.74228     6541.75      171.95           0
         G66     462.752     1.53983     6536.56     137.776           0
         G67     397.355     1.14876     4486.97     111.668           0
         G68     374.173      1.2367     4136.79     91.6539           0
         G69     526.213     1.20163     7278.27      168.51           0
         G70     461.647     1.25858     6196.29     123.828           0
         G71     363.941     1.44294     4381.08      111.31           0
         G72     446.004     1.24641     4387.01     110.836           0
         G73     313.825     1.20309     5738.87     149.634           0
         G74      300.49     1.33308      6062.5     229.748           0
         G75     390.514     1.37992     4494.76     116.662           0
         G76     266.059     1.86154     6110.08     192.688           0
         G77     258.927     1.22766     7549.33     272.013           0
         G78     370.597     1.48537     4471.66     141.671           0
         G79     373.292     1.26347     4091.74     120.014           0
         G80     524.766     1.04471        4075     116.267           0
         G81     602.141     1.31143     3699.12     81.4336           0
         G82     500.846     1.25274     7540.95     156.905           0
         G83      340.86     1.37695     5147.58     155.071           0
         G84     560.433     1.20998     7016.73     156.786           0
         G85      378.99     2.76296     4617.81     118.028           0
         G86     367.313     3.37069     3897.57     140.141           0
         G87       501.9     2.97074     3618.94     116.001           0
         G88     478.905     2.23861     4760.26     146.861           0
         G89     626.151     2.71327     5210.54     202.102           0
         G90     544.137     2.47008     3937.35     110.854           0
         G91     419.229     1.57986      5390.1     122.979           0
         G92     544.356     1.48818     4811.09     146.495           0
         G93     328.787     1.74531     3727.87     121.064           0
         G94     383.351     1.46958     3485.09     109.252           0
         G95     404.126     1.57977     4892.01     119.373           0
         G96     499.933     1.40573     4448.07     93.4835           0
         G97     533.556      1.2166     5996.31      158.32           0
         G98     436.998     1.08768     5945.75     160.491           0
         G99     646.468     1.18352     5857.99     179.735           0
        G100     492.467     1.70489     4194.75      122.56           0
        G101     643.703     1.82894     6731.51     128.047           0
        G102     442.346     1.30741      5460.8     116.269           0
        G103     483.074     1.68563     6081.51     157.319           0
        G104     376.957     1.30996     3881.19     126.517           0
        G105     531.262     1.53117     5874.21     137.659           0
        G106     434.694     1.55115     4792.42     138.963           0
        G107     365.668     1.10543           0           0           2
        G108     391.009     1.27259     3795.89     113.471           0
        G109     515.787     1.39729     6195.73     161.645           0
        G110     599.122     1.32009     6158.74      172.04           0
        G111     387.672     1.11645     3776.03     121.915           0
        G112     570.142     1.54554     3397.12     89.2345           0
        G113     525.356     1.19208     4839.49     134.781           0
        G114     509.727     1.30131     5730.57     146.286           0
        G115     529.557     2.32624     4120.65     120.784           0
        G116     513.763     2.85672     4127.78      111.61           0
        G117     369.128     3.34602     4057.36     95.0216           0
        G118     449.052     2.77134     3185.09     85.4161           0
        G119     510.287     2.83371     2882.96     93.3645           0
        G120     364.857     2.34106      4440.8     101.797           0
        G121      520.67     1.74786     4418.81     94.7315           0
        G122     365.752     1.67131      2683.7     76.8537           0
        G123     453.973     1.74591     4093.02     96.6887           0
        G124     439.363     1.59855     3165.42     84.7428           0
        G125     289.914     1.54808     2963.34     81.3983           0
