    REF_GAIN           0     1.09741    0.229007           3
          G1     622.088     1.82278      3089.8     76.5584           0
          G2     663.099     1.67596     3109.33     88.1595           0
          G3     678.737     1.79244     4563.96      117.08           0
          G4     590.819       1.549     3356.26     85.9406           0
          G5     537.873     1.32016     3483.14     109.179           0
          G6     509.966     1.50258     2923.92     85.0799           0
          G7     536.365     1.61426     2345.16     68.9827           0
          G8     543.373     1.52454     4596.87     107.272           0
          G9     643.474      1.4554     3096.46     66.7479           0
         G10     598.597      1.6095     3456.66     75.9695           0
         G11     451.835     1.63571     3651.38     86.5628           0
         G12     511.794     1.75169     2478.43     68.3932           0
         G13     607.386     1.78856     2099.31      61.296           0
         G14     434.956     1.69673     1984.84      51.182           0
         G15     528.163     1.59132      3655.2     75.8079           0
         G16     378.476     1.57457      2968.3     77.5115           0
         G17     310.501     1.83712     3850.92     122.877           0
         G18     380.846     1.53345      3181.2     122.281           0
         G19     562.453     1.88132      3204.4     90.0009           0
         G20     443.799     1.74569     2604.12     79.1467           0
         G21     470.758     1.74778     3112.04     72.8714           0
         G22     531.704     1.76793     4499.37     99.4157           0
         G23     392.487     1.68646     796.628     28.5994           0
         G24     522.371     1.53718     3262.72     86.7355           0
         G25     371.195     3.20112      3192.3     84.9035           0
         G26     390.207     3.45687      4036.4     94.9585           0
         G27     412.851      3.8731     2133.36     78.4446           0
         G28     516.823     3.11896        1868      73.877           0
         G29     330.696     2.54263      3812.4      134.49           0
         G30     431.235     3.03254      3450.6     88.5831           0
         G31     539.037     1.48706     2205.75     76.8229           0
         G32     556.935     1.51305     3185.26     74.2323           0
         G33     730.391     1.49376     2332.18     49.0043           0
         G34     644.533     1.60236     1097.28      33.816           0
         G35     704.863     1.73674     3229.28      65.536           0
         G36     624.254     1.33138     2298.92     59.3502           0
         G37     490.588     1.46494     2600.34     71.4134           0
         G38      347.28     1.40948     2554.75     80.3925           0
         G39      468.83     1.37899     3054.45     92.4177           0
         G40     462.009     1.54595     3926.38     134.647           0
         G41     291.559     1.36945     3622.69     103.012           0
         G42     378.128     1.60042     2697.54     89.2936           0
         G43     381.452     1.69315     2922.05     76.8446           0
         G44     255.802     1.24218     1119.12     55.8125           0
         G45     323.717     1.49552     2091.58     66.7018           0
         G46      320.18     1.57264     2742.37     69.5515           0
         G47     235.897     1.13849     2490.83     78.6913           0
         G48     208.098     1.32985     4577.19     162.841           0
         G49     429.825     1.66358     2145.98     59.1246           0
         G50     344.496     1.54866     3619.42     87.5214           0
         G51     379.827     1.62321     2704.01     75.5973           0
         G52     538.562     1.62974     2261.25     66.0352           0
         G53     326.475     1.32025     3021.79     93.5756           0
         G54     377.788     1.43446     1573.33     42.5102           0
         G55     231.135     3.39193      1675.6     57.4808           0
         G56     389.989      3.2392     2603.87      82.655           0
         G57     603.619     2.95619     996.249     28.6467           0
         G58     580.084     3.54277     1851.17     70.8064           0
         G59     600.686      3.3444     3384.89     91.0699           0
         G60     506.653     2.81925     3128.68     106.447           0
         G61     492.471     1.36258     2581.18     77.1246           0
         G62     482.479     1.34946     4340.86     123.819           0
         G63     527.391     1.46913     2890.62     73.9768           0
         G64     575.929     1.11687     3769.32     96.3425           0
         G65     681.578     1.88137     4257.05       110.8           0
         G66     589.494     1.63027     4255.57     90.3739           0
         G67     394.269     1.18846     2544.55     65.3834           0
         G68      369.61     1.25093      2400.4     56.8463           0
         G69      525.17     1.29591     4348.85     104.171           0
         G70     459.007     1.32833     3731.23     77.0233           0
         G71     363.893      1.4963     2545.55     71.8845           0
         G72     455.497     1.27812     2574.79     68.9364           0
         G73     310.306     1.28803     3308.16     92.3368           0
         G74     294.978     1.41911     3596.13     141.843           0
         G75     388.706     1.32664     2577.83     68.6729           0
         G76     261.041     1.19323     4309.79     134.313           0
         G77     253.349     1.28891     5702.23     200.876           0
         G78     368.896     1.49454     2640.92     89.1115           0
         G79     371.682     1.51822      2362.9     71.0114           0
         G80     524.595     1.24751     2404.46     65.6589           0
         G81     613.818     1.56487     2312.75     51.4407           0
         G82      500.13     1.31629     4487.63      102.24           0
         G83     335.569     1.38987     2973.81     95.2548           0
         G84     561.472     1.33369     4153.17     94.0117           0
         G85     371.059     3.01446     2733.42     74.1145           0
         G86     360.495      3.5508     2363.62     91.1559           0
         G87     498.346     3.24254     2153.36      64.471           0
         G88     474.788     2.41369     2841.63     88.8782           0
         G89     627.115     2.96887     3256.93     126.588           0
         G90     544.889     2.75576     2405.83     66.3181           0
         G91     644.611     1.79716     3415.77     84.3651           0
         G92     642.295     1.67863     2991.81     90.5508           0
         G93     568.605     1.82085     2313.24     68.2023           0
         G94     604.248      1.5389     2293.75     64.8633           0
         G95     603.259     1.64277        3354     79.7049           0
         G96     645.331     1.56598     2757.41     57.4902           0
         G97     544.545     1.24351     3550.98     101.813           0
         G98     431.541     1.16654     3690.44      105.61           0
         G99     646.297      1.2909     3785.66     118.184           0
        G100     495.429     1.65915     2522.09     73.0511           0
        G101     649.697     1.92275     4000.99     81.0795           0
        G102      441.31     1.25114     3162.45     72.6904           0
        G103      498.93      1.5756     3566.24     99.3659           0
        G104     376.771     1.36236     2190.54     72.1137           0
        G105     533.734     1.51975     3509.52     87.8855           0
        G106     446.365     1.56597     2675.83     78.8851           0
        G107     365.161     1.16076     2357.01     64.2968           0
        G108     393.374     1.43828      2225.9     64.4804           0
        G109     518.381     1.69367     3843.74     103.022           0
        G110     600.079     1.53825     4008.03     114.712           0
        G111     390.093      1.3022     2282.86     76.0136           0
        G112     583.646     1.54861     2003.48     49.7716           0
        G113     523.974     1.20758     2749.45     76.8229           0
        G114     511.469     1.42865     3274.52     89.3207           0
        G115     530.519     2.67298     2425.86     65.2483           0
        G116      518.86     3.27406     2379.16     63.6857           0
        G117     368.711     3.57483     2390.68     59.3437           0
        G118      451.03     3.10659     1879.62     48.6205           0
        G119     513.033      3.0857     1746.43     51.4639           0
        G120     368.085     2.50538     2478.94     60.1474           0
        G121     626.373     2.02347     2840.37     58.8427           0
        G122      672.28     1.86718     1893.67     42.9922           0
        G123     639.742       1.863     2615.25     58.0458           0
        G124     664.152     1.74981     2134.29     50.0688           0
        G125     539.623     1.76524     1923.17     46.3826           0
        G126     584.395     1.43176     3184.76     86.4743           0
        G127     413.017     1.30081     2317.31     51.7518           0
        G128     309.179     1.27246     2285.23     60.3514           0
        G129     462.662     1.14417     1773.75     39.8901           0
        G130     245.156     1.34173      2332.6     62.6114           0
        G131     396.652     1.65033     2939.41     59.5138           0
        G132     444.136      1.2878     2975.56     76.8895           0
        G133     469.036     1.26888      2026.8     53.0866           0
        G134     266.491     1.45852     1681.95     54.8551           0
        G135     495.066     1.12379     2285.08     59.4073           0
        G136     257.109     1.17595      2570.8     70.6754           0
        G137     247.021     1.39413     2163.55     62.4678           0
        G138     314.262     1.19421     3554.46     88.3851           0
        G139     318.546     1.35439     2001.45     64.0242           0
        G140     363.129     1.53987      2184.2     56.0709           0
        G141     371.187     1.23913     2740.73     81.9396           0
        G142     291.712     1.17423     3276.82     90.9341           0
        G143     272.374      1.5358     3027.28      81.939           0
        G144     473.077     1.17898     2040.88     51.7136           0
        G145     461.147     3.53807     2826.55     78.3124           0
        G146     620.056     3.16718     4308.98     130.267           0
        G147     591.406     3.66108     2548.24     80.5965           0
        G148      366.16     3.13507     2389.06     80.7984           0
        G149     440.073     3.18989      3557.2     92.8926           0
        G150     324.576     2.56781     2678.85     72.8041           0
        G151     617.348     1.76466     3638.94     99.8399           0
        G152     609.246     1.58087     1964.79       50.16           0
        G153     442.345       2.023     1937.85     63.2973           0
        G154      322.26     1.87537     3336.28     88.8085           0
        G155     270.845      1.8727      3061.9     88.8125           0
        G156     544.155     1.70859     1840.36     45.0724           0
        G157     408.429     1.14964     3572.24     93.5273           0
        G158     507.086     1.29347     3220.67     82.5415           0
        G159     448.259     1.42949     2343.34     60.0707           0
        G160     697.421     1.43224     2629.83     63.7652           0
        G161      459.36     2.22266     2857.22     80.9607           0
        G162     433.931     1.99221     1808.05     59.5402           0
        G163     382.684     1.22037     2320.85     61.1149           0
        G164      408.45     1.82809     1954.72     52.8544           0
        G165     449.998     1.68595     2534.99      77.013           0
        G166     266.824     1.21326     2377.02      67.998           0
        G167      337.27     1.47491     2832.21     79.5535           0
        G168     361.786      1.5786     2804.88     74.9889           0
        G169      336.59     1.22517     2918.57     70.9449           0
        G170      515.19     1.96651      1789.4     47.6594           0
        G171     525.953     1.72627     2712.56     65.4777           0
        G172       342.4     1.34396     2527.07     66.6469           0
