    REF_GAIN           0     1.09965    0.230901           3
          G1     622.466     1.78557     5661.84     142.351           0
          G2     663.277     1.63232     5151.21     147.467           0
          G3     678.484     1.80635     7759.96     191.005           0
          G4     590.319     1.51615     5977.97     153.442           0
          G5     537.609     1.31533     6167.37     183.212           0
          G6     508.783     1.51154     5421.27     153.987           0
          G7     536.491      1.6026     4326.53     134.024           0
          G8     543.383     1.55073     8035.45     173.539           0
          G9     643.209     1.47837     5755.57     125.754           0
         G10     598.626     1.61608     6351.29      134.64           0
         G11     451.916     1.67628     6723.02     152.154           0
         G12     511.454     1.79741     4788.39     135.732           0
         G13     607.415      1.7682     3696.52     121.222           0
         G14     434.981     1.68566     3454.71     99.0111           0
         G15      528.57     1.58473     6668.49     129.884           0
         G16     378.383     1.50399           0           0           2
         G17     310.609     1.80904     7162.76     214.214           0
         G18     381.036     1.45079     5951.15     222.044           0
         G19     561.501     1.82213     5456.78     151.364           0
         G20     443.401     1.72093     4853.03     149.773           0
         G21     471.037       1.653     5761.93     129.544           0
         G22      531.08     1.74729     7617.09     171.844           0
         G23     391.733     1.67665     1190.98     57.8567           0
         G24     522.751     1.50522     5976.99     152.083           0
         G25     371.056     3.11267     5998.55     151.575           0
         G26     390.285     3.25602     7196.72     162.412           0
         G27     413.478      3.8066     3851.99     143.301           0
         G28     517.461     3.06935     3180.59     125.979           0
         G29     329.915     2.47481     7128.18     232.405           0
         G30     430.938     2.93197     6419.44       152.7           0
         G31     539.373     1.49568     3860.42     145.592           0
         G32     557.159     1.52417     5809.23     131.855           0
         G33     729.531     1.50259     3926.14     90.7458           0
         G34     644.524     1.61921     1536.86     66.8828           0
         G35     705.097     1.77682     5778.73     117.468           0
         G36     624.092     1.32691     4018.96     108.964           0
         G37     490.749     1.45548     4607.97     129.131           0
         G38     347.104     1.37173     4553.78     142.622           0
         G39     468.874     1.38506     5229.61     150.349           0
         G40      461.77      1.5329     7129.11     230.614           0
         G41     291.508     1.38172     6620.06     179.506           0
         G42      377.98     1.58274     4923.28     152.613           0
         G43     382.048     1.73473     5133.44     129.589           0
         G44     256.007     1.18563     1959.17     101.731           0
         G45     324.087     1.43066     3822.26     123.253           0
         G46     320.326     1.55023     5089.93     126.248           0
         G47     235.991     1.11779     4837.24     142.315           0
         G48     208.101     1.17534     8355.64     238.231           8
         G49     430.078     1.57281     3987.29     112.842           0
         G50     343.481     1.47546     6526.74     148.824           0
         G51     379.801     1.53846     4762.93     129.808           0
         G52     538.589     1.60449     3845.26     116.097           0
         G53     325.862     1.29197     5371.05     161.187           0
         G54     376.955     1.33054     2781.97     83.2966           0
         G55      231.49     3.19235      3110.1      108.87           0
         G56     391.374     3.12614     4797.91     151.342           0
         G57     601.679     2.87876     1414.37      61.227           0
         G58     579.854      3.4144     3030.94     117.711           0
         G59     600.596     3.26075     6154.43     157.725           0
         G60     507.187     2.73052     5535.96     176.927           0
         G61     491.022     1.32571     4663.89     139.818           0
         G62      481.32     1.33416     7466.94     207.472           0
         G63     526.953      1.5024      5354.1     140.666           0
         G64     575.702     1.14348     6744.89     167.406           0
         G65      680.37     1.77831     7388.12      190.96           0
         G66     589.551     1.61089     7308.77     152.643           0
         G67     394.486     1.17977     4789.08     121.724           0
         G68     369.735     1.21902     4448.85     104.655           0
         G69     525.154     1.30285     7881.57     182.009           0
         G70     458.797     1.36289      6749.8     133.562           0
         G71     363.809     1.48871     4680.15     123.833           0
         G72     454.937     1.29205     4704.47     121.329           0
         G73     310.551     1.24016     6209.93     166.045           0
         G74     295.303     1.34479     6804.62     251.558           0
         G75     388.428     1.28295     4690.02     125.553           0
         G76     262.996     1.74482     7095.78     219.179           0
         G77     253.605     1.24436     8379.86     236.494           8
         G78     368.853     1.41718     4865.32      158.45           0
         G79     372.305     1.45431     4300.57     130.081           0
         G80     524.979      1.2216     4358.53     126.108           0
         G81     610.641     1.49196     3950.09     90.6441           0
         G82     500.258      1.3194     8151.24     166.841           0
         G83     335.401     1.40422     5566.33     170.187           0
         G84      560.51     1.24567     7533.54     166.532           0
         G85     370.639     2.88636     5082.37     135.157           0
         G86     360.533     3.46357     4234.73      159.79           0
         G87     499.177     3.13171     3808.25     124.936           0
         G88     475.973     2.33856     5102.14     158.424           0
         G89     625.876     2.85411     5686.73     224.183           0
         G90     544.077     2.58925     4129.91     123.183           0
         G91     644.087     1.76325     6055.27     141.741           0
         G92     640.852     1.59265     5197.62     157.776           0
         G93     566.742     1.79717     4162.43     130.877           0
         G94     602.939      1.5335     3900.42     118.501           0
         G95     602.236     1.61121     5667.46      135.86           0
         G96     644.342     1.53039     4889.32     104.287           0
         G97     544.286     1.21242     6405.93     175.383           0
         G98     431.795     1.14038     6574.89     182.173           0
         G99     646.306     1.30281      6557.6     206.047           0
        G100     495.103     1.67478     4467.97     134.251           0
        G101     649.021     1.86154     7222.09     136.165           0
        G102     441.074     1.26552     5896.35     131.394           0
        G103     498.652     1.57317     6543.22     176.473           0
        G104     376.875     1.32032     4123.47     135.981           0
        G105     533.804     1.51382     6342.82     153.144           0
        G106     445.527     1.51322     5051.59      152.42           0
        G107     365.226      1.1406           0           0           2
        G108     393.257     1.30012     3990.65     124.725           0
        G109     517.483     1.63714     6921.35     179.171           0
        G110     599.519     1.45374     6827.66     192.426           0
        G111     390.675     1.26255     4115.32     136.243           0
        G112     582.034     1.54558     3615.47      98.939           0
        G113     523.843     1.19592     5035.95     145.731           0
        G114     510.954     1.41619     5988.96     158.119           0
        G115     530.168     2.54407      4263.9     129.616           0
        G116     518.793     3.10661     4384.02     123.731           0
        G117       367.6     3.52186     4370.88     107.954           0
        G118     450.151      2.9207     3322.85     94.3837           0
        G119     512.537     2.90106        2954     97.8177           0
        G120     368.264     2.38059     4742.88     117.195           0
        G121     626.215     2.01025     5000.38     105.442           0
        G122     671.549     1.81466     3113.97     85.9939           0
        G123      639.14      1.8362     4577.34     105.877           0
        G124     663.208     1.72437     3590.51     93.4074           0
        G125     539.008     1.68149     3439.88     91.1892           0
        G126      583.72     1.41742     5887.68     161.589           0
        G127     412.991      1.2661      4347.6     99.5893           0
        G128     308.915     1.26647      4180.7     108.509           0
        G129     462.836     1.14367     3195.47     82.1988           0
        G130      245.11     1.37098     4468.34     108.839           0
        G131     396.555     1.63768     5733.74     113.661           0
        G132     444.036     1.26436     5508.11     137.143           0
        G133     469.391      1.2431     3593.74     102.751           0
        G134     266.955     1.43331     3019.15     100.989           0
        G135      495.16     1.09611      3928.4     101.601           0
        G136     257.017     1.16051      4842.1     126.405           0
        G137     246.902      1.3576     4094.98     116.308           0
        G138     314.365     1.08001      6430.9     151.398           0
        G139     318.331     1.33754     3485.44     106.926           0
        G140     363.184      1.5161        4046     100.341           0
        G141     371.237     1.16378     4898.18      144.15           0
        G142      291.14     1.17606     5764.83      155.03           0
        G143     271.622     1.52265     5410.63     135.635           0
        G144     473.092     1.13916      3688.4      97.552           0
        G145      459.41     3.44785     4847.03     135.361           0
        G146     619.145     3.08437     7626.63      227.48           0
        G147      591.01     3.56789     4444.14     146.034           0
        G148      365.69     3.06892     4378.45     142.261           0
        G149     439.007     3.14897     6384.91     160.005           0
        G150     323.351     2.47407     5066.36     131.626           0
        G151     616.743      1.6882     6301.45      171.35           0
        G152     609.309     1.53353     3261.19      92.229           0
        G153     442.398     1.93635     3478.57     123.512           0
        G154     322.582     1.84329     6387.41     161.217           0
        G155     271.114     1.78456     5525.69     151.232           0
        G156      544.39      1.7311     3271.59      91.477           0
        G157     408.519     1.12248     6333.39     158.535           0
        G158     507.227     1.30171     6045.97     154.229           0
        G159     448.194     1.45852     4303.23     110.718           0
        G160      697.21     1.39602      4627.6     119.081           0
        G161     458.972     2.39038     5071.49     139.289           0
        G162     433.748     2.04268     3221.65      111.11           0
        G163     382.904     1.17471     4380.41     112.162           0
        G164     408.449        1.83     3588.48     101.781           0
        G165     450.145     1.68656     4442.65     135.085           0
        G166      267.03      1.2091     4550.28     121.549           0
        G167     337.117     1.48407      5441.4     143.831           0
        G168     361.455     1.56603     5085.88     129.914           0
        G169     336.535      1.1961     5155.91     118.366           0
        G170     514.258     1.81499     3012.26     93.6473           0
        G171     525.273     1.86189     4815.78     115.704           0
        G172     342.131     1.30162     4896.66     123.635           0
        G173     477.375     1.60147     4294.44     122.156           0
        G174     604.182     1.62524      4542.8     130.691           0
        G175     351.966     3.52827     4808.87     128.276           0
        G176     297.884     2.75488     4124.77     121.644           0
        G177     558.015     3.24098     3404.73     154.357           0
        G178     442.175     3.06038     5935.61      146.98           0
        G179     442.555     3.43914     3918.96     135.683           0
        G180     461.898      2.5279     3960.42     101.879           0
        G181     565.482     1.80589     4308.19     119.358           0
        G182     259.187     1.75639     3409.23     85.3787           0
        G183     466.106     1.80835     3261.45     102.684           0
        G184     404.065       1.722     5130.35     118.772           0
        G185     633.594     1.73573     3827.96     111.146           0
        G186     597.094      1.7899     2956.48     90.9345           0
        G205     478.035      3.0997     6050.48     142.893           0
        G206     428.623     3.40619     5181.33     120.165           0
        G207     426.377     2.71062     6241.62     177.515           0
        G208     480.111     2.86053     4206.24     117.015           0
        G209     660.452     2.58315      4508.9     131.579           0
        G210     622.164     2.51553     4281.79     132.771           0
        G211      658.62     2.13515     2577.89     58.0674           0
        G212     462.164     1.61698     5231.63     153.177           0
        G213     368.979     1.81431     5469.88     127.033           0
        G214     324.197     1.68669     4181.48     115.901           0
