    REF_GAIN    0.455008     1.09774    0.229183           3
          G1     622.678     1.81471     3117.27     77.1558           0
          G2     663.661     1.67785     3118.84     89.3936           0
          G3      679.43     1.82921     4559.13     114.664           0
          G4     591.373     1.54782      3386.4     88.2498           0
          G5     538.373      1.3464     3495.67      106.89           0
          G6      510.33     1.52407     2946.28      86.499           0
          G7     537.031     1.62316     2355.29     67.0624           0
          G8     544.075     1.56489     4640.45     108.216           0
          G9     644.501     1.48145     3158.01     70.0715           0
         G10     599.154     1.60694     3479.52     76.7807           0
         G11     452.283     1.69368     3698.47     89.7491           0
         G12     512.246     1.77913     2503.57     70.2715           0
         G13     608.054     1.78097      2116.2     61.1743           0
         G14     435.464     1.71089     1991.28     52.6441           0
         G15     528.848     1.61285     3716.01      75.724           0
         G16     378.898     1.56686     2977.79     77.8193           0
         G17      310.84       1.858     3859.64     122.812           0
         G18     381.244     1.52772     3198.02     125.328           0
         G19     562.891     1.79127     3210.66      90.668           0
         G20     444.151     1.70977      2601.9     80.0015           0
         G21     471.182     1.63156     3167.19     74.2827           0
         G22     532.242     1.79755     4524.41     102.193           0
         G23     392.912     1.69311     798.721     29.3008           0
         G24     522.939     1.51206     3302.81     85.4537           0
         G25     371.462     3.28773      3230.2     87.0063           0
         G26     390.511     3.54606     4063.64     95.3174           0
         G27     413.137     3.94906     2137.35     79.2902           0
         G28      517.31     3.17986     1872.83     74.7035           0
         G29     330.818     2.66871     3846.17     133.842           0
         G30     431.482     3.13094     3483.83     89.6363           0
         G31     539.567     1.51621     2211.92     77.9854           0
         G32     557.533     1.52793     3217.33     75.1179           0
         G33     730.994     1.53286     2360.34     50.6786           0
         G34     645.201     1.60787     1098.92     33.5932           0
         G35     705.543     1.75799     3248.04     67.6897           0
         G36     624.876      1.3506     2334.86     59.7746           0
         G37     491.254     1.49523     2602.13     72.7507           0
         G38     347.651     1.37887      2535.5     81.7792           0
         G39     469.373     1.36899     3058.81     92.4821           0
         G40     462.553     1.56074     3933.67     136.949           0
         G41     291.813     1.37484     3645.48      102.07           0
         G42     378.337     1.61567      2706.9     89.4247           0
         G43     381.895     1.73057     2936.08     78.7485           0
         G44     256.167     1.21763     1119.88     55.7797           0
         G45     323.911     1.49102     2105.02     67.1828           0
         G46     320.542     1.57666     2750.68     70.3758           0
         G47     236.168     1.14377     2505.41     78.2442           0
         G48     208.335     1.22859     4594.96      161.35           0
         G49     430.215     1.56838     2152.68     58.7956           0
         G50     344.758     1.46802     3626.16     88.0408           0
         G51     380.034     1.50796     2714.81     76.6762           0
         G52     539.078     1.67089     2266.13     67.5246           0
         G53     326.731     1.31119     3028.16     93.2135           0
         G54     378.082     1.42591     1582.92     43.8671           0
         G55      231.28     3.43336     1683.72     57.6991           0
         G56      390.29     3.31581     2610.41     83.8922           0
         G57     604.153     2.98583     998.723      29.963           0
         G58     580.608     3.59867     1856.79     70.7609           0
         G59     601.184     3.41332        3417     90.6716           0
         G60     507.111     2.89921     3142.97     103.853           0
         G61     492.799     1.35454     2591.53     79.9526           0
         G62     482.892     1.34576     4349.62     121.327           0
         G63     527.873     1.47912     2917.73     75.7212           0
         G64     576.468     1.13635     3792.18     95.5193           0
         G65     682.203     1.93655     4298.23     112.004           0
         G66     590.126     1.66462      4281.7     90.8584           0
         G67     394.751     1.21201     2567.18     66.3757           0
         G68     370.089     1.23318     2432.43     59.0561           0
         G69     525.787     1.31983     4380.96     105.206           0
         G70     459.452     1.30473     3766.04     78.5888           0
         G71     364.182     1.48229     2549.82     70.1367           0
         G72     456.035     1.28545     2585.95     68.3383           0
         G73     310.744     1.27491     3326.16     93.9702           0
         G74     295.384     1.42043     3616.04     146.828           0
         G75     389.053     1.31037     2576.51     67.6411           0
         G76      261.35     1.20647     4322.86     136.306           0
         G77      253.63     1.29988     5720.22     202.322           0
         G78     369.303     1.44375      2669.9     87.8736           0
         G79     372.069      1.4652     2371.38     71.7355           0
         G80     524.551     1.15661     2418.77     64.8726           0
         G81     614.401     1.49038     2312.94     52.9343           0
         G82     500.641      1.2967        4499     103.542           0
