    REF_GAIN           0      1.0986    0.231515           3
          G1     622.706     1.77983     5623.39     142.689           0
          G2     663.469     1.63028     5142.21     149.425           0
          G3     678.661     1.81917     7754.77     188.244           0
          G4     590.514     1.54294     5929.62     152.389           0
          G5     537.738     1.32485     6134.81     183.906           0
          G6     508.817       1.498     5400.69     154.695           0
          G7      536.47      1.6153     4314.31      130.85           0
          G8     543.467     1.53463     7963.11     177.093           0
          G9     643.291     1.49685     5682.88     124.372           0
         G10     598.766     1.57719     6318.36     131.591           0
         G11     451.964      1.6701     6667.12     151.568           0
         G12     511.617     1.73821     4766.65     134.121           0
         G13     607.651     1.77707     3677.51     118.304           0
         G14     435.126     1.71002     3446.06     97.7432           0
         G15     528.701     1.59075     6580.52     127.301           0
         G16     378.517     1.52867           0           0           2
         G17     310.651     1.81436     7138.98     211.038           0
         G18     381.217     1.50566     5923.74     219.424           0
         G19     561.654     1.80491     5440.26     150.023           0
         G20     443.536     1.68109     4843.02     147.751           0
         G21     471.137     1.62136     5696.06     126.838           0
         G22     531.397      1.7407     7576.38     168.564           0
         G23     391.809     1.69166     1187.68     57.2494           0
         G24     522.888      1.4936     5924.65     149.443           0
         G25      371.15     3.08225     5947.11     152.013           0
         G26      390.32     3.24105     7168.51     160.359           0
         G27       413.6     3.81126     3840.43     142.856           0
         G28     517.604     3.03473     3169.95     125.033           0
         G29     329.814     2.43848      7058.2     235.901           0
         G30     430.939     2.94181     6362.14     154.621           0
         G31     539.502     1.46244     3853.34     150.064           0
         G32     557.211     1.54526     5766.77     126.809           0
         G33     729.647     1.52391     3892.27     89.1858           0
         G34     644.667     1.57743     1535.66     68.0111           0
         G35     705.341     1.77061     5736.92     115.403           0
         G36     624.205     1.32415     3953.62     109.026           0
         G37      490.64      1.4821     4596.71     130.287           0
         G38     346.976     1.36687      4546.6     141.308           0
         G39     468.787     1.37873     5218.64     150.097           0
         G40     462.054     1.49005     7101.79     230.293           0
         G41     291.564      1.3749     6596.93     177.423           0
         G42     377.988     1.54611     4906.02     154.437           0
         G43     382.158     1.74339     5109.33     130.045           0
         G44     256.132     1.19342     1958.64     103.621           0
         G45     324.124     1.41924     3799.09     121.757           0
         G46     320.445     1.53662     5066.92     124.002           0
         G47     236.028      1.1093     4815.15     144.441           0
         G48     208.084     1.28237      8253.9     219.435           8
         G49     430.186     1.51851     3971.85     108.914           0
         G50     343.526     1.47975     6514.66       145.7           0
         G51     379.725     1.48254     4740.53     130.483           0
         G52     538.687      1.6453     3839.12     113.776           0
         G53     325.845      1.3053     5358.91     156.284           0
         G54     376.865     1.33182     2771.93     83.1442           0
         G55     231.461     3.13597     3097.34     111.536           0
         G56     391.449     3.13509     4788.59     151.117           0
         G57     601.693     2.82608     1408.16      60.935           0
         G58     579.884     3.41753     3015.39     119.964           0
         G59     600.734     3.29157     6109.03     156.334           0
         G60     507.292     2.73077     5512.61     177.886           0
         G61     490.936     1.35181     4647.73     141.996           0
         G62     481.299     1.31789     7444.75     208.917           0
         G63     526.998      1.4882     5312.33     138.739           0
         G64     575.769     1.13454     6711.44     172.072           0
         G65     680.353      1.7921     7330.75     187.492           0
         G66     589.629     1.58591     7258.81     154.342           0
         G67      394.45      1.1844     4750.65     120.724           0
         G68     369.659     1.23841     4403.35     102.827           0
         G69     525.119     1.30931     7834.52     180.598           0
         G70      458.92     1.35428     6696.46     134.397           0
         G71     363.969     1.46569     4664.05     121.904           0
         G72      454.78     1.30483     4689.26     123.722           0
         G73     310.624     1.24693     6172.69     164.254           0
         G74     295.378     1.33295     6764.65     246.385           0
         G75     388.609     1.29223     4672.09      125.12           0
         G76     263.314     1.90285     7052.35     217.877           0
         G77     253.675     1.26143     8347.59     240.965           8
         G78     368.953     1.46665     4820.36     155.402           0
         G79     372.229     1.43437     4283.35     127.499           0
