    REF_GAIN    0.520693      1.2335    0.247354           2
          G1      501.05     1.63732      5290.2     131.933           0
          G2     649.414     1.56648     4778.03     134.332           0
          G3     452.588     1.73888     6945.69     174.254           0
          G4     513.299     1.43853      5523.7     137.703           0
          G5      304.47     1.20414      5492.9     169.217           0
          G6     421.237     1.36938     5100.64      142.79           0
          G7     539.421     1.56567     4200.38     124.008           0
          G8     547.249     1.55835     7381.12     161.413           0
          G9     644.663     1.31478     5493.36     114.895           0
         G10     597.793     1.55709     6078.71     125.874           0
         G11         451     1.63575     6253.39     136.079           0
         G12     512.533     1.63331     4676.25     126.797           0
         G13     610.421     1.74397     3620.22     113.935           0
         G14     438.669     1.76245     3368.33     92.4708           0
         G15     530.692     1.58308     6167.42     121.211           0
         G16     384.629      1.4306     8730.95     209.385           8
         G17      315.84     1.69101     6753.57     197.021           0
         G18      383.92      1.4024     5639.18     201.931           0
         G19      562.59     1.64551     5045.11     141.186           0
         G20      446.99     1.63105     4634.81     138.088           0
         G21     473.444     1.57447     5385.94      118.65           0
         G22     540.292     1.55591     6897.94     149.095           0
         G23     394.161     1.67067     1176.98     55.3052           0
         G24     525.094      1.4327     5622.67     137.153           0
         G25     373.841     2.93709     5659.05     141.547           0
         G26     396.412      3.1671      6727.3     150.818           0
         G27     417.254      3.6995     3646.91     130.579           0
         G28     518.553     2.96201     3009.97     115.434           0
         G29     335.972     2.32181     6603.58     220.614           0
         G30     436.146     2.79401     6059.27     143.555           0
         G31     383.038     1.37513      3633.9      140.76           0
         G32     358.229     1.42093     5268.32     122.329           0
         G33     465.394     1.45305     3537.49     84.5859           0
         G34      509.37     1.53383     1420.98     67.3556           0
         G35     518.835     1.69838     5392.58     110.192           0
         G36     516.263     1.28289     3683.87     101.422           0
         G37     495.197     1.41891     4413.79     121.522           0
         G38     355.228     1.36521     4249.02     131.145           0
         G39     474.062     1.25354     4880.58     139.152           0
         G40     469.964     1.47949     6691.02      214.78           0
         G41     291.503     1.39751     6097.53     163.839           0
         G42     382.082     1.57596     4633.13     140.903           0
         G43     384.553     1.66354      4862.9     119.869           0
         G44     260.731      1.1514     1878.52     94.9266           0
         G45      324.36     1.38806     3671.93     115.324           0
         G46     325.474     1.46968     4899.84     119.755           0
         G47      239.13     1.07839     4582.06     131.678           0
         G48     212.033     1.22956     7791.94     249.164           0
         G49     431.756      1.4368     3815.71     104.277           0
         G50     347.823     1.38173      6218.4     137.208           0
         G51     378.622     1.52047     4508.54     122.316           0
         G52     542.227     1.53531     3698.64     106.347           0
         G53     328.331     1.31121     4970.79      146.64           0
         G54     378.548     1.35084     2717.91     78.4078           0
         G55     235.738     3.06381     3025.98     106.114           0
         G56     393.643     2.98263     4673.88     146.376           0
         G57     590.761     2.65146     1377.09     59.7009           0
         G58     579.809      3.2055     2833.33      108.71           0
         G59     600.292     3.21246     5819.51     147.884           0
         G60     509.207     2.58059     5244.36     167.279           0
         G61     376.319     1.26894      4387.9     132.972           0
         G62     297.879      1.2956     6792.51     195.992           0
         G63     434.609     1.36743     5029.08     131.572           0
         G64     495.078     1.14441     6251.72     157.316           0
         G65     370.356     1.74873     6666.31     175.138           0
         G66     462.466     1.54353      6696.1     139.687           0
         G67     397.359     1.13791     4546.55     113.309           0
         G68     373.959     1.21939     4212.67     96.6179           0
         G69     525.818     1.19092     7411.18     163.609           0
         G70     461.594     1.25479     6310.03     124.101           0
         G71     363.866     1.45409     4461.19     115.006           0
         G72     445.474     1.25564     4446.02     112.848           0
         G73     313.672      1.1848     5838.06     153.816           0
         G74     300.365     1.33137     6448.03     237.154           0
         G75      390.05      1.3894     4518.07     116.219           0
         G76     265.945     1.79367      6352.3     196.673           0
         G77     259.032     1.20914     7783.85     278.078           0
         G78     370.417     1.47978     4541.86     144.963           0
         G79     373.501      1.3722      4146.1     121.945           0
         G80     524.659     1.12814     4143.06      116.59           0
         G81     600.901     1.35838     3758.92     80.9651           0
         G82     500.892     1.28474     7676.54       160.9           0
         G83      340.88     1.39932     5244.35     158.033           0
         G84     560.067     1.22836     7131.19     155.089           0
         G85     378.892     2.70669     4734.92     122.762           0
         G86     367.259     3.31726     3984.16     146.109           0
         G87     501.971     2.90849      3653.3     115.545           0
         G88     479.043     2.22723     4832.68       148.9           0
         G89     625.711     2.65437     5323.11      202.66           0
         G90     543.919      2.4653     3972.67     113.473           0
         G91     418.698     1.56392     5476.18     129.332           0
         G92     543.969     1.52097     4902.41     145.593           0
         G93     328.671     1.75743     3793.92     125.107           0
         G94     383.132      1.4588      3526.6      109.25           0
         G95     403.862      1.5675     5040.25     121.431           0
         G96     499.542     1.40131     4502.36     96.9726           0
         G97     532.996     1.17837     6062.97     168.262           0
         G98     436.943     1.09879     6091.38     169.769           0
         G99     646.093     1.16168     5953.34     182.709           0
        G100     492.032      1.7091     4265.05     126.897           0
        G101      643.01     1.79084     6843.81     130.287           0
        G102     442.034     1.29603     5534.53     122.279           0
        G103     482.496     1.73922      6172.3     162.862           0
        G104     376.624     1.27627     3940.86     128.932           0
        G105       530.9     1.51083     6054.08     145.425           0
        G106     434.373     1.54634     4840.27     139.012           0
        G107     365.594     1.10931           0           0           2
        G108     390.768     1.30089     3849.87     116.523           0
        G109     515.122     1.53813      6382.1     164.949           0
        G110       598.6     1.40181     6298.65     177.181           0
        G111      387.63     1.15472     3859.46     122.708           0
        G112     569.683     1.55772     3433.19     91.7667           0
        G113     525.204     1.23202     4860.61     135.069           0
        G114     509.583      1.3254     5784.95     151.006           0
        G115     529.398     2.32758     4151.68     124.756           0
        G116      513.57     2.81507      4194.6     115.359           0
        G117     368.863     3.37739     4126.56     98.0642           0
        G118     448.855     2.77605     3213.87     89.6448           0
        G119     510.054      2.8245     2899.64     94.0171           0
        G120     364.757     2.31374     4506.84     104.775           0
