    REF_GAIN    0.520484     1.22842     0.24614           2
          G1     501.612     1.63996     5230.23     132.009           0
          G2     649.659     1.56477     4631.37     130.024           0
          G3     452.932     1.76651     6762.37     163.853           0
          G4     513.561     1.44528      5433.3     135.217           0
          G5     304.644     1.19839     5369.29      163.49           0
          G6     421.336     1.36619     5080.09     139.763           0
          G7     539.738      1.5609     4175.24     121.645           0
          G8     547.822     1.54214     7235.57     156.957           0
          G9     645.323     1.32529     5462.76      115.02           0
         G10      598.12     1.54573     5990.03     120.461           0
         G11     451.279     1.63753     6115.63     134.641           0
         G12      512.74     1.61961     4732.33      124.54           0
         G13      610.69     1.74445     3630.17     109.799           0
         G14     438.856     1.73442     3333.74     90.8614           0
         G15     530.898     1.58546     6074.68     115.725           0
         G16      384.71     1.45399     8452.02     209.645           0
         G17     315.948     1.70263     6638.12     197.997           0
         G18     384.031     1.42627     5609.09     200.552           0
         G19     562.881     1.55106     4910.13     136.219           0
         G20     447.347      1.5087     4615.99     134.599           0
         G21     473.724      1.4181     5279.41     113.904           0
         G22     540.474     1.58001     6675.36     146.735           0
         G23     394.326     1.66813     1175.53     54.6696           0
         G24     525.151     1.42618     5532.12     137.851           0
         G25     374.121     2.89193     5582.08     142.066           0
         G26     396.732     3.06731     6604.37     146.114           0
         G27     417.327     3.56267     3569.42     125.162           0
         G28     518.692     2.88204     2945.42     112.768           0
         G29     336.194     2.34323      6468.2      213.42           0
         G30     436.171     2.73862     5970.01     139.059           0
         G31     383.197     1.38576     3608.97     139.282           0
         G32     358.314     1.44273     5180.24     117.257           0
         G33     466.431     1.49213     3509.53     83.2838           0
         G34      509.92     1.56363     1419.29     67.8419           0
         G35     519.232     1.70879     5309.99     109.108           0
         G36     516.513     1.29684     3651.82     98.0603           0
         G37       495.2     1.42388     4343.83     118.136           0
         G38      355.14     1.33116     4107.83     124.403           0
         G39     474.256     1.23992     4760.17     135.612           0
         G40     470.266      1.4699     6559.93     212.162           0
         G41     291.675     1.34391     5631.32     156.078           0
         G42     382.201     1.52217     4520.92     136.475           0
         G43     384.654     1.64687     4782.11     116.086           0
         G44     260.737     1.15758     1848.45     93.2602           0
         G45      324.35     1.38565     3662.29     110.916           0
         G46     325.557     1.44627     4842.61     117.962           0
         G47      239.06     1.07291     4507.82     130.221           0
         G48     211.974     1.25294     7592.75     240.606           0
         G49     432.134     1.34746      3763.3     102.365           0
         G50     348.188     1.25224     6115.01     134.635           0
         G51     378.807     1.36644     4426.25      120.19           0
         G52     542.283     1.56366     3653.33     102.384           0
         G53     328.338     1.28876     4831.83     140.672           0
         G54     378.698     1.36223     2743.09     75.7673           0
         G55      235.75     3.06041     2994.68     100.684           0
         G56     393.482     2.92897     4649.32     145.214           0
         G57     591.066      2.6628     1367.43     60.1616           0
         G58     580.085      3.1792     2766.74     103.931           0
         G59     600.526     3.11525     5722.91     143.096           0
         G60     509.167     2.55763     5149.17     158.841           0
         G61      376.36     1.26667     4333.04     130.936           0
         G62     298.034     1.29709     6619.21     188.024           0
         G63     434.759     1.41278     4968.42     127.994           0
         G64     495.266     1.16279     6124.13     157.925           0
         G65     370.821     1.77353     6554.28     173.207           0
         G66     462.785     1.53101     6534.98     137.369           0
         G67     397.514      1.1532      4491.7     112.172           0
         G68     374.201     1.23989     4153.07     94.3864           0
         G69     526.191     1.20101     7290.18      164.51           0
         G70      461.64     1.23327     6202.34     123.383           0
         G71     363.851     1.42591     4377.94     113.816           0
         G72     445.958     1.20417     4373.28      109.97           0
         G73     313.757     1.20769     5746.17     145.625           0
         G74     300.411     1.33788     6158.51     229.843           0
         G75     390.411     1.37826     4497.09     115.569           0
         G76     266.084     1.88074     6085.32     190.658           0
         G77     258.934     1.18641     7532.56      266.07           0
         G78     370.564     1.49737     4490.05     142.439           0
         G79     373.445     1.27215     4092.32     119.128           0
         G80     525.331     1.05802     4076.65     113.897           0
         G81     602.036     1.29409     3697.22     81.0452           0
         G82      500.85     1.24309     7528.29     157.191           0
         G83      340.83     1.35914      5158.3     157.641           0
         G84     560.399     1.19512     7014.12     152.742           0
         G85     378.956     2.73453     4624.27     121.594           0
         G86     367.262      3.2979     3907.55     139.888           0
         G87     501.879      2.9164     3623.07     116.579           0
         G88     478.935     2.18543     4759.02     143.798           0
         G89     626.048      2.6494      5203.1     202.075           0
         G90     544.111     2.45574     3941.64     111.387           0
         G91     419.103     1.59906     5378.83     125.664           0
         G92     544.301     1.52888     4806.06      146.02           0
         G93     328.793     1.79714     3732.56     121.232           0
         G94     383.273     1.48199     3491.23     110.319           0
         G95     404.125     1.54441     4882.28     118.138           0
         G96     499.904     1.41732     4459.46     93.3504           0
         G97     533.575     1.24358     5989.43     160.843           0
         G98     437.128       1.084     5943.08     160.965           0
         G99     646.501     1.17784     5859.78     183.338           0
        G100     492.376     1.66324     4193.08     120.819           0
        G101      643.49     1.79409     6726.66     126.164           0
        G102     442.311     1.30263     5474.36      114.13           0
        G103     482.902     1.73439        6080     159.601           0
        G104     376.795      1.3206      3878.9     126.096           0
        G105      531.21     1.51313     5866.12     141.421           0
        G106      434.62     1.56732     4801.44     138.317           0
        G107     365.591     1.09555           0           0           2
        G108     390.959     1.33262     3794.77     111.425           0
        G109     515.815     1.38149      6193.9     158.304           0
        G110     599.105     1.32662     6155.39     168.605           0
        G111     387.743      1.1166     3779.81      120.43           0
        G112     569.993     1.53037     3401.04     88.1142           0
        G113     525.321     1.23393     4835.03     132.705           0
        G114     509.759     1.29912     5730.74     146.928           0
        G115     529.544      2.2671     4120.36     123.187           0
        G116     513.794      2.7846     4124.11     111.283           0
        G117     369.014     3.32418     4065.52     95.1213           0
        G118     449.081     2.73746     3193.12     86.3878           0
        G119     510.249     2.78011     2885.51     91.8847           0
        G120     364.913     2.23121     4449.31      103.82           0
        G121     520.698     1.77208     4416.35     93.9042           0
        G122     365.765     1.67087     2687.06     75.7565           0
        G123     454.044     1.79262     4092.89     97.6546           0
        G124     439.379     1.63439     3168.62     86.4192           0
        G125     289.908      1.5914     2968.96     78.8908           0
        G126     416.597     1.33575     5288.04     143.633           0
        G127     413.854     1.21094     4120.53     89.3563           0
        G128     318.838     1.17597     3922.45     99.1967           0
        G129     464.643     1.02005     3038.86     71.7188           0
        G130     258.464     1.28838      4020.9     96.0437           0
        G131     399.281     1.54893     5399.52     103.474           0
        G132     447.084     1.21768     5076.72     125.047           0
        G133     473.988     1.25223     3450.03     93.2614           0
        G134     272.983      1.3724     2842.98     90.0876           0
        G135     496.243     1.10754     3555.19     88.4301           0
        G136     264.972      1.1686        4571     111.718           0
        G137     255.506     1.28918     3889.33     106.865           0
        G138     314.407     1.14959     5817.12       135.9           0
        G139     327.106     1.12727      3114.1     90.8747           0
        G140      366.36     1.26484      3780.9     91.0065           0
        G141     375.496     1.03393     4546.87     128.667           0
        G142     296.407     1.17123     5100.04     137.942           0
        G143     280.986     1.58188      4899.6     121.193           0
        G144     475.433     1.10045      3433.2     86.2957           0
        G145     465.548     3.19819     4340.57      119.07           0
        G146     617.812     2.89345     7021.52     206.349           0
        G147     591.694     3.39551     4147.48     129.687           0
        G148     364.535      3.0545     4018.04     124.267           0
        G149     441.787     2.96813     5811.87     142.539           0
        G150     324.592     2.41856     4763.36     120.033           0
        G151     399.651     1.60781     5435.57     150.202           0
        G152     489.876     1.43984     2886.04      81.425           0
        G153     438.671     1.90131     3313.35     112.592           0
        G154     324.011     1.90135     6100.04     150.517           0
        G155     277.692     1.93293     4965.33     132.945           0
        G156     544.633     1.76256      3142.8     85.5851           0
        G157      411.24     1.09063     5744.04     139.575           0
        G158     505.546     1.26907     5678.73     140.065           0
        G159     447.979     1.41654     4034.34      101.92           0
        G160     698.873     1.36161     4359.74      109.25           0
        G161     459.325     2.41492     4753.07     125.048           0
        G162     433.318     2.02185     3029.63     101.339           0
        G163     387.876     1.25151     4074.63     100.264           0
        G164     409.759     1.84199     3461.38     91.6293           0
        G165     455.677       1.716     4029.05     119.632           0
        G166     271.713     1.18167     4228.71     110.319           0
        G167      337.15     1.55458     5080.41     132.373           0
        G168     362.041     1.66903     4790.92     119.678           0
        G169     339.496     1.10212     4596.29     106.552           0
        G170     516.361     1.88808     2906.27     86.5964           0
        G171     526.887     1.95893     4476.47      102.67           0
        G172     344.734     1.26715     4624.16     115.605           0
        G173     477.738     1.54466     3997.42     109.809           0
        G174     606.158     1.44337     4214.97     120.239           0
        G175      353.69     3.33217      4538.7     119.402           0
        G176     321.776      2.6155     4006.26     113.952           0
        G177     556.239     3.14872      3253.2     141.066           0
        G178     443.792     2.96596     5528.08     134.264           0
        G179     443.147      3.3014     3615.39     121.408           0
        G180     461.753     2.41381     3455.75     87.3691           0
        G181     565.361     1.80994     4003.31     104.611           0
        G182     263.262     1.76723     3231.24     79.4346           0
        G183     469.111      1.7637     3126.86      95.756           0
        G184     404.929     1.71882      4594.4     104.042           0
        G185      621.45     1.71711     3478.87      96.812           0
        G186     597.681     1.69849     2835.23      84.231           0
        G205     478.652     2.92873     5550.77     128.614           0
        G206     430.193     3.19577     4833.73     110.663           0
        G207     428.313     2.56878     5671.63     159.907           0
        G208     480.942     2.65207     3723.27     103.571           0
        G209     644.868     2.42912      4091.5     115.408           0
        G210      620.45     2.33523     3850.98     117.004           0
        G211     657.006     2.06181     2489.38     52.1994           0
        G212     462.925     1.62114     4716.75     133.225           0
        G213     379.219     1.82171     5015.63     115.536           0
        G214     329.871     1.68921     3771.05     99.8921           0
        G215      346.31     1.63753      4708.8     124.378           0
        G216     457.017     1.55236     2783.06     88.8945           0
        G235     598.392     3.19322     4492.78     132.559           0
        G236     545.215     2.52773      2843.6     90.3646           0
        G237     416.505     3.03804     2283.65     89.9531           0
        G238     397.974     2.71779     4822.51     134.919           0
        G239     455.965     2.55148     3970.13     109.948           0
        G240     463.503     2.12376      4325.4     154.062           0
        G241      530.76     2.16171     3583.41     83.4214           0
        G242     471.844     1.99972     3759.24     100.846           0
        G243     445.165      2.0373      4663.5     113.794           0
        G244     564.994     1.97111     3360.04      84.585           0
        G245     391.434     1.94209     3965.24     93.5198           0
        G246     514.904     2.27507     4573.39     146.082           0
        G265     557.245     2.00469     4237.74     107.637           0
        G266     515.396     2.32557      1406.6     59.3288           0
        G267     520.019     2.97422     3522.99     115.823           0
        G268     559.546     2.04958     1652.89     72.9455           0
        G269     439.643     1.70198     4141.75     143.332           0
        G270     450.112     2.40592     5695.86     145.443           0
        G271      402.34     1.88279     3886.31     81.4781           0
        G272     419.374     1.86055      3499.6     83.2374           0
        G273      452.05      2.1268     3170.75     77.4236           0
        G274     510.954      2.0951     3097.37     76.9879           0
        G275     568.624     3.37951     3118.08     91.9109           0
        G276      408.54     3.27805     3903.55     103.537           0
        G295     467.295     2.53617     5148.47     115.251           0
        G296     470.431     2.90001     5049.33     118.294           0
        G297     587.596     2.15838     6173.67     159.809           0
        G298     631.572     2.74692     4597.75     159.507           0
        G299     465.556     2.36636     4382.79      102.92           0
        G300     548.244     2.37866     3998.59      112.93           0
        G301     617.244     3.25134     4691.03     92.4175           0
        G302     482.924     3.06175     2917.75     105.921           0
        G303     307.879     2.89247     3095.28     87.4941           0
        G304     433.024     2.78955     2065.71     73.9871           0
        G305     391.934     2.94126     3101.92     81.5889           0
        G306     434.727     2.46478     2713.58     79.1187           0
        G325     522.963     1.94299     5518.68     153.433           0
        G326     557.857     2.97197     4033.93      118.15           0
        G327     424.459     2.26179      4250.4     106.251           0
        G328     370.064      2.2986     4187.05     121.257           0
        G329     399.609     2.62725     4955.67     124.786           0
        G330     429.588     2.22545     6032.83     135.301           0
        G331     450.092     2.85484     4652.74     107.521           0
        G332     482.205     2.79614     2916.93     88.6307           0
        G333     640.754     2.90672     3621.89     81.2333           0
        G334     526.966     2.47595     2859.57     74.2122           0
        G335     383.043     2.57395     3381.86     85.0817           0
        G336      326.15     2.63211     2382.41     86.5141           0
        G355     584.477     2.69692     4978.33     111.533           0
        G356      525.67     2.84836     7091.56     152.118           0
        G357     621.558     2.30371     5426.01     140.462           0
        G358     531.105     2.52623     4476.83     181.108           0
        G359     400.249     2.02029     3071.09     122.402           0
        G360      359.28     2.34218     4039.45     109.558           0
        G361     430.313     2.69026     3692.76     98.7066           0
        G362     499.756     2.68509     3415.78     88.6243           0
        G363     596.013     3.46676     2137.97     69.0347           0
        G364     572.095     3.13063     3074.42     134.956           0
        G365     461.159     3.54077     3126.86     91.6936           0
        G366     391.473     3.12455     3213.49     75.7069           0
        G385     416.796     2.58578     3947.58     127.144           0
        G386     436.928     2.83683      736.83     36.4837           0
        G387     549.204     3.18448     3804.21     109.853           0
        G388     549.087     3.52888     5211.74     110.547           0
        G389     581.193     2.36458     4380.38      132.89           0
        G390       595.1      2.6311     3217.33     102.961           0
        G391     491.175      3.1314     3264.94     90.7846           0
        G392     328.433     2.96325     3351.94     99.8267           0
        G393     485.409     2.82902     3544.81     131.258           0
        G394     401.017     2.47229     3337.06     89.7211           0
        G395       517.5     3.30813     3263.27     71.1831           0
        G396     500.726      2.9486     4235.45     89.0063           0
        G415     490.224     3.33965     6352.78     166.054           0
        G416     487.099     3.22338     5051.08     122.496           0
        G417     479.189     2.68276     4037.47     138.696           0
        G418     502.733     3.07688     4076.03     108.712           0
        G419     521.922     2.60336     4554.76     128.175           0
        G420     516.468     2.50229     5660.83     118.819           0
        G421     508.629     2.93951     6344.24     135.838           0
        G422      615.38     2.45855     4696.55     105.974           0
        G423     355.913     2.76258     3945.36     100.673           0
        G424      430.03     2.71965     3305.71     86.6598           0
        G425     449.206     2.48891      3451.6      77.754           0
        G426     473.997     2.51586     2487.45     58.9723           0
        G445     504.117     2.71244     5236.58     109.338           0
        G446     491.716     3.48438     5173.75     146.787           0
        G447     390.511     2.85007     4479.03      113.93           0
        G448     426.767     3.09704     3826.55     121.797           0
        G449     455.567      2.5836      4619.6     116.096           0
        G450     449.403     2.70504     4649.34     154.665           0
        G451     600.447     1.65477     3253.66     79.8308           0
        G452     483.252     1.66721     4632.48     110.006           0
        G453      647.17     1.53786     3714.19     87.7268           0
        G454     665.578     1.48264     4567.69      103.49           0
        G455     509.454     1.43666     5270.98     95.5425           0
        G456     386.804     1.39152     3823.27     95.0466           0
        G475     514.962     3.00113     6054.01     144.745           0
        G476     481.519     3.00288     5548.52     182.845           0
        G477     499.304     2.47094     4120.16     136.364           0
        G478      482.77     3.02849     3910.58     139.198           0
        G479      294.74     2.53693     2115.24     95.1808           0
        G480      440.82     2.71092     4303.66     129.544           0
        G481     491.715     1.46737      3601.2     104.191           0
        G482     301.959     1.30192      3948.2     92.7569           0
        G483      502.12     1.69226     2258.91      64.903           0
        G484     623.553     1.47693     3776.57     90.5126           0
        G485     618.378     1.32569      3237.4     76.1605           0
        G486     396.009     1.27112     2107.89      58.611           0
        G505     378.066     1.08588     5801.08     136.496           0
        G506     311.213     1.58403     6657.52     142.323           0
        G507      596.33     1.96675     1765.44      69.251           0
        G508     386.151     1.76174     3757.67     110.235           0
        G509      419.62       1.456     4478.89      125.63           0
