    REF_GAIN    0.520196     1.23284    0.246694           2
          G1     501.156     1.65467     5316.47      131.64           0
          G2     649.523     1.57985     4727.17     135.942           0
          G3     452.704     1.77681     6893.93     168.949           0
          G4     513.429     1.47375     5543.74     139.384           0
          G5     304.472     1.20605     5483.75     170.386           0
          G6     421.261     1.39178     5094.58     143.675           0
          G7     539.446     1.53082     4214.66     120.717           0
          G8     547.437     1.54878     7388.63     162.157           0
          G9     644.628     1.31912     5598.91     118.851           0
         G10     597.843     1.56784     6110.96     126.844           0
         G11     451.076     1.69183     6304.15     140.901           0
         G12     512.653     1.65246     4704.91     127.202           0
         G13     610.533     1.74522     3686.32     117.331           0
         G14     438.701     1.76043     3380.62     90.3398           0
         G15     530.847     1.56585     6270.16     120.486           0
         G16     384.657     1.47077     8698.26     212.437           8
         G17     315.855     1.72806     6734.49     199.324           0
         G18     383.933     1.42403     5636.34     203.462           0
         G19     562.625     1.76564     5014.36     138.432           0
         G20     447.072     1.81523     4616.94     136.804           0
         G21     473.498     1.70889     5474.34     119.307           0
         G22     540.155     1.52878     6862.33     151.461           0
         G23     393.955     1.63634     1180.53     55.7922           0
         G24     525.047     1.42259     5679.32     136.921           0
         G25     373.796     2.88007     5717.87     144.104           0
         G26     396.431     3.12231     6718.54     150.183           0
         G27     417.273     3.63894     3632.96     131.499           0
         G28     518.559     2.90488     2993.26     115.079           0
         G29     335.904     2.36426     6622.01     214.425           0
         G30     436.139     2.79931     6086.83     143.211           0
         G31     383.065     1.40221     3644.05     141.463           0
         G32     358.218     1.43919     5282.03      121.15           0
         G33     465.503     1.46958     3604.56     85.8018           0
         G34     509.465     1.53041     1426.96     68.3362           0
         G35     518.897     1.69989     5420.28     111.426           0
         G36     516.316     1.27572     3754.05       102.5           0
         G37     495.179     1.42931     4407.74     120.172           0
         G38     355.044     1.36007     4212.37     127.175           0
         G39     474.056     1.23711     4856.83     138.759           0
         G40     470.107     1.50709     6652.05     213.079           0
         G41     291.544     1.42916     6069.07     161.014           0
         G42     382.169     1.55674     4615.91     142.156           0
         G43     384.561     1.62803     4860.23     119.344           0
         G44     260.725     1.13564     1863.91     92.5826           0
         G45     324.286     1.34669     3685.99     114.184           0
         G46     325.488     1.48069     4899.93      117.12           0
         G47     239.113     1.09679     4590.29      132.92           0
         G48     212.004     1.20536     7744.68     246.017           0
         G49     432.002     1.58133     3821.69     105.958           0
         G50     347.891        1.48     6204.53     136.332           0
         G51      378.72     1.62569     4508.11     121.888           0
         G52     542.075     1.51497     3709.18     108.231           0
         G53     328.161     1.28601     4945.67     146.113           0
