# this file specify how the run number is grouped into periods
# format is
# period        sub-peirod      begin       end
    1           1               1059        1082
    1           2               1083        1123
    1           3               1125        1207
    2           1               1237        1287
    2           2               1288        1301
    2           3               1302        1313
    2           4               1314        1329
    2           5               1330        1345
    3           1               1362        1405
    4           1               1415        1454
    4           2               1455        1504
    4           3               1505        1516
